der;Das ist der Bus, ___ direkt zum Hauptbahnhof fährt.;Это автобус, который едет прямо до главного вокзала.;den;die;das
den;Wo ist der Hausschlüssel, ___ ich eben auf die Kommode gelegt habe?;Где ключ от дома, который я только что положил на комод?;der;dem;das
das;Dort drüben steht das Gebäude, ___ im letzten Jahr komplett renoviert wurde.;Вон там стоит здание, которое было полностью отремонтировано в прошлом году.;der;die;den
das;Wo hast du eigentlich das Fahrrad gekauft, ___ du jeden Tag fährst?;Где ты вообще купил велосипед, на котором (который) ездишь каждый день?;der;die;den
die;Die Ärztin, ___ heute in der Praxis Dienst hat, ist sehr freundlich.;Врач, которая сегодня дежурит в приемной, очень дружелюбная.;der;den;das
die;Ich suche die Quittung, ___ der Verkäufer mir an der Kasse gegeben hat.;Я ищу чек, который продавец дал мне на кассе.;der;den;das
die;Die Nachbarn, ___ direkt über uns wohnen, sind meistens sehr ruhig.;Соседи, которые живут прямо над нами, обычно очень тихие.;den;der;das
die;Kennst du die Leute, ___ wir eben im Treppenhaus freundlich gegrüßt haben?;Ты знаешь тех людей, с которыми мы только что поздоровались на лестничной клетке?;den;der;das
den;Der warme Mantel, ___ er im Kaufhaus anprobiert hat, ist ihm zu eng.;Теплое пальто, которое он примерил в универмаге, ему слишком узко.;der;dem;das
der;Der Handwerker, ___ die defekte Waschmaschine repariert, kommt um zehn Uhr.;Мастер, который ремонтирует неисправную стиральную машину, придет в десять часов.;den;die;das
das;Das schwere Paket, ___ vor der Wohnungstür liegt, gehört Herrn Weber.;Тяжелая посылка, которая лежит перед дверью квартиры, принадлежит господину Веберу.;der;die;den
das;Das Zimmer, ___ wir für die Gäste hergerichtet haben, ist hell und ruhig.;Комната, которую мы подготовили для гостей, светлая и тихая.;der;die;den
die;Die Straßenbahnlinie, ___ direkt zum Südbahnhof fährt, hat heute Verspätung.;Трамвайная линия, которая идет прямо к Южному вокзалу, сегодня задерживается.;der;den;das
die;Die Wohnung, ___ wir gestern Nachmittag besichtigt haben, hat einen Südbalkon.;Квартира, которую мы осматривали вчера днем, имеет балкон на южную сторону.;der;den;das
die;Die Dokumente, ___ noch ungeprüft auf dem Schreibtisch liegen, sind eilig.;Документы, которые еще непроверенными лежат на письменном столе, срочные.;den;der;das
die;Die Äpfel, ___ ich heute früh auf dem Wochenmarkt gekauft habe, sind frisch.;Яблоки, которые я купил сегодня утром на еженедельном рынке, свежие.;den;der;das
den;Der wichtige Brief, ___ ich heute Morgen eingeworfen habe, geht an die Behörde.;Важное письмо, которое я бросил в ящик сегодня утром, идет в ведомство.;der;dem;das
der;Der Hausmeister, ___ sich zuverlässig um das Gebäude kümmert, hat heute frei.;Комендант, который надежно заботится о здании, сегодня выходной.;den;die;das
das;Das alte Küchenradio, ___ auf der Fensterbank steht, funktioniert einwandfrei.;Старое кухонное радио, которое стоит на подоконнике, работает безупречно.;der;die;den
das;Das Vollkornbrot, ___ diese Bäckerei täglich backt, schmeckt hervorragend.;Цельнозерновой хлеб, который эта булочная ежедневно выпекает, превосходен на вкус.;der;die;den
die;Die Mitarbeiterin, ___ am Schalter Auskunft gibt, spricht mehrere Sprachen.;Сотрудница, которая дает информацию у стойки, говорит на нескольких языках.;der;den;das
die;Ich bringe die Winterjacke zurück, ___ ich vor drei Tagen im Laden gekauft habe.;Я возвращаю зимнюю куртку, которую купил три дня назад в магазине.;der;den;das
die;Fahrgäste, ___ keinen gültigen Fahrschein vorzeigen, müssen ein Bußgeld zahlen.;Пассажиры, которые не предъявляют действующий билет, должны заплатить штраф.;den;der;das
die;Die Handtücher, ___ wir frisch gewaschen haben, liegen ordentlich im Schrank.;Полотенца, которые мы только что постирали, аккуратно лежат в шкафу.;den;der;das
der;Der Supermarkt, ___ an Wochentagen bis zweiundzwanzig Uhr geöffnet ist, liegt nah.;Супермаркет, который открыт по будням до двадцати двух часов, расположен близко.;den;die;das
den;Wo ist der Zettel, ___ du vorhin mit der Telefonnummer beschrieben hast?;Где записка, на которой ты только что написал номер телефона?;der;dem;das
das;Ein Fahrzeug, ___ keinen gültigen Prüfbericht hat, darf nicht am Verkehr teilnehmen.;Транспортное средство, у которого нет действующего техосмотра, не может участвовать в движении.;der;die;den
das;Das Zugticket, ___ wir vor einer Woche gebucht haben, ist nicht stornierbar.;Билет на поезд, который мы забронировали неделю назад, нельзя отменить.;der;die;den
die;Die Apotheke, ___ an Sonn- und Feiertagen Notdienst hat, liegt in der Marktstraße.;Аптека, которая дежурит по воскресеньям и праздникам, расположена на Марктштрассе.;der;den;das
die;Die Adresse, ___ Sie auf den Briefumschlag geschrieben haben, ist unvollständig.;Адрес, который Вы написали на почтовом конверте, неполный.;der;den;das
die;Kinder, ___ jünger als sechs Jahre sind, fahren im Nahverkehr kostenfrei mit.;Дети, которым меньше шести лет, ездят в пригородном транспорте бесплатно.;den;der;das
die;Die Koffer, ___ der Taxifahrer in den Kofferraum geladen hat, sind schwer.;Чемоданы, которые водитель такси погрузил в багажник, тяжелые.;den;der;das
den;Der Kassenbeleg, ___ die Verkäuferin ausgedruckt hat, dient als Nachweis.;Кассовый чек, который распечатала продавец, служит подтверждением покупки.;der;dem;das
der;Kennen Sie den Mechaniker, ___ in der Autowerkstatt an der Ecke arbeitet?;Вы знаете механика, который работает в автомастерской на углу?;den;die;das
das;Das Bücherregal, ___ im Flur an der Wand steht, bietet sehr viel Platz.;Книжный стеллаж, который стоит в коридоре у стены, дает очень много места.;der;die;den
das;Zeigen Sie mir bitte das Foto, ___ Sie gestern im Stadtpark gemacht haben.;Покажите мне, пожалуйста, фото, которое вы сделали вчера в городском парке.;der;die;den
die;Die Fußgängerampel, ___ direkt vor der Schule steht, schaltet auf Grün.;Пешеходный светофор, который стоит прямо перед школой, переключается на зеленый.;der;den;das
die;Die Gemüsesuppe, ___ der Wirt frisch gekocht hat, wärmt bei Kälte gut.;Овощной суп, который хозяин свежо сварил, хорошо согревает в холод.;der;den;das
den;Der Regenschirm, ___ ich gestern im Restaurant vergessen habe, ist schwarz.;Зонт, который я вчера забыл в ресторане, черный.;der;dem;das
die;Die Weingläser, ___ wir für die neue Küche gekauft haben, sind sehr empfindlich.;Бокалы, которые мы купили для новой кухни, очень хрупкие.;den;der;das
