auf;Der Wecker klingelt und ich stehe sofort morgens ___.;Будильник звонит, и я сразу встаю утром.;an;aus;ab
an;Ich rufe heute Nachmittag kurz in der Arztpraxis ___.;Я позвоню сегодня днем ненадолго в приемную врача.;auf;aus;ab
ein;Wir kaufen samstags immer für die ganze Woche im Supermarkt ___.;Мы закупаемся по субботам всегда на всю неделю в супермаркете.;aus;auf;ab
fern;Die Kinder sehen nach den Hausaufgaben eine halbe Stunde ___.;Дети смотрят после уроков полчаса телевизор.;aus;an;auf
mit;Kommst du heute zum Einkaufen in die Stadt ___?;Ты пойдешь сегодня за покупками в город за компанию?;vor;an;aus
aus;Schalten Sie bitte das Licht im Flur beim Verlassen ___!;Выключите, пожалуйста, свет в коридоре при уходе!;an;auf;ab
an;Machst du bitte die Heizung im Wohnzimmer ___?;Включишь, пожалуйста, отопление в гостиной?;aus;auf;zu
vor;Der Koch bereitet alle Zutaten für das Abendessen ___.;Повар подготавливает все ингредиенты для ужина.;an;aus;nach
ein;Wir laden alle Nachbarn zum gemütlichen Hoffest ___.;Мы приглашаем всех соседей на уютный праздник во дворе.;aus;vor;auf
auf;Der starke Regen hört hoffentlich bald wieder ___.;Сильный дождь, надеюсь, скоро снова прекратится.;an;ab;aus
an;Der Deutschkurs fängt pünktlich um neun Uhr morgens ___.;Курс немецкого начинается ровно в девять часов утра.;auf;ab;aus
ab;Ich hole dich um fünf Uhr vom Hauptbahnhof ___.;Я заберу тебя в пять часов с главного вокзала.;an;auf;aus
zurück;Wann kommst du heute Abend von der Arbeit ___?;Когда ты вернешься сегодня вечером с работы?;vor;ab;mit
auf;Pass bitte auf der glatten Treppe gut ___!;Будь, пожалуйста, осторожен на скользкой лестнице!;an;ab;vor
ein;Die Fahrgäste steigen an der Station zügig in den Bus ___.;Пассажиры быстро садятся на станции в автобус.;aus;um;ab
aus;Wir steigen an der nächsten Haltestelle aus der Straßenbahn ___.;Мы выходим на следующей остановке из трамвая.;ein;um;auf
um;Am großen Bahnhof steige ich in einen schnellen ICE ___.;На большом вокзале я пересаживаюсь на быстрый поезд ICE.;ein;aus;auf
ab;Der Linienbus fährt in fünf Minuten an der Haltestelle ___.;Рейсовый автобус отправляется через пять минут от остановки.;an;auf;aus
an;Wann kommt der Zug aus Berlin planmäßig hier ___?;Когда поезд из Берлина по расписанию прибывает сюда?;ab;auf;aus
zu;Machst du bitte das Fenster wegen des starken Windes ___?;Закроешь, пожалуйста, окно из-за сильного ветра?;auf;ab;aus
auf;Ich mache die Haustür für den Paketboten ___.;Я открываю входную дверь курьеру с посылкой.;zu;aus;an
mit;Nimmst du bitte eine warme Jacke für den Abend ___?;Возьмешь, пожалуйста, теплую куртку на вечер?;an;auf;vor
zu;Die Kursteilnehmer hören dem Dozenten aufmerksam ___.;Участники курса внимательно слушают преподавателя.;auf;an;mit
vor;Der Abteilungsleiter stellt den neuen Kollegen im Team ___.;Начальник отдела представляет нового коллегу в команде.;aus;an;nach
aus;Füllen Sie bitte dieses Formular zur Anmeldung vollständig ___.;Заполните, пожалуйста, этот регистрационный бланк полностью.;an;ein;auf
aus;Er gibt jeden Monat ziemlich viel Geld für Bücher ___.;Он тратит каждый месяц довольно много денег на книги.;auf;an;ein
ein;Das müde Kind schläft im Bettchen meistens schnell ___.;Уставший ребенок обычно быстро засыпает в кроватке.;auf;aus;ab
auf;Am Wochenende wache ich oft schon vor dem Wecker ___.;На выходных я часто просыпаюсь еще до звонка будильника.;ein;aus;an
ab;Wir geben die fertigen Unterlagen morgen im Bürgeramt ___.;Мы сдадим готовые документы завтра в ведомстве по делам граждан.;auf;an;aus
auf;Am Samstagvormittag räumen wir gründlich die ganze Wohnung ___.;В субботу до обеда мы основательно убираем всю квартиру.;aus;an;ab
aus;Das frisch renovierte Wohnhaus sieht wirklich modern ___.;Свежеотремонтированный жилой дом выглядит действительно современно.;an;auf;ab
mit;Bringst du bitte etwas frisches Brot vom Bäcker ___?;Принесешь, пожалуйста, немного свежего хлеба из пекарни?;an;auf;nach
statt;Das Stadtfest findet am kommenden Wochenende auf dem Marktplatz ___.;Городской праздник состоится в следующие выходные на рыночной площади.;vor;auf;an
nach;Über diesen Vorschlag denke ich heute Abend in Ruhe ___.;Об этом предложении я спокойно подумаю сегодня вечером.;vor;an;aus
an;Probierst du die Winterstiefel vor dem Kauf im Geschäft ___?;Ты примеришь зимние сапоги перед покупкой в магазине?;aus;auf;ab
an;Wo meldet man seinen neuen Wohnsitz in der Stadt ___?;Где регистрируют свое новое место жительства в городе?;auf;ab;aus
