fährst;Warum ___ du heute mit der Bahn zur Arbeit?;Почему ты сегодня едешь на поезде на работу?;fahrst;fährt;fahren
sieht;Der Arzt ___ sich die Unterlagen sehr genau an.;Врач осматривает документы очень внимательно.;seht;sehst;sehen
hilft;Die Nachbarin ___ den älteren Leuten beim Einkaufen.;Соседка помогает пожилым людям с покупками.;helft;helfe;helfen
liest;Er ___ jeden Morgen die Zeitung beim Frühstück.;Он читает каждое утро газету за завтраком.;lest;leset;lesen
schläft;Am Sonntag ___ mein Mitbewohner meistens bis neun Uhr.;В воскресенье мой сосед по комнате обычно спит до девяти часов.;schlaft;schlafe;schlafen
spricht;Die Dame an der Information ___ drei Fremdsprachen.;Дама в справочной говорит на трех иностранных языках.;sprecht;sprech;sprechen
fährt;Der Bus zum Flughafen ___ alle zwanzig Minuten.;Автобус в аэропорт ходит каждые двадцать минут.;fahrt;fahrst;fahren
nimmt;Wer ___ die Post aus dem Briefkasten im Flur?;Кто забирает почту из почтового ящика в коридоре?;nehmt;nehme;nehmen
gibt;Es ___ heute leider keine freien Termine mehr beim Arzt.;Сегодня, к сожалению, больше нет свободных записей к врачу.;gebt;gab;geben
trifft;Meine Schwester ___ ihre Freundin heute im Café.;Моя сестра встречает свою подругу сегодня в кафе.;trefft;treft;treffen
trägst;Warum ___ du bei diesem kalten Wind keine Mütze?;Почему ты на таком холодном ветру не носишь шапку?;tragst;tragt;tragen
vergisst;Du ___ jedes Mal deinen Schirm im Restaurant.;Ты каждый раз забываешь свой зонт в ресторане.;vergissest;vergesst;vergessen
lädt;Der Akku vom Telefon ___ an der Steckdose sehr langsam.;Аккумулятор телефона заряжается от розетки очень медленно.;ladet;ladst;laden
wäscht;Er ___ das Geschirr meistens direkt nach dem Essen.;Он моет посуду обычно сразу после еды.;wascht;wasche;waschen
empfiehlt;Der Kellner ___ uns heute die frische Tagessuppe.;Официант рекомендует нам сегодня свежий суп дня.;empfehlt;empfehle;empfehlen
siehst;Wann ___ du dir den Fahrplan für die Züge an?;Когда ты посмотришь расписание поездов?;sehst;sieht;sehen
hält;Der Regionalzug ___ an fast jeder kleinen Station.;Региональный поезд останавливается почти на каждой маленькой станции.;haltet;hälst;halten
fällt;Der Schlüssel ___ ihm plötzlich aus der Manteltasche.;Ключ внезапно падает у него из кармана пальто.;fallt;falle;fallen
lässt;Warum ___ du das Fenster bei diesem Regen offen?;Почему ты оставляешь окно открытым при таком дожде?;lasst;lässtet;lassen
bricht;Dieser dünne Ast ___ bei starkem Wind sehr leicht.;Эта тонкая ветка очень легко ломается при сильном ветре.;brecht;brichte;brechen
wirft;Der Postbote ___ die Briefe in den richtigen Kasten.;Почтальон бросает письма в правильный ящик.;werft;wirfst;werfen
wohnen;Meine Großeltern ___ schon seit vierzig Jahren auf dem Land.;Мои бабушка и дедушка живут уже сорок лет в деревне.;wohnt;wohne;wohnst
arbeitet;Mein Bruder ___ von Montag bis Freitag in einer Bank.;Мой брат работает с понедельника по пятницу в банке.;arbeitest;arbeite;arbeiten
trinkst;Was ___ du morgens normalerweise zum Frühstück?;Что ты пьешь утром обычно на завтрак?;trinkt;trinke;trinken
schläfst;Warum ___ du in den letzten Nächten so unruhig?;Почему ты в последние ночи спишь так беспокойно?;schlafst;schläft;schlafen
liest;Welches Buch ___ du gerade in deiner Freizeit?;Какую книгу ты сейчас читаешь в свободное время?;lesest;lest;lesen
isst;Man ___ in diesem Restaurant wirklich sehr gut zu Mittag.;В этом ресторане действительно очень хорошо обедают.;esst;issest;essen
sprichst;Mit wem ___ du da gerade so leise an der Tür?;С кем ты там сейчас так тихо разговариваешь у двери?;sprechsst;sprecht;sprechen
läuft;Der kleine Junge ___ schnell über den Zebrastreifen.;Маленький мальчик быстро бежит по пешеходному переходу.;laufst;lauft;laufen
nimmst;Welchen Koffer ___ du für die kurze Reise mit?;Какой чемодан ты берешь с собой в короткую поездку?;nehmst;nehmt;nehmen
triffst;Wen ___ du heute Nachmittag am Marktplatz?;Кого ты встречаешь сегодня днем на рыночной площади?;treffst;trift;treffen
findet;Niemand im Haus ___ den passenden Kellerschlüssel.;Никто в доме не находит подходящий ключ от подвала.;finde;findest;finden
trägt;Sie ___ heute einen eleganten Mantel aus Wolle.;Она носит сегодня элегантное пальто из шерсти.;tragt;trägst;tragen
gilt;Diese Fahrkarte ___ ab sofort für den ganzen Tag.;Этот проездной действует отныне на весь день.;geltet;golt;gelten
weiß;Niemand am Schalter ___ über die Verspätung Bescheid.;Никто у стойки не знает об опоздании.;weißt;wissen;weisse
kommt;Wann ___ der Handwerker heute zur Reparatur vorbei?;Когда мастер придет сегодня для ремонта?;kommst;kommen;käme
