neuen;Ich habe gestern den ___ Mantel im Kaufhaus gekauft.;Я купил вчера новое пальто в универмаге.;neue;neuem;neuer
alte;Die ___ Waschmaschine im Waschkeller macht seit gestern seltsame Geräusche.;Старая стиральная машина в прачечной со вчерашнего дня издает странные звуки.;alten;alter;altem
frisches;Morgens kaufe ich mir beim Bäcker immer ein ___ Brötchen zum Frühstück.;По утрам я всегда покупаю себе в пекарне свежую булочку к завтраку.;frische;frischen;frischem
kalten;An diesen ___ Wintertagen trinke ich am liebsten heißen Kräutertee.;В эти холодные зимние дни я охотнее всего пью горячий травяной чай.;kalte;kaltem;kalter
frischem;Der Salat schmeckt mit ___ Zitronensaft und Olivenöl besonders gut.;Салат со свежим лимонным соком и оливковым маслом особенно вкусен.;frischen;frischer;frisches
großen;Wir treffen uns morgen vor dem ___ Rathaus am Marktplatz.;Мы встретимся завтра перед большой ратушей на рыночной площади.;große;großem;großer
neuer;Im Nachbarhaus ist seit gestern ein ___ Mieter eingezogen.;В соседнем доме со вчерашнего дня поселился новый жилец.;neuen;neues;neuem
gemütliche;Die Familie sucht eine ___ Vierzimmerwohnung mit Balkon.;Семья ищет уютную четырехкомнатную квартиру с балконом.;gemütlichen;gemütlicher;gemütliches
warmes;Ein ___ Mittagessen tut nach einem langen Spaziergang richtig gut.;Теплый обед после долгой прогулки идет на пользу.;warme;warmen;warmem
hohen;Wegen der ___ Mietpreise suchen viele Menschen Wohnungen am Stadtrand.;Из-за высоких цен на аренду многие люди ищут квартиры на окраине города.;hohe;hoher;hohem
dunklen;Er trug gestern einen ___ Anzug zum offiziellen Termin beim Notar.;Он надел вчера темный костюм на официальную встречу у нотариуса.;dunkler;dunkle;dunklem
freundlichen;Wir haben mit einer ___ Dame vom Bürgeramt telefoniert.;Мы поговорили по телефону с приветливой дамой из ведомства по делам граждан.;freundliche;freundlicher;freundlichem
schweres;Der Postbote lieferte heute früh ein besonders ___ Paket an die Haustür.;Почтальон доставил сегодня рано утром особенно тяжелую посылку к входной двери.;schwere;schweren;schwerem
leckerem;Das Gericht wird traditionell mit ___ Gemüse aus der Region serviert.;Блюдо традиционно подается с вкусными овощами из этого региона.;leckeren;leckerer;leckeres
guten;Nach einem ___ Schlaf fühlt man sich am nächsten Morgen wieder fit.;После хорошего сна чувствуешь себя на следующее утро снова бодрым.;guter;gutem;gutes
defekten;Der Klempner repariert den ___ Wasserhahn im Badezimmer innerhalb einer Stunde.;Сантехник отремонтирует неисправный кран в ванной в течение часа.;defekte;defekter;defektem
gelbe;Die ___ Straßenbahn hält direkt vor dem Haupteingang des Krankenhauses.;Желтый трамвай останавливается прямо перед главным входом в больницу.;gelben;gelber;gelbes
kleines;Auf dem Nachttisch steht ein ___ Radio mit Weckfunktion.;На прикроватной тумбочке стоит маленькое радио с функцией будильника.;kleine;kleinen;kleinem
frischer;Bei ___ Luft im Zimmer kann man sich deutlich besser konzentrieren.;При свежем воздухе в комнате можно значительно лучше сконцентрироваться.;frische;frischen;frischem
neuesten;Auf den ___ Fahrplänen am Bahnsteig sind alle Baustellen vermerkt.;На новейших расписаниях на перроне отмечены все участки ремонтных работ.;neueste;neuester;neuestem
dringenden;Ich habe heute einen ___ Brief von der Krankenversicherung erhalten.;Я получил сегодня срочное письмо от медицинской страховой компании.;dringender;dringendes;dringendem
weiße;In der Ecke der Küche steht eine ___ Mikrowelle auf der Arbeitsplatte.;В углу кухни на столешнице стоит белая микроволновка.;weißen;weißer;weißes
sauberes;Bitte geben Sie mir ein ___ Handtuch aus dem Badezimmerschrank.;Пожалуйста, дайте мне чистое полотенце из шкафчика в ванной.;saubere;sauberen;sauberem
starkem;Bei ___ Regen sollte man mit dem Auto besonders vorsichtig fahren.;В сильный дождь следует ехать на автомобиле особенно осторожно.;starken;starker;starkes
alten;Der alte Briefkasten hängt noch an der ___ Holzwand im Treppenhaus.;Старый почтовый ящик все еще висит на старой деревянной стене в подъезде.;alte;alter;altem
hilfsbereite;Der ___ Nachbar aus dem Erdgeschoss nimmt regelmäßig die Pakete an.;Отзывчивый сосед с первого этажа регулярно принимает посылки.;hilfsbereiten;hilfsbereiter;hilfsbereitem
wichtige;Vergessen Sie bitte nicht die ___ Bescheinigung für die Steuererklärung.;Не забудьте, пожалуйста, важную справку для налоговой декларации.;wichtigen;wichtiger;wichtiges
moderne;Das ___ Gebäude an der Kreuzung beherbergt eine große Stadtbibliothek.;Современное здание на перекрестке вмещает большую городскую библиотеку.;modernen;moderner;modernes
