Herrn;Der offizielle Brief ist an ___ Meier aus der Buchhaltung adressiert.;Официальное письмо адресовано господину Майеру из бухгалтерии.;Herr;Herren;Herrs
Kunden;Der Verkäufer bediente den ungeduldigen ___ mit großer Höflichkeit.;Продавец обслужил нетерпеливого клиента с большой вежливостью.;Kunde;Kundem;Kundes
Patienten;Die Ärztin untersuchte den verletzten ___ gründlich im Behandlungszimmer.;Врач тщательно осмотрела травмированного пациента в процедурном кабинете.;Patient;Patientem;Patienter
Nachbarn;Wir haben gestern mit unserem neuen ___ über die Hausordnung gesprochen.;Мы поговорили вчера с нашим новым соседом о правилах дома.;Nachbar;Nachbars;Nachbarem
Kollegen;Der Abteilungsleiter stellte den neuen ___ dem gesamten Team vor.;Начальник отдела представил нового коллегу всей команде.;Kollege;Kollegem;Kolleges
Polizisten;Der Zeuge beschrieb dem aufmerksamen ___ den genauen Tathergang.;Свидетель описал внимательному полицейскому точный ход событий.;Polizist;Polizistem;Polizister
Studenten;Der Professor half dem ausländischen ___ bei der Formulierung des Antrags.;Профессор помог иностранному студенту с формулировкой заявления.;Student;Studentem;Studenter
Praktikanten;Die Firma bietet dem engagierten ___ eine unbefristete Festanstellung an.;Компания предлагает вовлеченному практиканту постоянную должность.;Praktikant;Praktikantem;Praktikanter
Journalisten;Der Minister beantwortete die kritischen Fragen des bekannten ___ sehr sachlich.;Министр очень по существу ответил на критические вопросы известного журналиста.;Journalist;Journalistes;Journalistem
Architekten;Die Bauherren beauftragten einen erfahrenen ___ mit der Planung des Hauses.;Заказчики поручили опытному архитектору планирование дома.;Architekt;Architektem;Architekts
Touristen;Ein hilfsbereiter Passant zeigte dem ratlosen ___ den Weg zum Rathaus.;Отзывчивый прохожий показал растерянному туристу дорогу к ратуше.;Tourist;Touristem;Tourister
Namens;Wegen des ungewöhnlichen ___ des Autors musste der Bibliothekar zweimal nachfragen.;Из-за необычного имени автора библиотекарю пришлось переспросить дважды.;Name;Namen;Namenes
Experten;Das Unternehmen zog bei technischen Problemen einen externen ___ zu Rate.;Компания привлекла внешнего эксперта для консультации по техническим проблемам.;Experte;Expertem;Expertes
Fotografen;Die Veranstalter dankten dem professionellen ___ für die gelungenen Aufnahmen.;Организаторы поблагодарили профессионального фотографа за удачные снимки.;Fotograf;Fotografem;Fotografs
