den;Ich suche schon den ganzen Vormittag ___ Hausschlüssel.;Я ищу все утро ключ от дома.;der;dem;das
einen;Wir brauchen für die Küche noch ___ großen Esstisch.;Нам для кухни нужен еще большой обеденный стол.;ein;einem;einer
keinen;Im Moment habe ich leider überhaupt ___ Hunger.;В данный момент я, к сожалению, вообще не голоден.;kein;keinem;keine
ihn;Wo ist der Reisepass? Hast du ___ irgendwo im Flur gesehen?;Где загранпаспорт? Ты видел его где-нибудь в коридоре?;ihm;er;sie
mich;Hörst du ___ über das Festnetztelefon gut und deutlich?;Ты меня хорошо и отчетливо слышишь по стационарному телефону?;mir;ich;mein
den;Stell ___ neuen Schrank bitte direkt an die freie Wand.;Поставь новый шкаф, пожалуйста, прямо к свободной стене.;der;dem;das
einen;Er kauft sich im Supermarkt jeden Morgen ___ frischen Kaffee.;Он покупает себе в супермаркете каждое утро свежий кофе.;ein;einem;eines
keinen;Für diesen alten Fernseher finden wir ___ passenden Karton mehr.;Для этого старого телевизора мы больше не находим подходящей коробки.;kein;keinem;keiner
dich;Ich rufe ___ heute Abend nach der Ankunft zu Hause an.;Я позвоню тебе сегодня вечером после прибытия домой.;dir;du;dein
uns;Der Vermieter besucht ___ morgen um zehn Uhr zur Wohnungsbesichtigung.;Арендодатель посетит нас завтра в десять часов для осмотра квартиры.;wir;unser;ihnen
den;Drück bitte ___ roten Knopf an der Kaffeemaschine.;Нажми, пожалуйста, красную кнопку на кофемашине.;der;dem;das
einen;Ich nehme zum Mittagessen nur ___ kleinen Salat mit Brot.;Я возьму на обед только маленький салат с хлебом.;ein;einem;einer
keinen;Wir haben heute auf dem Wochenmarkt ___ frischen Fisch bekommen.;Мы сегодня на еженедельном рынке не достали свежей рыбы.;kein;keinem;keines
ihn;Der Bus ist gerade weg, wir haben ___ um zwei Minuten verpasst.;Автобус только что ушел, мы опоздали на него на две минуты.;ihm;er;es
die;Kannst du bitte nach dem Essen ___ Spülmaschine einräumen?;Можешь, пожалуйста, после еды загрузить посудомоечную машину?;der;den;dem
das;Öffne bitte kurz ___ Fenster im Schlafzimmer zum Lüften.;Открой, пожалуйста, ненадолго окно в спальне для проветривания.;den;dem;der
den;Der Mechaniker repariert heute ___ kaputten Auspuff am Wagen.;Механик ремонтирует сегодня сломанный глушитель на машине.;der;dem;das
einen;Wir müssen noch ___ neuen Termin beim Zahnarzt vereinbaren.;Нам нужно еще договориться о новом приеме у зубного врача.;ein;einem;einer
keine;Ich habe heute leider ___ Zeit für einen Stadtbummel.;У меня сегодня, к сожалению, нет времени для прогулки по городу.;kein;keinen;nicht
sie;Kennst du meine Kollegin? Ich habe ___ gestern im Büro getroffen.;Ты знаешь мою коллегу? Я встретил ее вчера в офисе.;ihr;ihnen;er
euch;Der Reiseleiter holt ___ morgen früh direkt am Hotel ab.;Гид заберет вас завтра утром прямо у отеля.;ihr;ihnen;uns
den;Wer hat ___ langen Brief von der Hausverwaltung gelesen?;Кто прочитал это длинное письмо от домоуправления?;der;dem;das
einen;Ich brauche für die Anmeldung ___ gültigen Personalausweis.;Мне нужен для регистрации действительный паспорт.;ein;einem;einer
keinen;Für diesen alten Drucker gibt es im Handel ___ Toner mehr.;Для этого старого принтера в продаже больше нет тонера.;kein;keinem;keiner
mich;Diese laute Baustelle vor dem Haus stört ___ wirklich sehr.;Эта шумная стройка перед домом действительно мне очень мешает.;mir;ich;mein
den;Wir haben ___ neuen Mietvertrag für die Wohnung unterschrieben.;Мы подписали новый договор аренды квартиры.;der;dem;das
einen;Hast du vielleicht ___ blauen Stift für mich zum Ausfüllen?;У тебя случайно нет синей ручки для меня, чтобы заполнить?;ein;einem;einer
ihn;Der Wintermantel gefällt mir, ich kaufe ___ sofort.;Зимнее пальто мне нравится, я покупаю его сразу.;ihm;er;es
die;Er putzt jeden Samstag gründlich ___ ganze Küche.;Он убирает каждую субботу тщательно всю кухню.;den;der;dem
das;Wer hat eigentlich ___ Paket für die Nachbarn angenommen?;Кто вообще принял посылку для соседей?;den;dem;der
den;Ich trinke jeden Morgen nach dem Aufstehen ___ ersten Tee.;Я пью каждое утро после подъема первый чай.;der;dem;das
einen;Wir haben gestern im Kino ___ sehr spannenden Film gesehen.;Мы вчера в кинотеатре посмотрели очень захватывающий фильм.;ein;einem;einer
keinen;Er trinkt am späten Nachmittag ___ Kaffee mehr.;Он не пьет кофе во второй половине дня.;kein;keinem;keine
dich;Ich bitte ___ um eine kurze Bestätigung per E-Mail.;Я прошу тебя о коротком подтверждении по электронной почте.;dir;du;dein
uns;Die Verspätung der Regionalbahn betrifft ___ heute glücklicherweise nicht.;Опоздание регионального поезда нас сегодня, к счастью, не касается.;wir;ihr;unser
den;Vergiss bitte nicht ___ Regenschirm an der Garderobe!;Не забудь, пожалуйста, зонт на вешалке!;der;dem;das
