verdienen;Er arbeitet hart in der Fabrik und will jeden Monat gutes Geld ___.;Он усердно работает на фабрике и хочет каждый месяц зарабатывать хорошие деньги.;schlafen;liegen;sitzen
gewinnen;Wenn unsere Fußballmannschaft heute gut spielt, wird sie das wichtige Spiel ___.;Если наша футбольная команда сегодня сыграет хорошо, она выиграет этот важный матч.;weinen;schlafen;kochen
lieben;Sie sind schon seit zehn Jahren verheiratet und ___ sich immer noch von ganzem Herzen.;Они женаты уже десять лет и все еще любят друг друга от всего сердца.;hassen;weinen;streiten
vermissen;Ich bin weit weg von meiner Heimat und werde meine Familie und Freunde sehr ___.;Я далеко от своей родины и буду очень скучать по своей семье и друзьям.;kochen;trinken;schlafen
überlegen;Ich weiß noch nicht, was ich tun soll, ich muss mir die Sache noch genau ___.;Я еще не знаю, что мне делать, мне нужно еще хорошенько обдумать это дело.;kochen;trinken;schlafen
entscheiden;Die Zeit drängt, wir müssen jetzt schnell ___ und einen Entschluss fassen.;Время поджимает, мы должны сейчас быстро принять решение.;schlafen;kochen;trinken
buchen;Im Reisebüro wollen wir für den nächsten Sommerurlaub zwei günstige Flüge nach Spanien ___.;В турагентстве мы хотим забронировать на следующий летний отпуск два недорогих перелета в Испанию.;kochen;schlafen;trinken
reservieren;Das Restaurant ist freitags immer sehr voll, wir sollten rechtzeitig einen Tisch für vier Personen ___.;Ресторан по пятницам всегда очень полон, нам следует своевременно зарезервировать столик на четверых.;kochen;schlafen;trinken
liefern;Der Möbelmarkt wird die bestellte Waschmaschine morgen Vormittag direkt zu mir nach Hause ___.;Мебельный магазин доставит заказанную стиральную машину завтра до обеда прямо ко мне домой.;schlafen;trinken;wohnen
tanken;Die Tankanzeige im Auto leuchtet rot, wir müssen an der nächsten Raststätte unbedingt Benzin ___.;Индикатор топлива в машине горит красным, нам нужно на следующей заправке обязательно заправить бензин.;kochen;schlafen;trinken
bremsen;Da rennt plötzlich ein Reh über die Straße, du musst sofort mit aller Kraft ___!;Там внезапно олень бежит через дорогу, ты должен немедленно затормозить изо всех сил!;schlafen;kochen;wohnen
landen;Nach zehn Stunden Flug wird unser großes Flugzeug pünktlich um zwölf Uhr auf der Landebahn ___.;После десяти часов полета наш большой самолет приземлится ровно в двенадцать часов на посадочную полосу.;schlafen;kochen;schwimmen
anmelden;Ich möchte einen Sprachkurs besuchen und muss mich dafür im Büro der Sprachschule schriftlich ___.;Я хочу посещать языковой курс и должен для этого записаться (зарегистрироваться) в офисе языковой школы письменно.;abmelden;schlafen;kochen
teilnehmen;Wer an diesem sportlichen Wettbewerb im Park mitmachen möchte, darf gerne kostenlos daran ___.;Кто хочет принять участие в этом спортивном соревновании в парке, может охотно бесплатно поучаствовать в нем.;schlafen;trinken;wohnen
gratulieren;Wir heben das Glas und wollen dem Brautpaar von ganzem Herzen zur Hochzeit ___.;Мы поднимаем бокал и хотим от всего сердца поздравить молодоженов со свадьбой.;weinen;streiten;schlafen
grüßen;Wenn ich morgens zur Arbeit gehe, treffe ich Herrn Meier und will ihn immer freundlich ___.;Когда я утром иду на работу, я встречаю господина Майера и всегда хочу дружелюбно поздороваться с ним.;schlafen;kochen;trinken
riechen;Hier in der Küche duftet es nach Zimt, die frisch gebackenen Kekse ___ einfach herrlich.;Здесь на кухне пахнет корицей, свежеиспеченное печенье пахнет просто восхитительно.;schlafen;laufen;fahren
wiegen;Auf der Küchenwaage will ich für das Rezept genau zweihundert Gramm Mehl ganz exakt ___.;На кухонных весах я хочу для рецепта точно взвесить ровно двести граммов муки.;schlafen;wohnen;fahren
