hätte;Wenn ich mehr Urlaub ___, würde ich sofort an die Ostsee reisen.;Если бы у меня было больше отпуска, я бы сразу поехал на Балтийское море.;habe;hatte;hätte gehabt
wäre;Wenn die Miete nicht so teuer ___, würden wir diese Wohnung sofort mieten.;Если бы аренда не была такой дорогой, мы бы сразу сняли эту квартиру.;ist;war;wäre gewesen
könnten;___ Sie mir bitte sagen, wo sich die nächste Postfiliale befindet?;Не могли бы Вы мне, пожалуйста, сказать, где находится ближайшее почтовое отделение?;können;konnten;könntet
würde;Ich ___ gerne einen Termin für die nächste Woche vereinbaren.;Я охотно согласовал бы прием на следующую неделю.;werde;wurde;wäre
Hätten;___ Sie vielleicht etwas Kleingeld für den Parkscheinautomaten?;У Вас случайно не нашлось бы мелочи для парковочного автомата?;Haben;Hatten;Hättet
Wäre;___ es möglich, die Rechnung erst am Monatsende zu bezahlen?;Было бы возможно оплатить счет только в конце месяца?;Ist;War;Wird
käme;Wenn der Zug pünktlich ___, erreichten wir den Anschlussbus ohne Probleme.;Если бы поезд пришел вовремя, мы успели бы на стыковочный автобус без проблем.;kommt;kam;kommen würde
müsste;Wenn er heute nicht arbeiten ___, könnte er mit uns zum Markt gehen.;Если бы ему сегодня не нужно было работать, он мог бы пойти с нами на рынок.;muss;musste;müsstet
dürfte;Wenn man hier kurz parken ___, wäre das Ausladen der Kisten viel einfacher.;Если бы здесь разрешалось ненадолго припарковаться, разгрузка коробок была бы намного проще.;darf;durfte;dürftet
solltest;Du ___ bei diesem nasskalten Wetter unbedingt eine warme Mütze tragen.;Тебе следовало бы в такую сырую и холодную погоду обязательно носить теплую шапку.;sollst;sollte;sollt
gäbe;Wenn es in der Nähe einen Supermarkt ___, müssten wir nicht so weit fahren.;Если бы поблизости был супермаркет, нам не пришлось бы ехать так далеко.;gibt;gab;gäbet
würden;An Ihrer Stelle ___ wir die Hausverwaltung sofort schriftlich informieren.;На Вашем месте мы бы немедленно письменно проинформировали домоуправление.;werden;wurden;wären
wäre;Ich ___ jetzt viel lieber draußen im Park als hier im Büro.;Я был бы сейчас гораздо охотнее на улице в парке, чем здесь в офисе.;bin;war;wäre gewesen
hätte;Herr Weber ___ gern ein ruhiges Hotelzimmer mit Blick zum Garten.;Господин Вебер охотно взял бы тихий номер в отеле с видом на сад.;hat;hatte;hätte gehabt
Könntest;___ du mir bitte kurz beim Tragen dieses schweren Kartons helfen?;Не мог бы ты мне, пожалуйста, быстро помочь донести эту тяжелую коробку?;Kannst;Konntest;Könntet
Würdest;___ du bitte das Fenster schließen, da es im Zimmer zieht?;Не закрыл ли бы ты, пожалуйста, окно, так как в комнате сквозит?;Wirst;Wurdest;Wärest
bliebe;Wenn das Wetter am Wochenende sonnig ___, machten wir einen langen Ausflug.;Если бы погода на выходных оставалась солнечной, мы совершили бы долгую загородную поездку.;bleibt;blieb;geblieben wäre
wüsste;Wenn der Hausmeister die Ursache des Schadens ___, könnte er die Rohre reparieren.;Если бы комендант знал причину повреждения, он мог бы отремонтировать трубы.;weiß;wusste;gewusst hätte
fände;Wenn man im Zentrum schneller einen Parkplatz ___, wäre das Autofahren entspannter.;Если бы в центре быстрее находилось парковочное место, вождение было бы спокойнее.;findet;fand;gefunden hätte
hätten;Wenn wir damals die Quittung aufbewahrt ___, könnten wir das Gerät jetzt umtauschen.;Если бы мы тогда сохранили чек, мы могли бы обменять прибор сейчас.;haben;hatten;hätten gehabt
wären;Wenn die Straßen nicht so glatt ___, kämen alle pünktlich zur Arbeit.;Если бы улицы не были такими скользкими, все прибыли бы вовремя на работу.;sind;waren;wären gewesen
könnte;Mit etwas mehr Geduld ___ man diesen komplizierten Text viel besser verstehen.;С чуть большим терпением можно было бы понять этот сложный текст гораздо лучше.;kann;konnte;könntet
müsste;Frau Müller ___ eigentlich zum Arzt gehen, aber sie findet keine Zeit dafür.;Госпоже Мюллер следовало бы пойти к врачу, но она не находит для этого времени.;muss;musste;müssten
dürften;Wenn die Kinder hier spielen ___, gäbe es im Treppenhaus deutlich weniger Lärm.;Если бы детям разрешалось здесь играть, в подъезде было бы значительно меньше шума.;dürfen;durften;dürftet
sollten;Wir ___ vor dem Wintereinbruch die Heizkörper in allen Räumen entlüften.;Нам следовало бы перед наступлением зимы развоздушить радиаторы во всех комнатах.;sollen;sollten gewesen;solltet
Hätte;___ ich damals bloß den früheren Bus genommen, dann wäre ich pünktlich gewesen!;Если бы я только сел тогда на более ранний автобус, я был бы вовремя!;Habe;Hatte;Hättest
Wäre;___ der Weg durch den Park beleuchtet, würden abends mehr Menschen dort spazieren gehen.;Если бы дорожка через парк была освещена, вечером там гуляло бы больше людей.;Ist;War;Wäre gewesen
würden;Bei starkem Gewitter ___ die Bewohner die elektrischen Geräte vorsichtshalber ausschalten.;При сильной грозе жильцы из предосторожности выключили бы электроприборы.;werden;wurden;wären
könnte;Ohne Brille ___ der ältere Herr den Fahrplan am Bahnsteig kaum entziffern.;Без очков пожилой господин едва ли смог бы разобрать расписание на перроне.;kann;konnte;könnte haben
bräuchte;Wenn ich kein Fahrrad ___, würde ich mir eine monatliche Busfahrkarte kaufen.;Если бы мне не нужен был велосипед, я бы купил себе месячный проездной на автобус.;brauche;brauchte;gebraucht hätte
Hätten;___ Sie kurz einen Augenblick Zeit für eine dringende Frage zum Mietvertrag?;У Вас не нашлось бы минутки времени для срочного вопроса по договору аренды?;Haben;Hatten;Hättet
Könnten;___ Sie mir freundlicherweise erklären, wie man dieses Formular richtig ausfüllt?;Не могли бы Вы любезно объяснить мне, как правильно заполнить этот бланк?;Können;Konnten;Könntet
Würden;___ Sie bitte hier auf dieser Linie mit einem Kugelschreiber unterschreiben?;Не расписались ли бы Вы, пожалуйста, здесь на этой линии шариковой ручкой?;Werden;Wurden;Wären
wäre;Es ___ ratsam, vor der langen Bahnfahrt einen Sitzplatz im Voraus zu reservieren.;Было бы благоразумно забронировать сидячее место заранее перед долгой поездкой на поезде.;ist;war;gewesen wäre
hätte;Wenn der Bäcker am Sonntag geöffnet ___, würden wir frische Brötchen holen.;Если бы пекарня была открыта в воскресенье, мы бы взяли свежие булочки.;hat;hatte;gehabt hätte
ginge;Wenn es nach mir ___, würden wir die Renovierung schon im nächsten Monat beginnen.;Если бы это зависело от меня, мы начали бы ремонт уже в следующем месяце.;geht;ging;gegangen wäre
täte;Ein heißer Tee ___ mir nach dem kalten Spaziergang im Wind jetzt wirklich gut.;Горячий чай пошел бы мне сейчас действительно на пользу после холодной прогулки на ветру.;tut;tat;getan hätte
müssten;Wenn die Handwerker heute nicht fertig werden, ___ wir den Termin noch einmal verschieben.;Если мастера сегодня не закончат, нам пришлось бы перенести встречу еще раз.;müssen;mussten;müsstet
stünde;Wenn der Schrank an der anderen Wand ___, hätte das Zimmer viel mehr Tageslicht.;Если бы шкаф стоял у другой стены, в комнате было бы намного больше дневного света.;steht;stand;gestanden hätte
läge;Wenn die Haltestelle näher an der Wohnung ___, bräuchten wir überhaupt kein Auto mehr.;Если бы остановка находилась ближе к квартире, нам вообще больше не нужна была бы машина.;liegt;lag;gelegen hätte
