Argumente;Wir brauchen bessere ___, um den Chef zu überzeugen.;Нам нужны лучшие аргументы, чтобы убедить начальника.;Gemüse;Momente;Fenster
behauptete;Er ___, dass er nicht zu Hause war.;Он утверждал, что его не было дома.;kochte;lachte;tanzte
wertvolles;Sie hat ein sehr ___ Bild gekauft.;Она купила очень ценную картину.;salziges;blaues;lautes
Fehlern;Wir können aus unseren ___ lernen.;Мы можем учиться на своих ошибках.;Tischen;Büchern;Hunden
Abendbrot;Wir essen jeden Tag um 19 Uhr ___.;Мы ужинаем каждый день в 19 часов.;Wasser;Spielzeug;Zeugnis
übermitteln;Ich soll Ihnen diese Nachricht ___.;Я должен передать вам это сообщение.;kochen;baden;reisen
Gutachten;Der Experte muss ein ___ erstellen.;Эксперт должен составить заключение.;Spielzeug;Messer;Lied
auszusehen;Du scheinst heute sehr müde ___.;Ты кажешься сегодня очень уставшим на вид.;zu kochen;zu rennen;zu baden
wiehert;Das Pferd ___ laut auf der Wiese.;Лошадь громко ржет на лугу.;bellt;miaut;fliegt
spezielles;Wir haben heute ein ___ Angebot für Sie.;Сегодня у нас для вас специальное предложение.;nasses;kaltes;bitteres
flüchtigen;Die Polizei sucht nach einem ___ Dieb.;Полиция ищет беглого вора.;süßen;faulen;lauten
dringt;Das Wasser ___ durch die Decke ins Zimmer ein.;Вода проникает сквозь потолок в комнату.;lacht;schläft;tanzt
verkraften;Er kann diese schlechte Nachricht nicht ___.;Он не может пережить эту плохую новость.;trinken;backen;schreiben
unglaublichen;Wir hatten einen ___ Urlaub am Meer.;У нас был невероятный отпуск на море.;sauren;salzigen;quadratischen
endlos;Der Weg durch den Wald schien ___ zu sein.;Путь через лес казался бесконечным.;süß;salzig;bunt
Kritiker;Die ___ haben den neuen Film sehr gelobt.;Критики очень хвалили новый фильм.;Hunde;Äpfel;Tische
hob;Sie ___ die schwere Tasche vom Boden auf.;Она подняла тяжелую сумку с пола.;kochte;trank;sang
Pfleger;Der ___ kümmert sich um die alten Patienten.;Медбрат заботится о старых пациентах.;Baum;Stuhl;Tisch
klarmachen;Ich muss ihm ___ , dass das so nicht geht.;Я должен дать ему понять, что так не пойдет.;essen;trinken;schlafen
dermaßen;Ich war ___ wütend, dass ich schrie.;Я был до такой степени зол, что закричал.;grün;blau;lecker
hindert;Der Schnee ___ uns daran, schnell zu fahren.;Снег мешает нам ехать быстро.;kocht;lacht;singt
gespendet;Wir haben Geld für das Krankenhaus ___.;Мы пожертвовали деньги для больницы.;gegessen;getrunken;gelacht
erstaunliche;Das ist eine ___ Geschichte.;Это удивительная история.;salzige;nasse;taube
Gummi;Der Reifen besteht aus schwarzem ___.;Шина состоит из черной резины.;Wasser;Brot;Fleisch
begreift;Das Kind ___ nicht, warum es ins Bett muss.;Ребенок не понимает, почему он должен идти спать.;kocht;tanzt;backt
Marionette;Das Mädchen spielt mit einer ___ aus Holz.;Девочка играет с марионеткой из дерева.;Tomate;Kartoffel;Zwiebel
benehmt;Bitte ___ euch gut bei der Tante!;Пожалуйста, ведите себя хорошо у тети!;esst;trinkt;schlaft
erwähnten;Sie ___ den Vorfall im Gespräch.;Они упомянули об инциденте в разговоре.;kochten;schwammen;tanzten
gestohlene;Die Polizei hat das ___ Auto gefunden.;Полиция нашла угнанную машину.;gekochte;gebackene;gelachte
Medaillon;Sie trägt ein goldenes ___ um den Hals.;Она носит золотой медальон на шее.;Brötchen;Auto;Haus
Streifenwagen;Der ___ der Polizei fährt schnell vorbei.;Патрульная машина полиции быстро проезжает мимо.;Kuchen;Tisch;Baum
Romanze;Sie liest gerne Bücher über eine schöne ___.;Она любит читать книги о красивом романе.;Kartoffel;Suppe;Gabel
fluchen;Es ist unhöflich, laut zu ___.;Невежливо громко ругаться.;trinken;backen;schlafen
untergebracht;Die Gäste sind in einem Hotel ___.;Гости размещены в отеле.;gegessen;getrunken;gelacht
Kahn;Wir fahren mit einem alten ___ über den See.;Мы плывем на старой лодке по озеру.;Baum;Löffel;Teller
Ehemänner;Die beiden ___ warten draußen auf ihre Frauen.;Оба мужа ждут своих жен на улице.;Tische;Steine;Bäume
