kochende;Gießen Sie das ___ Wasser vorsichtig über die Teeblätter in der Kanne.;Осторожно залейте кипящей водой чайные листья в чайнике.;gekochte;kochend;kochendes
reparierte;Der gestern fachmännisch ___ Wagen läuft wieder absolut fehlerfrei.;Вчера профессионально отремонтированный автомобиль снова работает абсолютно безошибочно.;reparierende;repariert;reparierter
steigenden;Wegen der ständig ___ Energiekosten müssen die Betriebsausgaben angepasst werden.;Из-за постоянно растущих затрат на электроэнергию приходится корректировать эксплуатационные расходы.;gestiegenen;steigende;steigender
zugestellten;Der Postbote übergab die frisch ___ Pakete an den Nachbarn im Erdgeschoss.;Почтальон передал свежедоставленные посылки соседу на первом этаже.;zustellenden;zugestellte;zugestellter
schlafende;Die Mutter deckte das tief ___ Kind behutsam mit einer warmen Decke zu.;Мать бережно укрыла глубоко спящего ребенка теплым одеялом.;geschlafene;schlafend;schlafendes
verpassten;Er trauerte der damals leider ___ Gelegenheit zur Weiterbildung noch lange nach.;Он еще долго сокрушался об упущенной тогда, к сожалению, возможности повышения квалификации.;verpassenden;verpasst;verpassende
sinkenden;Bei den im Herbst rasch ___ Temperaturen heizen viele Haushalte deutlich früher.;При быстро падающих осенью температурах многие домохозяйства начинают топить значительно раньше.;gesunkenen;sinkende;sinkender
beschädigte;Der Kunde reklamierte die beim Transport stark ___ Umverpackung des Geräts.;Клиент предъявил претензию по поводу сильно поврежденной при транспортировке упаковки прибора.;beschädigende;beschädigt;beschädigtes
wartenden;Auf dem Bahnsteig informierte die Bahn die ungeduldig ___ Passagiere über den Zugausfall.;На перроне железная дорога проинформировала нетерпеливо ждущих пассажиров об отмене поезда.;gewarteten;wartende;wartender
renovierte;Die Familie bezog voller Freude die frisch ___ Dreizimmerwohnung im Altbau.;Семья с огромной радостью въехала в свежеотремонтированную трехкомнатную квартиру в старом фонде.;renovierende;renovierten;renoviertes
fließendem;Ein Wohnhaus ohne festen Anschluss an ___ Wasser entspricht nicht den Vorschriften.;Жилой дом без постоянного подключения к проточной воде не соответствует нормативам.;geflossenem;fließenden;fließendes
unterschriebenen;Der Notar legte den von beiden Parteien ___ Kaufvertrag in die offizielle Akte.;Нотариус положил подписанный обеими сторонами договор купли-продажи в официальное дело.;unterschreibenden;unterschrieben;unterschriebener
