begegnen;Wenn ich morgens durch den Park laufe, kann ich zufällig alten Bekannten ___.;Когда я утром бегаю по парку, я могу случайно встретить старых знакомых.;kochen;schlafen;trinken
versprechen;Ich gebe dir mein Ehrenwort und will dir fest ___, dass ich dir morgen helfe.;Я даю тебе честное слово и хочу твердо пообещать тебе, что помогу завтра.;kochen;trinken;schlafen
leiden;Er hat eine schwere Grippe und muss seit drei Tagen unter starken Schmerzen ___.;У него тяжелый грипп, и он уже три дня вынужден страдать от сильных болей.;schlafen;lachen;kochen
sterben;Wenn Pflanzen überhaupt kein Wasser bekommen, müssen sie nach ein paar Wochen leider ___.;Если растения вообще не получают воды, они через пару недель, к сожалению, должны погибнуть (умереть).;wachsen;blühen;leben
überleben;Dank des Sicherheitsgurts konnte der Fahrer den schweren Autounfall unverletzt ___.;Благодаря ремню безопасности водитель смог невредимым выжить в тяжелой автоаварии.;kochen;trinken;schlafen
schaden;Wer zu viel Alkohol trinkt und raucht, wird seiner eigenen Gesundheit dauerhaft ___.;Кто пьет слишком много алкоголя и курит, навредит своему собственному здоровью надолго.;helfen;nützen;dienen
nutzen;Du hast jetzt freie Zeit, du solltest diesen sonnigen Nachmittag für Sport ___.;У тебя сейчас свободное время, тебе следует использовать этот солнечный день для спорта.;kochen;schlafen;trinken
bestehen;Er hat wochenlang fleißig gelernt und konnte die schwere Deutschprüfung mit der Note Eins ___.;Он неделями усердно учился и смог сдать сложный экзамен по немецкому на отлично.;durchfallen;schlafen;kochen
durchfallen;Wer überhaupt keine Grammatikregeln lernt, wird bei dem schweren Abschlusstest leider ___.;Кто вообще не учит правила грамматики, к сожалению, провалится (не сдаст) на сложном выпускном тесте.;bestehen;schlafen;kochen
eröffnen;Der Bäcker hat sein neues Geschäft fertig renoviert und will den Laden morgen feierlich ___.;Пекарь закончил ремонт в новом магазине и хочет завтра торжественно открыть его.;schließen;schlafen;kochen
eintragen;Bevor der Kurs beginnt, muss sich jeder Teilnehmer mit Namen in die Anmeldeliste ___.;Прежде чем начнется курс, каждый участник должен вписать (внести) себя с именем в список регистрации.;kochen;trinken;schlafen
schreien;Es ist so laut im Raum, du musst nicht so extrem brüllen und so laut ___!;В комнате так шумно, тебе не нужно так сильно орать и так громко кричать!;flüstern;schweigen;schlafen
flüstern;Das Baby schläft im Nebenzimmer, sprich bitte ganz leise und versuche nur zu ___.;Малыш спит в соседней комнате, говори, пожалуйста, совсем тихо и старайся только шептать.;schreien;brüllen;kochen
schweigen;Wenn man vor Gericht als Zeuge nichts sagen möchte, darf man die ganze Zeit still ___.;Если в суде в качестве свидетеля не хотят ничего говорить, разрешено все время молчать.;schreien;sprechen;reden
wünschen;Zum neuen Jahr möchte ich dir von ganzem Herzen viel Gesundheit und Erfolg ___.;К Новому году я хочу от всего сердца пожелать тебе крепкого здоровья и успехов.;kochen;schlafen;trinken
beschreiben;Kannst du mir den Weg zum Bahnhof bitte mit einfachen Worten ganz genau ___?;Можешь, пожалуйста, простыми словами точно описать мне дорогу к вокзалу?;kochen;trinken;schlafen
begründen;Warum kommst du heute so spät zur Arbeit? Du musst diese Verspätung bitte sachlich ___.;Почему ты сегодня так поздно пришел на работу? Ты должен, пожалуйста, аргументированно обосновать это опоздание.;kochen;schlafen;trinken
vermuten;Ich weiß es nicht sicher, aber wegen der Wolken kann man ein baldiges Gewitter ___.;Я не знаю наверняка, но из-за туч можно предполагать скорую грозу.;kochen;trinken;schlafen
zweifeln;Er ist ein sehr ehrlicher Mensch, deshalb solltest du an seiner wahren Aussage nicht ___.;Он очень честный человек, поэтому тебе не следует сомневаться в его правдивых словах.;kochen;schlafen;trinken
anhalten;Wenn die Ampel plötzlich auf Rot springt, muss der Autofahrer den Wagen sofort ___.;Когда светофор внезапно переключается на красный, водитель должен немедленно остановить автомобиль.;beschleunigen;schlafen;kochen
losfahren;Alle Koffer sind im Kofferraum verstaut, wir setzen uns ins Auto und wollen jetzt ___.;Все чемоданы уложены в багажник, мы садимся в машину и хотим сейчас тронуться в путь (поехать).;anhalten;bremsen;schlafen
anklopfen;Bevor du einfach in das Büro des Chefs gehst, solltest du höflich an die Holztür ___.;Прежде чем просто зайти в кабинет начальника, тебе следует вежливо постучать в деревянную дверь.;kochen;trinken;schlafen
vorhaben;Was willst du am kommenden Wochenende machen? Was tust du für die beiden Tage ___?;Что ты хочешь делать на предстоящих выходных? Что ты планируешь (намереваешься) на эти два дня?;trinken;kochen;schlafen
aufgeben;Die Aufgabe ist zwar sehr schwer, aber du darfst nicht verzweifeln und den Mut ___.;Задача хоть и очень трудная, но ты не должен отчаиваться и сдаваться (опускать руки).;gewinnen;kochen;trinken
