auf;Der Betrieb ist im Alltag dringend ___ zuverlässige Zulieferer angewiesen.;Предприятие в повседневной работе остро зависит от надежных поставщиков.;an;von;für
für;Herr Weber ist in der Abteilung persönlich ___ die IT-Sicherheit zuständig.;Господин Вебер лично отвечает в отделе за IT-безопасность.;an;über;zu
von;Die Mitglieder des Gremiums sind fest ___ der Notwendigkeit dieser Reform überzeugt.;Члены комиссии твердо убеждены в необходимости этой реформы.;über;an;für
zu;Ein erfahrener Mechaniker ist jederzeit ___ schnellen und präzisen Reparaturen fähig.;Опытный механик всегда способен на быстрый и точный ремонт.;für;an;auf
mit;Die Hauseigentümer sind ___ der termingerechten Ausführung der Malerarbeiten sehr zufrieden.;Собственники дома очень довольны своевременным выполнением малярных работ.;von;über;für
an;Die historische Altstadt ist außergewöhnlich reich ___ gut erhaltenen Baudenkmälern.;Исторический старый город исключительно богат хорошо сохранившимися памятниками архитектуры.;von;in;auf
von;Die Entscheidung des Gerichts ist weitgehend ___ den Aussagen der Zeugen abhängig.;Решение суда в значительной степени зависит от показаний свидетелей.;an;aus;auf
für;Dieses robuste Material ist hervorragend ___ den Einsatz im Außenbereich geeignet.;Этот прочный материал превосходно подходит для применения на открытом воздухе.;zu;an;über
auf;Die Anwohner sind sehr stolz ___ die gelungene Neugestaltung des Quartiersplatzes.;Жители очень гордятся удачным обновлением площади квартала.;über;für;an
an;Nach wenigen Wochen im Betrieb hat sich der Auszubildende ___ das frühe Aufstehen gewöhnt.;Через несколько недель работы на предприятии ученик привык к раннему подъему.;auf;zu;in
bei;Die neue Busverbindung zum Bahnhof ist ___ den Pendlern der Region äußerst beliebt.;Новое автобусное сообщение с вокзалом крайне популярно среди пассажиров региона.;an;für;zu
auf;Alle Beteiligten sind schon sehr gespannt ___ den Ausgang der morgigen Verhandlungen.;Все участники уже с большим нетерпением ждут исхода завтрашних переговоров.;über;an;für
von;Der Bauherr war sichtlich enttäuscht ___ der mangelhaften Qualität des neuen Parketts.;Заказчик строительства был заметно разочарован неудовлетворительным качеством нового паркета.;über;an;für
zu;Die Tarifparteien zeigten sich nach langen Gesprächen endlich ___ einem Kompromiss bereit.;Стороны тарифных переговоров после долгих обсуждений наконец выразили готовность к компромиссу.;für;an;auf
über;Die Hausgemeinschaft ist sehr erfreut ___ die zügige Sanierung des feuchten Kellers.;Сообщество жильцов очень радо оперативному ремонту сырого подвала.;auf;an;von
für;Ständiger Lärm und Abgase sind nachweislich schädlich ___ die menschliche Gesundheit.;Постоянный шум и выхлопные газы доказанно вредны для здоровья человека.;zu;an;auf
mit;Die Situation auf dem Wohnungsmarkt ist kaum ___ den Verhältnissen von vor zehn Jahren vergleichbar.;Ситуация на рынке жилья едва ли сравнима с условиями десятилетней давности.;zu;an;von
an;Die Wissenschaftlerin ist besonders stark ___ der Entwicklung neuer Speichertechnologien interessiert.;Ученая особенно сильно заинтересована в разработке новых технологий хранения данных.;für;über;auf
auf;Viele Autofahrer reagierten äußerst wütend ___ die unangekündigte Sperrung der Hauptstraße.;Многие водители отреагировали крайне яростно на необъявленное перекрытие главной улицы.;über;an;für
für;Die Region ist in ganz Europa bekannt ___ ihre traditionsreichen Handwerksbetriebe.;Регион известен по всей Европе своими богатыми традициями ремесленными предприятиями.;von;über;zu
von;Das Publikum war restlos begeistert ___ der virtuosen Darbietung des jungen Orchesters.;Публика была в полном восторге от виртуозного выступления молодого оркестра.;über;für;an
an;Der Gutachter stellte fest, dass die Baufirma völlig schuldlos ___ den Verzögerungen war.;Эксперт установил, что строительная фирма была совершенно невиновна в задержках.;von;für;über
zu;Das gesamte Pflegepersonal verhält sich stets vorbildlich und freundlich ___ den Patienten.;Весь медицинский персонал всегда ведет себя образцово и дружелюбно по отношению к пациентам.;mit;an;bei
über;Der Abteilungsleiter war zutiefst verärgert ___ die wiederholte Missachtung der Dienstzeiten.;Начальник отдела был глубоко раздосадован повторным несоблюдением рабочего времени.;auf;an;von
für;Ein regelmäßiger Austausch zwischen den Teams ist überaus nützlich ___ den Projekterfolg.;Регулярный обмен между командами чрезвычайно полезен для успеха проекта.;zu;an;bei
von;Die Geschäftsleitung war völlig überrascht ___ den unerwartet hohen Absatzzahlen im Quartal.;Руководство было полностью удивлено неожиданно высокими показателями продаж в квартале.;über;an;auf
an;Der kleine Ort im Gebirge ist arm ___ natürlichen Rohstoffen, aber reich an Wasserkraft.;Маленький поселок в горах беден природными ресурсами, но богат гидроэнергией.;von;in;auf
auf;Neidisch ___ den beruflichen Erfolg des Kollegen zu sein, bringt das Team nicht weiter.;Завидовать профессиональному успеху коллеги не двигает команду вперед.;über;für;an
mit;Der erfahrene Notar ist bestens ___ den Besonderheiten des regionalen Baurechts vertraut.;Опытный нотариус отлично знаком с особенностями регионального строительного права.;zu;an;von
über;Wir sind sehr glücklich ___ die schnelle Bewilligung unseres schriftlichen Förderantrags.;Мы очень счастливы по поводу быстрого одобрения нашей письменной заявки на финансирование.;auf;an;von
für;Wer ist in dieser Behörde eigentlich zuständig ___ Anträge auf Gewerbeanmeldung?;Кто в этом ведомстве вообще отвечает за заявления о регистрации предпринимательской деятельности?;an;über;zu
auf;Der Transportunternehmer ist bei weiten Strecken ___ ein verlässliches Navigationssystem angewiesen.;Транспортный предприниматель на дальних расстояниях вынужден полагаться на надежную навигационную систему.;an;von;für
von;Das Prüfungsergebnis ist in hohem Maße ___ der Qualität der praktischen Vorbereitung abhängig.;Результат экзамена в высокой степени зависит от качества практической подготовки.;an;aus;auf
zu;Der Angeklagte war während der Verhandlung ___ keiner sachlichen Kooperation bereit.;Подсудимый во время процесса не был готов ни к какому деловому сотрудничеству.;für;an;auf
für;Die gründliche Dokumentation aller Schritte ist wesentlich ___ die spätere Fehleranalyse.;Тщательное документирование всех шагов существенно для последующего анализа ошибок.;zu;an;auf
an;In diesem Stadtviertel gibt es nur wenige Bürger, die ___ den Planungen beteiligt sind.;В этом городском районе лишь немногие жители вовлечены в планирование.;bei;auf;für
über;Der Meister war sichtlich erstaunt ___ das handwerkliche Geschick des neuen Praktikanten.;Мастер был заметно поражен ремесленным мастерством нового практиканта.;von;auf;an
mit;Die Familie war ___ den vorgeschlagenen Bedingungen des Vermieters nicht einverstanden.;Семья была не согласна с предложенными арендодателем условиями.;zu;von;über
auf;Seien Sie bei der Montage besonders aufmerksam ___ lose Kabelverbindungen und Klemmen.;Будьте при монтаже особенно внимательны к незакрепленным кабельным соединениям и клеммам.;an;über;für
von;Der Bericht der internen Revision war frei ___ jeglicher persönlicher Voreingenommenheit.;Отчет внутреннего аудита был свободен от какой-либо личной предвзятости.;aus;über;an
