indem;Der Mechaniker löste das Problem, ___ er ein neues Dichtungsband anbrachte.;Механик решил проблему тем, что наложил новую уплотнительную ленту.;anstatt;sodass;ohne dass
ohne dass;Der Mieter zog heimlich aus, ___ die Hausverwaltung etwas davon bemerkte.;Арендатор тайно съехал без того, чтобы домоуправление что-либо заметило.;anstatt dass;sodass;indem
anstatt dass;Er repariert den Schaden selbst, ___ er einen qualifizierten Handwerker beauftragt.;Он чинит повреждение сам вместо того, чтобы нанять квалифицированного мастера.;ohne dass;indem;sodass
sodass;Es regnete die ganze Nacht ununterbrochen, ___ die Baugrube voll Wasser lief.;Всю ночь непрерывно шел дождь, так что строительный котлован залило водой.;obwohl;indem;damit
sobald;Geben Sie mir bitte kurz Bescheid, ___ die Ware im Lager eingetroffen ist.;Пожалуйста, дайте мне знать, как только товар поступит на склад.;solange;während;bevor
solange;Die Straße bleibt voll gesperrt, ___ die Arbeiten an den Gasleitungen andauern.;Улица остается полностью перекрытой, пока продолжаются работы на газопроводе.;sobald;damit;indem
wohingegen;Im Norden fiel heftiger Dauerregen, ___ im Süden den ganzen Tag die Sonne schien.;На севере шел сильный затяжной дождь, тогда как на юге весь день светило солнце.;indem;sodass;anstatt dass
sofern;Wir können den Vertrag unterzeichnen, ___ der Stadtrat dem Bauvorhaben zustimmt.;Мы можем подписать договор при условии, что горсовет одобрит строительный проект.;obwohl;anstatt;während
seitdem;Er fühlt sich deutlich fitter, ___ er täglich mit dem Fahrrad zur Arbeit pendelt.;Он чувствует себя значительно бодрее с тех пор, как ежедневно ездит на работу на велосипеде.;während;sobald;damit
indem;Man spart viel Heizenergie, ___ man die Wohnräume regelmäßig kurz stoßlüftet.;Много тепловой энергии экономят тем, что регулярно проветривают жилые комнаты залпом.;sodass;ohne dass;anstatt
ohne dass;Die Maschine lief die gesamte Schicht durch, ___ eine einzige Störung auftrat.;Станок проработал всю смену без возникновения хотя бы одного сбоя.;anstatt dass;indem;sodass
anstatt dass;Viele Pendler fahren mit dem Pkw, ___ sie den gut ausgebauten Nahverkehr nutzen.;Многие пригородные пассажиры ездят на авто вместо того, чтобы пользоваться развитым транспортом.;ohne dass;sodass;indem
sodass;Die Weichen waren völlig vereist, ___ der gesamte Bahnverkehr zum Erliegen kam.;Стрелочные переводы полностью обледенели, так что все движение поездов остановилось.;obwohl;damit;anstatt dass
sobald;Wir überweisen den Betrag umgehend, ___ die korrigierte Rechnung bei uns eingeht.;Мы переведем сумму незамедлительно, как только к нам поступит исправленный счет.;solange;während;bevor
solange;Niemand darf das Prüflabor betreten, ___ die rote Warnleuchte an der Wand blinkt.;Никому нельзя входить в лабораторию испытаний, пока на стене мигает красная лампа.;sobald;nachdem;falls
während;Der Meister prüfte das Werkstück, ___ der Auszubildende den Arbeitsplatz säuberte.;Мастер проверял заготовку, в то время как ученик наводил порядок на рабочем месте.;sodass;anstatt;indem
