einzureichenden;Die bis Ende des Monats ___ Unterlagen müssen vollständig beglaubigt sein.;Документы, которые необходимо подать до конца месяца, должны быть полностью заверены.;eingereichten;einzureichende;eingereichte
zu beachtenden;Die bei Gefahr ___ Sicherheitsvorschriften hängen gut sichtbar im Werkstattbereich aus.;Правила безопасности, которые следует соблюдать при опасности, висят на видном месте в мастерской.;beachteten;zu beachtende;beachtenden
zu zahlende;Der noch vor Monatsende ___ Betrag wird automatisch per Lastschrift eingezogen.;Сумма, подлежащая оплате до конца месяца, будет автоматически списана прямым дебетом.;gezahlte;zu zahlenden;gezahlter
auszufüllende;Das vom Antragsteller eigenhändig ___ Formular muss mit Datum versehen werden.;Бланк, который заявитель должен заполнить собственноручно, должен быть снабжен датой.;ausgefüllte;auszufüllenden;ausgefülltes
zu lösenden;Die im Rahmen des Projekts dringend ___ Aufgaben wurden klar im Team verteilt.;Задачи, которые необходимо срочно решить в рамках проекта, были четко распределены в команде.;gelösten;zu lösende;gelöste
abzuschließenden;Die Bedingungen des neu ___ Arbeitsvertrags müssen sorgfältig geprüft werden.;Условия трудового договора, подлежащего заключению, должны быть тщательно проверены.;abgeschlossenen;abzuschließende;abgeschlossener
zu vermeidender;Ein im Straßenverkehr unbedingt ___ Fehler führte beinahe zu einer schweren Kollision.;Ошибка, которой непременно следует избегать на дороге, едва не привела к тяжелому столкновению.;vermiedener;zu vermeidenden;vermiedene
anzuwendenden;Die bei der statischen Berechnung ___ Normen sind im behördlichen Handbuch festgelegt.;Нормы, подлежащие применению при статическом расчете, зафиксированы в ведомственном справочнике.;angewandten;anzuwendende;angewendeten
zu reparierende;Das vor der nächsten Schicht zwingend ___ Aggregat steht bereits in der Werkstatt.;Агрегат, который необходимо обязательно отремонтировать до следующей смены, уже стоит в мастерской.;reparierte;zu reparierenden;repariertes
einzuhaltenden;Die vom Gesetzgeber strikt ___ Fristen lassen keinerlei Ausnahmen zu.;Сроки, которые законодатель требует строго соблюдать, не допускают никаких исключений.;eingehaltenen;einzuhaltende;eingehaltene
zu prüfenden;Die von der internen Revision ___ Akten wurden im Besprechungsraum bereitgestellt.;Дела, подлежащие проверке внутренним аудитом, были подготовлены в комнате переговоров.;geprüften;zu prüfende;geprüfte
anzufordernde;Das vom Finanzamt noch ___ Dokument liegt den zuständigen Sachbearbeitern bisher nicht vor.;Документ, который еще предстоит запросить в налоговой инспекции, пока не поступил к сотрудникам.;angeforderte;anzufordernden;angefordertes
zu überwindenden;Die bei der Umsetzung des Vorhabens ___ Hürden erfordern große organisatorische Geduld.;Препятствия, которые предстоит преодолеть при реализации замысла, требуют огромного терпения.;überwundenen;zu überwindende;überwundene
auszutauschenden;Die wegen starken Verschleißes ___ Bauteile liegen bereits im Zentrallager bereit.;Детали, подлежащие замене из-за сильного износа, уже подготовлены на центральном складе.;ausgetauschten;auszutauschende;ausgetauschte
zu treffenden;Die vor Baubeginn ___ Maßnahmen zum Schutz des Trinkwassers sind außerordentlich streng.;Меры по защите питьевой воды, которые необходимо принять до начала стройки, чрезвычайно строги.;getroffenen;zu treffende;getroffene
