Applaus;Nach dem Konzert gab es großen ___;После концерта были бурные аплодисменты;Tisch;Baum;Wagen
korrekt;Die Antwort in der Prüfung war völlig ___;Ответ на экзамене был совершенно правильным;laut;kalt;nass
besessen;Er ist völlig ___ von dieser neuen Idee;Он полностью одержим этой новой идеей;leer;müde;brav
bewahren;Wir müssen in dieser Situation die Ruhe ___;Мы должны сохранять спокойствие в этой ситуации;Kochen;singen;trinken
gekämpft;Die Soldaten haben tapfer für ihr Land ___;Солдаты храбро сражались за свою страну;getanzt;gelacht;geschlafen
angreifen;Der Hund wird dich nicht ___, er ist friedlich;Собака на тебя не нападет, она мирная;Kochen;Lesen;Malen
tiefer;Der See ist hier viel ___ als am Ufer;Озеро здесь намного глубже, чем у берега;süßer;lauter;heller
Truppen;Die ___ wurden an die Grenze geschickt;Войска были отправлены на границу;Bäume;Fenster;Tassen
kommandant;Der ___ gab den Befehl zum Abmarsch;Командир отдал приказ к выступлению;Apfel;Tisch;Stuhl
osten;Die Sonne geht immer im ___ auf;Солнце всегда встает на востоке;Keller;Teller;Löffel
beeindruckend;Das hohe Gebäude ist wirklich ___;Высокое здание действительно впечатляет;salzig;müde;weich
besitzt;Mein Onkel ___ ein großes Haus am See;Мой дядя владеет большим домом у озера;isst;schläft;trinkt
clever;Das war ein sehr ___er Plan von dir;Это был очень умный план с твоей стороны;süßer;kalter;nasser
verrückten;Ich halte diesen Plan für völlig ___;Я считаю этот план совершенно сумасшедшим;leisen;süßen;kalten
Freien;An meinem ___ Tag gehe ich gerne spazieren;В свой выходной день я люблю гулять;nassen;salzigen;lauten
hass;Zwischen den beiden Familien gibt es viel ___;Между двумя семьями много ненависти;Käse;Saft;Zucker
antworte;Bitte ___ mir schnell auf diese E-Mail;Пожалуйста, ответь мне быстро на это электронное письмо;koche;trinke;schlafe
Posten;Er hat einen neuen ___ in der Firma bekommen;Он получил новую должность в компании;Apfel;Tisch;Baum
gesteckt;Ich habe den Schlüssel in die Tasche ___;Я положил ключ в карман;getrunken;gegessen;geschlafen
wissenschaft;Die moderne ___ hat viele Krankheiten besiegt;Современная наука победила многие болезни;Suppe;Gabel;Tasche
Ursache;Der Arzt sucht noch nach der ___ für den Schmerz;Врач все еще ищет причину боли;Lampe;Wand;Tür
gewiss;Es ist ___, dass er morgen zurückkommt;Очевидно, что он завтра вернется;salzig;süß;nass
Bereich;Dieser ___ des Parks ist für Hunde verboten;Эта часть парка запрещена для собак;Teller;Apfel;Baum
meinetwegen;Wir können ___ auch zu Hause bleiben;Ради меня мы можем и дома остаться;dort;hier;oben
senator;Der ___ hielt eine lange Rede im Parlament;Сенатор произнес длинную речь в парламенте;Baum;Tisch;Apfel
anteil;Jeder bekommt einen gleichen ___ vom Kuchen;Каждый получит равную долю торта;Baum;Tisch;Stuhl
stets;Sie ist ___ pünktlich und zuverlässig;Она всегда пунктуальна и надежна;blau;Gelb;Grün
ritter;Der tapfere ___ rettete die Prinzessin;Храбрый рыцарь спас принцессу;Apfel;Baum;Tisch
Viertel;Wir treffen uns um ___ vor acht am Bahnhof;Мы встречаемся без четверти восемь на вокзале;halb;voll;ganz
erfüllen;Ich hoffe, dass sich alle deine Wünsche ___;Надеюсь, что все твои желания сбудутся;trinken;Essen;Schlafen
kauft;Mein Bruder ___ sich heute ein neues Auto;Мой брат сегодня покупает себе новую машину;schläft;singt;weint
basis;Gegenseitiges Vertrauen ist die ___ jeder Freundschaft;Взаимное доверие - основа любой дружбы;Gabel;Lampe;Wand
Schock;Die Nachricht war ein großer ___ für uns alle;Эта новость стала для всех нас большим шоком;Baum;Tisch;Apfel
Empfang;Der ___ im Hotel war sehr freundlich;Прием в отеле был очень дружелюбным;Baum;Tisch;Stuhl
wiederhole;Ich ___ den Satz noch einmal für alle;Я повторю предложение еще раз для всех;koche;trinke;schlafe
wünscht;Sie ___ sich ein neues Fahrrad zum Geburtstag;Она желает новый велосипед на день рождения;kocht;singt;weint
besondere;Das ist eine ganz ___ Flasche Wein;Это совершенно особенная бутылка вина;laute;kalte;nasse
titel;Das Buch hat einen sehr interessanten ___;У книги очень интересное название;Baum;Apfel;Tisch
stil;Sie hat einen sehr eleganten ___ beim Kleiden;У нее очень элегантный стиль в одежде;Baum;Apfel;Tisch
fingerabdrücke;Die Polizei fand seine ___ am Fenster;Полиция нашла его отпечатки пальцев на окне;Bäume;Tische;Äpfel
einfluss;Das Wetter hat einen großen ___ auf meine Laune;Погода оказывает большое влияние на мое настроение;Baum;Apfel;Tisch
Anweisungen;Bitte folgen Sie den ___ des Arztes;Пожалуйста, следуйте указаниям врача;Bäume;Äpfel;Tische
zahle;Ich ___ heute die Rechnung für das Abendessen;Сегодня я оплачиваю счет за ужин;schlafe;weine;singe
opfern;Man muss manchmal seine Freizeit für die Arbeit ___;Иногда приходится жертвовать свободным временем ради работы;trinken;Essen;Schlafen
blaue;Das ___ Auto gehört meinem Nachbarn;Синяя машина принадлежит моему соседу;laute;süße;salzige
weiteres;Ich habe ohne ___ zugestimmt;Я согласился без дальнейших разговоров;kaltes;lautes;nasses
gehörst;Du ___ doch auch zu unserer Gruppe;Ты ведь тоже принадлежишь к нашей группе;schläfst;singst;weinst
farm;Mein Großvater lebte früher auf einer großen ___;Мой дедушка раньше жил на большой ферме;Wand;Lampe;Gabel
erstaunlich;Es ist ___, wie schnell die Zeit vergeht;Удивительно, как быстро летит время;salzig;süß;nass
schwachsinn;Das ist doch völliger ___, was du da redest;То, что ты говоришь, - это полная чушь;Baum;Apfel;Tisch
verwandelt;Die Raupe hat sich in einen Schmetterling ___;Гусеница превратилась в бабочку;geschlafen;gesungen;getrunken
daneben;Der Schuss ging leider knapp ___;К сожалению, выстрел прошел совсем рядом;blau;Gelb;Grün
bereiten;Wir müssen noch das Essen für die Gäste ___;Нам еще нужно приготовить еду для гостей;trinken;Schlafen;weinen
gabe;Sie hat die besondere ___, Menschen zu beruhigen;У нее есть особый дар успокаивать людей;Lampe;Wand;Gabel
hundert;Das Gebäude ist über ___ Jahre alt;Этому зданию больше ста лет;blau;Gelb;Grün
erscheinen;Er wird pünktlich zum Treffen ___;Он появится на встрече вовремя;trinken;Essen;Schlafen
besiegen;Wir werden diese Krankheit gemeinsam ___;Мы победим эту болезнь вместе;trinken;Essen;Schlafen
Umständen;Unter diesen ___ kann ich nicht arbeiten;При таких обстоятельствах я не могу работать;Bäumen;äpfeln;tischen
Angelegenheit;Das ist eine sehr private ___;Это очень личное дело;Lampe;Wand;Gabel
Landes;Die Hauptstadt des ___ ist sehr groß;Столица страны очень большая;Baumes;Apfels;Tisches
Dienstag;Wir sehen uns nächsten ___ im Büro;Увидимся в следующий вторник в офисе;Baum;Apfel;Tisch
folgendes;Ich möchte euch ___ dazu sagen;Я хочу сказать вам следующее по этому поводу;kaltes;lautes;nasses
mordes;Er wurde des ___ angeklagt;Он был обвинен в убийстве;Baumes;Apfels;Tisches
nennst;Wie ___ du deinen neuen Hund?;Как ты называешь свою новую собаку?;schläfst;singst;weinst
angestellt;Ich bin bei einer großen Bank ___;Я работаю в крупном банке;getrunken;gegessen;geschlafen
Training;Das ___ für den Marathon war sehr hart;Тренировка к марафону была очень тяжелой;Baum;Apfel;Tisch
aufgetaucht;Mein verlorener Schlüssel ist wieder ___;Мой потерянный ключ снова нашелся;geschlafen;getrunken;gegessen
rausfinden;Ich muss die Wahrheit ___;Я должен выяснить правду;Schlafen;weinen;singen
ächzt;Der alte Stuhl ___ unter seinem Gewicht;Старый стул скрипит под его весом;schläft;singt;weint
rauskommen;Wann wird dein neues Buch ___;Когда выйдет твоя новая книга?;Schlafen;singen;weinen
planet;Die Erde ist der dritte ___ im Sonnensystem;Земля - третья планета в Солнечной системе;Baum;Apfel;Tisch
erwischen;Wir müssen den nächsten Zug ___;Мы должны успеть на следующий поезд;Schlafen;weinen;singen
Sitz;Nehmen Sie bitte auf dem vorderen ___ Platz;Пожалуйста, садитесь на переднее сиденье;Baum;Apfel;Tisch
vorteil;Das bringt uns einen großen ___ im Wettbewerb;Это дает нам большое преимущество в соревновании;Baum;Apfel;Tisch
rosa;Das Mädchen trägt ein ___ Kleid;Девочка носит розовое платье;salzig;laut;nass
tour;Die ___ durch die Berge war sehr anstrengend;Тур по горам был очень утомительным;Lampe;Wand;Gabel
amerikanische;Die ___ Wirtschaft wächst wieder;Американская экономика снова растет;laute;kalte;nasse
schönste;Das war der ___ Tag in meinem ganzen Leben;Это был самый прекрасный день во всей моей жизни;lauteste;kälteste;nasseste
rufst;Warum ___ du mich so spät am Abend an?;Почему ты звонишь мне так поздно вечером?;schläfst;singst;weinst
berührt;Die traurige Geschichte hat mich sehr ___;Грустная история меня очень тронула;geschlafen;gesungen;getrunken
Französisch;Er spricht fließend ___ und Spanisch;Он свободно говорит по-французски и по-испански;laut;kalt;nass
gouverneur;Der ___ von Kalifornien hielt eine Rede;Губернатор Калифорнии произнес речь;Baum;Apfel;Tisch
