bringen;Wir müssen diese neuen wissenschaftlichen Erkenntnisse schnellstmöglich zur Anwendung ___.;Мы должны как можно быстрее применить эти новые научные выводы на практике.;nehmen;stellen;legen
gelangt;Die novellierte Verordnung ___ erst im nächsten Quartal zur praktischen Anwendung.;Обновленное постановление найдет практическое применение только в следующем квартале.;kommt;geht;tritt
schaffen;Die Hausverwaltung muss bei diesem gravierenden Schimmelbefall umgehend Abhilfe ___.;Домоуправление обязано немедленно устранить проблему этой тяжелой плесени.;leisten;stellen;machen
ziehen;Die Aufsichtsbehörde will den verantwortlichen Bauleiter für die Fehler zur Rechenschaft ___.;Надзорный орган намерен привлечь ответственного прораба к ответу за ошибки.;nehmen;bringen;stellen
tragen;Der Gutachter muss den Besonderheiten der historischen Bausubstanz vollumfänglich Rechnung ___.;Эксперт обязан в полной мере принять во внимание особенности исторического фонда.;leisten;geben;nehmen
erstatten;Der Projektleiter hat dem Lenkungsausschuss wöchentlich detaillierten Bericht zu ___.;Руководитель проекта обязан еженедельно предоставлять подробный отчет руководящему комитету.;leisten;bringen;machen
stellen;Die neuen Laborergebnisse ___ die bisherige wissenschaftliche Lehrmeinung völlig in Abrede.;Новые лабораторные результаты полностью опровергают прежнее научное мнение.;bringen;legen;ziehen
nehmen;Der Investor will vor der Übernahme des Werks Einsicht in die internen Bilanzen ___.;Инвестор хочет перед поглощением завода ознакомиться с внутренними балансами.;haben;legen;stellen
legen;Die Antragstellerin konnte stichhaltige Beweise für ihre behördliche Unschuld vor ___.;Заявительница смогла предоставить веские доказательства своей невиновности перед ведомством.;setzen;bringen;stellen
leisten;Die Hilfsorganisationen konnten den Hochwasseropfern unverzüglich Beistand ___.;Благотворительные организации смогли незамедлительно оказать поддержку пострадавшим от паводка.;geben;machen;bringen
bringen;Bei der exakten Kostenkalkulation muss man auch versteckte Risiken in Anschlag ___.;При точном расчете затрат необходимо также учитывать скрытые риски.;nehmen;stellen;legen
führen;Die Tarifparteien wollen die schwierigen Verhandlungen bis zum Morgengrauen zu Ende ___.;Стороны тарифного соглашения хотят довести сложные переговоры до конца к рассвету.;bringen;setzen;halten
stellen;Der Generaldirektor ___ den Ausbau der Produktionskapazitäten verbindlich in Aussicht.;Генеральный директор твердо пообещал расширение производственных мощностей.;gab;brachte;setzte
erheben;Gegen den Bescheid des Finanzamts kann der Steuerpflichtige formgerecht Einspruch ___.;На решение налоговой инспекции налогоплательщик может по форме подать протест.;stellen;machen;nehmen
nehmen;Die Gemeinde will das Angebot des regionalen Energieversorgers nicht in Anspruch ___.;Муниципалитет не намерен воспользоваться предложением регионального поставщика энергии.;stellen;ziehen;bringen
treten;Der geänderte Staatsvertrag wird erst nach der Ratifizierung im Parlament in Kraft ___.;Измененный государственный договор вступит в силу только после ратификации в парламенте.;kommen;gehen;stehen
setzen;Mit massiven Subventionen will der Staat den Wohnungsbau wieder in Gang ___.;Массивными субсидиями государство стремится снова запустить жилищное строительство.;bringen;legen;stellen
finden;Der innovative Lösungsvorschlag des jungen Ingenieurs konnte im Fachausschuss keine Gnade ___.;Инновационное предложение молодого инженера не нашло одобрения в профильном комитете.;bekommen;nehmen;sehen
haben;Der Richter betonte, dass der Angeklagte volles Vertrauen in die Justiz zu ___ habe.;Судья подчеркнул, что подсудимый должен питать полное доверие к правосудию.;nehmen;fassen;schenken
nehmen;Man muss bei dieser umfassenden Sanierung gewisse Lärmbelästigungen in Kauf ___.;При этой масштабной реконструкции приходится мириться с определенными шумовыми неудобствами.;ziehen;stellen;bringen
stellen;Der Nachweis der formalen Qualifikation wurde von der Prüfungskommission unter Beweis ___.;Подтверждение формальной квалификации было доказано экзаменационной комиссии на деле.;gelegt;gebracht;genommen
ziehen;Die Geschäftsführung sollte eine Fusion mit dem Konkurrenten ernsthaft in Betracht ___.;Руководству следует всерьез принять во внимание слияние с конкурентом.;nehmen;fassen;bringen
leisten;Die Universität konnte einen bahnbrechenden Beitrag zur Krebsforschung ___.;Университет смог внести прорывной вклад в исследования онкологии.;machen;tun;geben
treffen;Vor dem endgültigen Guss des Fundaments müssen die Arbeiter alle Vorbereitungen ___.;Перед окончательной заливкой фундамента рабочие должны выполнить все приготовления.;machen;stellen;nehmen
bringen;Der Abgeordnete ___ die Missstände im Justizvollzug mutig zur Sprache.;Депутат смело вынес нарушения в пенитенциарной системе на открытое обсуждение.;stellte;setzte;zog
fällen;Nach monatelanger Beweisaufnahme wird die Kammer morgen das endgültige Urteil ___.;После многомесячного сбора доказательств судебная палата завтра вынесет окончательный приговор.;treffen;machen;schließen
üben;Unabhängige Beobachter ___ an dem neuen Entwurf der Verfassung deutliche Kritik.;Независимые наблюдатели высказывают явную критику в адрес нового проекта конституции.;machen;tun;bringen
schenken;Dem vorläufigen Zwischenbericht der Sonderkommission sollte man vollen Glauben ___.;Предварительному промежуточному отчету спецкомиссии следует оказать полное доверие.;geben;leisten;bringen
nehmen;Der Gutachter weigerte sich strikt, zu dem laufenden Gerichtsverfahren Stellung zu ___.;Эксперт наотрез отказался выразить позицию относительно текущего судебного процесса.;geben;machen;setzen
stellen;Der Kläger wollte die Rechtsgültigkeit des geschlossenen Aufhebungsvertrags in Abrede ___.;Истец хотел оспорить юридическую силу заключенного соглашения о расторжении.;bringen;ziehen;setzen
legen;Wir sollten auf eine lückenlose Dokumentation der Wartung allerhöchsten Wert ___.;Нам следует придать максимальное значение безупречной документации техобслуживания.;setzen;bringen;stellen
halten;Der Notar forderte beide Vertragsparteien dazu auf, die getroffenen Absprachen einzu___.;Нотариус призвал обе стороны договора строго придерживаться достигнутых договоренностей.;wahren;schützen;bleiben
ergreifen;Die Polizeiführung musste zur Eindämmung der Unruhen drastische Maßnahmen ___.;Руководство полиции должно было принять кардинальные меры для сдерживания беспорядков.;machen;tun;fassen
nehmen;Vor Antritt seines Erholungsurlaubs wollte der Meister von der Belegschaft Abschied ___.;Перед уходом в отпуск мастер хотел попрощаться с коллективом работников.;geben;machen;sagen
