lassen;Er hat den defekten Firmenwagen gestern in der Werkstatt reparieren ___.;Он вчера распорядился отремонтировать неисправный служебный автомобиль в мастерской.;gelassen;ließ;lässt
können;Wir haben den Mietvertrag wegen der fehlenden Vollmacht nicht rechtzeitig unterzeichnen ___.;Мы не смогли вовремя подписать договор аренды из-за отсутствия доверенности.;gekonnt;konnten;könnten
müssen;Wegen des heftigen Unwetters hat der Fahrer den Schwertransport vorübergehend unterbrechen ___.;Из-за сильной непогоды водителю пришлось временно прервать перевозку негабаритного груза.;gemusst;musste;müsste
sehen;Ich habe den neuen Kollegen heute am frühen Morgen das Bürogebäude betreten ___.;Я видел сегодня ранним утром, как новый коллега заходил в офисное здание.;gesehen;sah;sehe
hören;Die Nachbarn haben die Alarmanlage der Bank die halbe Nacht laut schrillen ___.;Соседи слышали, как банковская сигнализация громко выла полночи.;gehört;hörten;gehorcht
lassen;Der Geschäftsführer hat die Jahresbilanz von unabhängigen Wirtschaftsprüfern kontrollieren ___.;Управляющий поручил независимым аудиторам проверить годовой баланс.;gelassen;lässt;ließ
können;Niemand aus dem IT-Team hat das gesperrte Administratorkennwort zurücksetzen ___.;Никто из IT-команды не смог сбросить заблокированный пароль администратора.;gekonnt;konnte;könnte
müssen;Der Vormieter hat die beschädigten Wände vor der Schlüsselübergabe komplett streichen ___.;Предыдущему жильцу пришлось полностью покрасить поврежденные стены перед передачей ключей.;gemusst;musste;müsste
hat;Er bedauerte sehr, dass er den wichtigen Termin beim Notar aus Krankheitsgründen nicht ___ wahrnehmen können.;Он очень сожалел, что по причине болезни не смог посетить важный прием у нотариуса.;hätte;ist;wurde
hätte;Wenn der Sachbearbeiter die Dringlichkeit des Antrags rechtzeitig ___ erkennen müssen, wäre die Frist gewahrt worden.;Если бы сотруднику следовало вовремя распознать срочность заявления, срок был бы соблюден.;hatte;habe;sei
helfen;Meine Schwester hat mir am Samstagnachmittag beim Umzug die schweren Umzugskartons tragen ___.;Сестра помогла мне во второй половине дня в субботу перенести тяжелые коробки при переезде.;geholfen;half;hilft
wollen;Der Angeklagte hat eine detaillierte Aussage vor Gericht bis zum Ende des Prozesses verweigern ___.;Подсудимый упорно отказывался давать подробные показания в суде до самого конца процесса.;gewollt;wollte;wolle
dürfen;Wegen der hohen Sicherheitsstufe hat der Besucher das Werksgelände nicht ohne Begleitperson betreten ___.;Из-за высокого уровня безопасности посетителю нельзя было входить на территорию завода без сопровождающего.;gedurft;durfte;dürfte
lassen;Wir haben uns den Eingang des Schreibens von der Behörde schriftlich bestätigen ___.;Мы попросили ведомство письменно подтвердить получение письма.;gelassen;ließ;lässt
können;Trotz intensiver Nachforschungen haben die Ermittler die vertraulichen Unterlagen nicht wieder auffinden ___.;Несмотря на интенсивные поиски, следователи так и не смогли снова обнаружить конфиденциальные документы.;gekonnt;konnten;könnten
müssen;Der Projektleiter hat den Starttermin der Kampagne wegen technischer Hürden um einen Monat verschieben ___.;Руководителю проекта пришлось перенести старт кампании на месяц из-за технических сложностей.;gemusst;musste;müsste
sehen;Der aufmerksame Zeuge hat das verdächtige Fahrzeug mit hoher Geschwindigkeit von der Kreuzung wegfahren ___.;Внимательный свидетель видел, как подозрительный автомобиль на высокой скорости отъехал от перекрестка.;gesehen;sah;sieht
hören;Aus dem Maschinensaal im Kellergeschoss hat man die Turbine die ganze Nacht dumpf dröhnen ___.;Из машинного зала в подвале было слышно, как турбина глухо гудела всю ночь.;gehört;hörte;gehorcht
