habe;Der Sprecher teilte mit, das Ministerium ___ die neuen Richtlinien bereits an alle Ämter verschickt.;Спикер сообщил, что министерство уже разослало новые директивы во все ведомства.;hat;hatte;hätte
sei;Die Polizei betonte, die Situation am Bahnhof ___ mittlerweile vollständig unter Kontrolle.;Полиция подчеркнула, что ситуация на вокзале тем временем находится под полным контролем.;ist;war;wäre
könne;Der Gutachter erklärte, der Riss im Mauerwerk ___ problemlos versiegelt werden.;Эксперт пояснил, что трещина в каменной кладке может быть без проблем загерметизирована.;kann;konnte;könnte
werde;Das Unternehmen kündigte an, der neue Standort ___ im kommenden Frühjahr eröffnet.;Компания объявила, что новый филиал будет открыт будущей весной.;wird;wurde;würde
müsse;Die Behörde stellte klar, jeder Bürger ___ das Dokument vor Fristende einreichen.;Ведомство разъяснило, что каждый гражданин обязан подать документ до окончания срока.;muss;musste;müsste
gebe;Laut Bericht der Kommission ___ es keinen Zweifel an der Qualität des Trinkwassers.;Согласно отчету комиссии, в качестве питьевой воды нет никаких сомнений.;gibt;gab;gäbe
seien;Die Veranstalter versicherten, alle Sicherheitsvorkehrungen ___ gewissenhaft getroffen worden.;Организаторы заверили, что все меры безопасности были добросовестно приняты.;sind;waren;wären
hätten;Die Gewerkschaftsvertreter meinten, sie ___ den Arbeitgebern ein faires Angebot unterbreitet.;Представители профсоюза заявили, что они сделали работодателям справедливое предложение.;haben;hatten;seien
wisse;Der Angeklagte behauptete vor Gericht, er ___ von den Transaktionen überhaupt nichts.;Обвиняемый утверждал в суде, что он вообще ничего не знает о транзакциях.;weiß;wusste;wüsste
stehe;Der Geschäftsführer betonte, der Konzern ___ vor einer richtungsweisenden Entscheidung.;Генеральный директор подчеркнул, что концерн стоит перед определяющим решением.;steht;stand;stünde
habe;Der Pressesprecher gab an, der Minister ___ die Vorwürfe umgehend prüfen lassen.;Пресс-секретарь указал, что министр распорядился немедленно проверить обвинения.;hat;hatte;hätte
sei;Der Arzt bestätigte, der verletzte Fahrer ___ bereits außer Lebensgefahr.;Врач подтвердил, что травмированный водитель уже вне опасности для жизни.;ist;war;wäre
dürfe;Die Richterin betonte, ein solcher Formfehler ___ sich keinesfalls wiederholen.;Судья подчеркнула, что подобная формальная ошибка ни в коем случае не должна повториться.;darf;durfte;dürfte
wolle;Der Zeuge gab zu Protokoll, er ___ lediglich den Lärm im Hof melden.;Свидетель внес в протокол, что он хотел лишь сообщить о шуме во дворе.;will;wollte;wollte haben
liege;Die Stadtverwaltung teilte mit, die Verzögerung ___ ausschließlich am Lieferengpass.;Городская администрация сообщила, что задержка вызвана исключительно перебоями в поставках.;liegt;lag;läge
seien;Der Sprecher teilte mit, viele Passagiere ___ bereits auf Alternativzüge umgestiegen.;Спикер сообщил, что многие пассажиры уже пересели на альтернативные поезда.;sind;waren;wären
würden;Die Fraktionsmitglieder erklärten, sie ___ dem vorgeschlagenen Entwurf nicht zustimmen.;Члены фракции заявили, что они не одобрят предложенный проект.;werden;wurden;seien
habe;Die Hausverwaltung versicherte, die defekte Heizungsanlage ___ vor dem Winter gewartet worden.;Домоуправление заверило, что неисправная отопительная система прошла обслуживание перед зимой.;hat;hatte;hätte
könne;Der Sachbearbeiter meinte, das Ausstellen der Meldebescheinigung ___ bis morgen dauern.;Сотрудник сказал, что выдача справки о регистрации может занять время до завтра.;kann;konnte;könnte
