lässt;Das defekte Schloss an der Haustür ___ sich ohne großen Aufwand reparieren.;Сломанный замок на входной двери можно отремонтировать без особых затрат.;muss;wird;hat
ist;Die monatliche Miete ___ pünktlich bis zum dritten Werktag des Monats zu überweisen.;Ежемесячную аренду необходимо переводить вовремя до третьего рабочего дня месяца.;lässt;wird;hat
lösbar;Dieses technische Problem mit dem Internetanschluss ist glücklicherweise leicht ___.;Эту техническую проблему с интернет-подключением, к счастью, легко решить.;löslich;zulösen;gelöst
lässt;Die handschriftliche Notiz auf dem Umschlag ___ sich nur sehr schwer entziffern.;Рукописную заметку на конверте можно расшифровать лишь с большим трудом.;ist;muss;wird
sind;Alle erforderlichen Formulare ___ vor Beginn der Sprechstunde vollständig auszufüllen.;Все необходимые бланки нужно полностью заполнить до начала часов приема.;lassen;werden;haben
lesbar;Die Adresse auf dem Paket ist durch den Regenschaden leider kaum noch ___.;Адрес на посылке из-за повреждения дождем, к сожалению, едва читаем.;leslich;zulesen;gelesen
lässt;Der Mietvertrag ___ sich mit einer Frist von drei Monaten schriftlich kündigen.;Договор аренды можно расторгнуть в письменном виде со сроком уведомления в три месяца.;ist;kann;wird
ist;Dieser wichtige Bescheid von der Rentenversicherung ___ sorgfältig aufzubewahren.;Это важное решение от пенсионного страхования необходимо тщательно сохранить.;lässt;kann;wird
machbar;Die Renovierung der alten Holztreppe ist innerhalb einer Woche durchaus ___.;Ремонт старой деревянной лестницы вполне выполним в течение одной недели.;mächlich;zumachen;gemacht
lässt;Aus den vorgelegten Rechnungen ___ sich der genaue Energieverbrauch gut ablesen.;По предоставленным счетам можно хорошо считать точный расход энергии.;ist;muss;wird
sind;Die Sicherheitsvorschriften im Treppenhaus ___ von allen Bewohnern strikt zu beachten.;Правила безопасности в подъезде должны строго соблюдаться всеми жильцами.;lassen;können;werden
verständlich;Die schriftliche Erklärung des Sachbearbeiters war für alle Beteiligten sofort ___.;Письменное объяснение сотрудника было сразу понятно всем участникам.;verstehbar;zuverstehen;verstanden
lässt;Der neue Personalausweis ___ sich nach Erhalt des Briefes im Bürgeramt abholen.;Новый паспорт можно забрать в ведомстве после получения письма.;ist;muss;hat
ist;Bei starkem Frost ___ das Wasser im Außenbereich des Gartens komplett abzustellen.;При сильном морозе воду на наружном участке сада необходимо полностью перекрыть.;lässt;wird;kann
vermeidbar;Ein solcher schwerer Schaden an den Heizungsrohren wäre durchaus ___ gewesen.;Такое серьезное повреждение труб отопления вполне можно было предотвратить.;vermeidlich;zuvermeiden;gemieden
lässt;Das moderne Fenster im Schlafzimmer ___ sich in zwei verschiedenen Positionen kippen.;Современное окно в спальне можно откинуть в двух разных положениях.;ist;muss;wird
sind;Gefundene Gegenstände ___ unverzüglich beim zuständigen Fundbüro der Stadt abzugeben.;Найденные вещи должны быть незамедлительно сданы в компетентное бюро находок города.;lassen;haben;können
brauchbar;Die alten Möbelstücke aus dem Keller sind für die Übergangswohnung noch gut ___.;Старая мебель из подвала еще вполне пригодна для временной квартиры.;bräuchlich;zubrauchen;gebraucht
lässt;Dieser Kassenbeleg ___ sich als Nachweis für die Steuererklärung verwenden.;Этот кассовый чек можно использовать в качестве подтверждения для налоговой декларации.;ist;muss;wird
ist;Die defekte Glühbirne im Gemeinschaftsflur ___ durch ein sparsames Leuchtmittel zu ersetzen.;Неисправную лампочку в общем коридоре нужно заменить на экономичный осветительный прибор.;lässt;kann;hat
bezahlbar;In der Innenstadt eine ruhige Wohnung zu finden, die auch noch ___ ist, fällt schwer.;Найти в центре тихую квартиру, которая к тому же доступна по цене, трудно.;bezahllich;zubezahlen;bezahlt
lässt;Die Buchung für den Fernbus ___ sich bis vierundzwanzig Stunden vor Abfahrt stornieren.;Бронирование на междугородний автобус можно отменить за двадцать четыре часа до отправления.;ist;muss;wird
sind;Vor dem Einzug in die Mietwohnung ___ alle Zählerstände gemeinsam zu protokollieren.;Перед заселением в съемную квартиру необходимо совместно внести в протокол все показания счетчиков.;lassen;haben;können
erkennbar;Auf dem Überwachungsfoto war das amtliche Autokennzeichen leider nicht deutlich ___.;На фото наблюдения государственный номер автомобиля, к сожалению, не был четко различим.;erkennlich;zuerkennen;erkannt
lässt;Der Fleck auf dem Sofapolster ___ sich mit warmem Wasser und Seife leicht entfernen.;Пятно на обивке дивана можно легко вывести теплой водой и мылом.;ist;muss;wird
ist;Über den vorgeschlagenen Sanierungsplan ___ auf der nächsten Eigentümerversammlung zu beraten.;Предложенный план санации предстоит обсудить на следующем собрании собственников.;lässt;kann;wird
heilbar;Die leichte Erkältung ist mit ausreichend Ruhe und warmem Tee schnell ___.;Легкая простуда быстро излечима при достаточном покое и теплом чае.;heillich;zuheilen;geheilt
