ist;Das Fenster im Wohnzimmer ___ seit den frühen Morgenstunden fest verschlossen.;Окно в гостиной плотно закрыто с раннего утра.;wird;hat;wurde
sind;Alle wichtigen Dokumente für den Notartermin ___ bereits vollständig vorbereitet.;Все важные документы для встречи у нотариуса уже полностью подготовлены.;werden;haben;wurden
war;Die Haustür ___ gestern Abend um zweiundzwanzig Uhr bereits ordnungsgemäß verriegelt.;Входная дверь была вчера в двадцать два часа уже заперта надлежащим образом.;wurde;hatte;ist
waren;Die Straßen in der Innenstadt ___ nach dem Schneefall gut geräumt.;Улицы в центре города были хорошо расчищены после снегопада.;wurden;hatten;sind
ist;Die Reparatur der defekten Wasserleitung im Keller endlich komplett ___.;Ремонт неисправного водопровода в подвале наконец полностью завершен.;abgeschlossen;abschließen;abschließt
sind;Die Tische im Restaurant für die geschlossene Abendgesellschaft schon ___.;Столики в ресторане для закрытого вечернего приема уже накрыты.;gedeckt;decken;deckten
ist;Das amtliche Antragsformular ___ vom Sachbearbeiter bereits mit Datum abgestempelt.;Официальный бланк заявления уже проштампован сотрудником с указанием даты.;wird;hat;wurde
sind;Die monatlichen Nebenkosten ___ in der vereinbarten Warmmiete bereits inbegriffen.;Ежемесячные коммунальные услуги уже включены в согласованную теплую аренду.;werden;haben;wurden
war;Das Paket ___ bei der Zustellung leider an einer Ecke leicht beschädigt.;Посылка при доставке была, к сожалению, слегка повреждена в одном углу.;wurde;hatte;ist
waren;Die Fensterläden am alten Rathaus ___ wegen des angekündigten Sturms fest geschlossen.;Ставни на старой ратуше были плотно закрыты из-за объявленной бури.;wurden;hatten;sind
ist;Die Glühbirne im Gemeinschaftsflur ___ und muss dringend ausgetauscht werden.;Лампочка в общем коридоре перегорела и должна быть срочно заменена.;durchgebrannt;durchbrennen;durchbrennt
sind;Alle Rechnungen für die Sanierungsarbeiten ___ von der Eigentümerin beglichen.;Все счета за ремонтные работы оплачены собственницей.;werden;haben;wurden
