Der;___ Supermarkt an der Ecke öffnet morgens um acht Uhr.;Супермаркет на углу открывается утром в восемь часов.;Die;Das;Ein
Das;___ Rathaus der Stadt befindet sich direkt am Marktplatz.;Ратуша города находится прямо на рыночной площади.;Der;Die;Ein
Die;___ Bäckerei hat sonntags leider geschlossen.;Булочная по воскресеньям, к сожалению, закрыта.;Der;Das;Ein
ein;Dort drüben steht ___ alter Bus an der Haltestelle.;Вон там на остановке стоит старый автобус.;eine;einen;das
eine;In der Küche steht ___ praktische Waschmaschine.;На кухне стоит удобная стиральная машина.;ein;einen;der
ein;Hier liegt ___ wichtiges Schreiben von der Versicherung.;Здесь лежит важное письмо от страховой компании.;eine;einen;die
kein;Das ist ___ gewöhnlicher Zug, sondern ein Schnellzug.;Это не обычный поезд, а скоростной поезд.;keine;keinen;nicht
keine;Hier gibt es ___ freie Wohnung in diesem Gebäude.;Здесь нет свободной квартиры в этом здании.;kein;keinen;nicht
Die;___ Nachbarn im zweiten Stock sind sehr freundlich.;Соседи на втором этаже очень дружелюбные.;Der;Das;Den
Der;___ Kaffee in diesem Café schmeckt hervorragend.;Кофе в этом кафе на вкус великолепный.;Die;Das;Ein
Das;___ Brot vom Bäcker ist noch ganz warm.;Хлеб из пекарни еще совсем теплый.;Der;Die;Ein
Die;___ Rechnung für den Strom liegt auf dem Küchentisch.;Счет за электричество лежит на кухонном столе.;Der;Das;Ein
ein;Dort vorne parkt ___ blauer Kleinwagen am Straßenrand.;Вон там впереди у края дороги припаркован синий малолитражный автомобиль.;eine;einen;das
eine;Gibt es hier in der Nähe ___ geöffnete Apotheke?;Есть ли здесь поблизости открытая аптека?;ein;einen;der
ein;Das ist ___ typisches Beispiel für Missverständnisse.;Это типичный пример недопонимания.;eine;einen;die
kein;Das ist ___ Grund zur Sorge, die Bahn kommt gleich.;Это не повод для беспокойства, поезд сейчас прибудет.;keine;keinen;nicht
keine;Im Moment fahren ___ Züge wegen der Bauarbeiten.;В данный момент поезда не ходят из-за ремонтных работ.;kein;keinen;nicht
Die;___ Kinder spielen am Nachmittag draußen im Park.;Дети играют во второй половине дня на улице в парке.;Der;Das;Den
Der;___ Aufzug im Wohnhaus ist heute leider defekt.;Лифт в жилом доме сегодня, к сожалению, неисправен.;Die;Das;Ein
Das;___ Zimmer zur Straßenseite ist nachts ziemlich laut.;Комната с окнами на улицу ночью довольно шумная.;Der;Die;Ein
Die;___ Straßenbahn fährt alle zehn Minuten an der Haltestelle ab.;Трамвай отправляется от остановки каждые десять минут.;Der;Das;Ein
ein;Ist das ___ neuer Kollege im Büro?;Это новый коллега в офисе?;eine;einen;das
eine;Dort an der Kreuzung steht ___ rote Fußgängerampel.;Вон там на перекрестке стоит красный пешеходный светофор.;ein;einen;der
ein;Hier entsteht ___ modernes Einkaufszentrum im Viertel.;Здесь строится современный торговый центр в квартале.;eine;einen;die
kein;Er ist ___ Einheimischer, er kommt aus einer anderen Stadt.;Он не местный, он из другого города.;keine;keinen;nicht
keine;Wir haben heute ___ Briefe im Briefkasten gefunden.;Мы сегодня не нашли никаких писем в почтовом ящике.;kein;keinen;nicht
Die;___ Dokumente liegen abholbereit auf dem Schreibtisch.;Документы лежат готовые к выдаче на письменном столе.;Der;Das;Den
Der;___ Schlüsselbund liegt direkt neben der Haustür.;Связка ключей лежит прямо возле входной двери.;Die;Das;Ein
Das;___ Fenster zum Innenhof lässt sich nicht richtig schließen.;Окно во внутренний двор не закрывается как следует.;Der;Die;Ein
Die;___ Speisekarte im Restaurant bietet viele vegetarische Gerichte.;Меню в ресторане предлагает много вегетарианских блюд.;Der;Das;Ein
ein;Hier fehlt noch ___ passender Tisch für die Essecke.;Здесь еще не хватает подходящего стола для обеденной зоны.;eine;einen;das
eine;Das ist ___ sehr praktische Lösung für den Alltag.;Это очень практичное решение для быта.;ein;einen;der
ein;Dort drüben liegt ___ vergessenes Portemonnaie auf der Bank.;Вон там лежит забытый кошелек на скамейке.;eine;einen;die
kein;Das ist ___ Problem, wir können den Termin verschieben.;Это не проблема, мы можем перенести встречу.;keine;keinen;nicht
keine;Hier sind ___ Haustiere im Mietshaus erlaubt.;Здесь в арендованном доме не разрешены домашние животные.;kein;keinen;nicht
Die;___ Lampen im Treppenhaus schalten sich automatisch ein.;Лампы на лестничной клетке включаются автоматически.;Der;Das;Den
