weil;Ich gehe heute früher zu Bett, ___ ich morgen früh zum Arzt muss.;Я иду сегодня спать пораньше, потому что завтра утром мне нужно к врачу.;dass;ob;wenn
dass;Der Vermieter hat mir geschrieben, ___ die Handwerker morgen früh um acht Uhr kommen.;Арендодатель написал мне, что мастера придут завтра утром в восемь часов.;weil;ob;wenn
ob;Können Sie mir bitte sagen, ___ die Straßenbahn direkt zum Marktplatz fährt?;Не могли бы вы мне сказать, едет ли трамвай прямо до рыночной площади?;dass;weil;wenn
wenn;Nehmen Sie bitte einen Regenschirm mit, ___ es draußen nach Regen aussieht.;Возьмите, пожалуйста, зонт, если на улице похоже на дождь.;weil;dass;ob
weil;Wir müssen heute zu Fuß gehen, ___ das Auto zur Reparatur in der Werkstatt steht.;Мы должны сегодня идти пешком, так как машина стоит на ремонте в мастерской.;dass;ob;wenn
dass;Ich habe gestern im Radio gehört, ___ die Fahrpreise ab nächstem Monat steigen.;Я вчера услышал по радио, что цены на проезд со следующего месяца вырастут.;weil;ob;wenn
ob;Die Kundin wollte wissen, ___ diese Winterjacke auch in einer kleineren Größe vorrätig ist.;Покупательница хотела узнать, есть ли эта зимняя куртка в наличии размером поменьше.;dass;weil;wenn
wenn;Bitte schließen Sie alle Fenster, ___ Sie die Wohnung für längere Zeit verlassen.;Пожалуйста, закройте все окна, когда уходите из квартиры на долгое время.;weil;dass;ob
weil;Er trinkt am späten Abend keinen Kaffee mehr, ___ er sonst nachts nicht einschlafen kann.;Он не пьет кофе поздним вечером, потому что иначе не сможет уснуть ночью.;dass;ob;wenn
dass;Es ist wirklich sehr ärgerlich, ___ der Regionalzug schon wieder dreißig Minuten Verspätung hat.;Очень досадно, что региональный поезд снова опаздывает на тридцать минут.;weil;ob;wenn
ob;Niemand am Schalter wusste genau, ___ der Ersatzverkehr mit Bussen heute schon eingerichtet ist.;Никто у стойки не знал точно, организовано ли уже сегодня движение компенсационных автобусов.;dass;weil;wenn
wenn;Rufen Sie mich bitte kurz an, ___ das schwere Paket bei Ihnen im Flur abgegeben wurde.;Позвоните мне быстро, пожалуйста, если тяжелую посылку оставили у вас в подъезде.;weil;dass;ob
weil;Die Bäckerei an der Ecke bleibt heute geschlossen, ___ die Inhaberin krank ist.;Булочная на углу остается сегодня закрытой, так как владелица заболела.;dass;ob;wenn
dass;Der Arzt ist der festen Meinung, ___ eine Woche Bettruhe für die Genesung ausreicht.;Врач твердо убежден, что недели постельного режима достаточно для выздоровления.;weil;ob;wenn
ob;Wir haben die Nachbarn gefragt, ___ sie morgen unsere Blumen im Hausflur gießen können.;Мы спросили соседей, смогут ли они завтра полить наши цветы в подъезде.;dass;weil;wenn
wenn;Man sollte die Heizkörper zudrehen, ___ man die Zimmer im Winter gründlich lüftet.;Следует прикручивать батареи, когда зимой основательно проветриваешь комнаты.;weil;dass;ob
weil;Wir konnten am Wochenende keinen Ausflug machen, ___ es draußen ununterbrochen geregnet hat.;Мы не смогли совершить поездку на выходных, так как на улице непрерывно шел дождь.;dass;ob;wenn
dass;Ich hoffe sehr, ___ der wichtige Brief noch vor dem Wochenende beim Bürgeramt ankommt.;Я очень надеюсь, что важное письмо дойдет до ведомства еще до выходных.;weil;ob;wenn
ob;Ich bin mir noch nicht sicher, ___ dieses große Sofa wirklich in unser Wohnzimmer passt.;Я еще не уверен, поместится ли этот большой диван в нашу гостиную.;dass;weil;wenn
wenn;Geben Sie mir bitte rechtzeitig Bescheid, ___ Sie den Termin am Donnerstag verschieben müssen.;Предупредите меня, пожалуйста, вовремя, если вам придется перенести прием в четверг.;weil;dass;ob
weil;Die Straßen in der Innenstadt sind heute gesperrt, ___ ein großes Stadtfest stattfindet.;Улицы в центре города сегодня перекрыты, потому что проходит большой городской праздник.;dass;ob;wenn
