ins;Wir gehen heute Abend nach der Arbeit zusammen ___ Theater.;Мы идем сегодня вечером после работы вместе в театр.;im;in den;in dem
im;Die Zuschauer sitzen schon seit zehn Minuten ___ Theater und warten auf den Beginn.;Зрители сидят уже десять минут в театре и ждут начала.;ins;in den;in das
auf den;Stellen Sie die Kiste mit den Werkzeugen bitte ___ Balkon.;Поставьте ящик с инструментами, пожалуйста, на балкон.;auf dem;auf die;auf der
auf dem;Die alte Holzkiste steht geschützt vor dem Regen ___ Balkon.;Старый деревянный ящик стоит защищенным от дождя на балконе.;auf den;auf die;auf der
an die;Bitte hängen Sie den neuen Stadtplan gut sichtbar ___ Wand im Flur.;Пожалуйста, повесьте новый план города на видном месте на стену в коридоре.;an der;an den;an dem
an der;Der große Spiegel hängt schon seit vielen Jahren ___ Wand im Schlafzimmer.;Большое зеркало висит уже много лет на стене в спальне.;an die;auf der;auf die
unter den;Schieben Sie das Gepäckstück bitte vollständig ___ Sitz vor Ihnen.;Задвиньте место багажа, пожалуйста, полностью под сиденье перед вами.;unter dem;unter die;unter der
unter dem;Die Geldbörse lag die ganze Zeit unbemerkt ___ Sitz im Bus.;Кошелек лежал все время незамеченным под сиденьем в автобусе.;unter den;unter die;unter der
hinter das;Fahren Sie den Lieferwagen bitte vorsichtig ___ Gebäude.;Загоните фургон доставки, пожалуйста, осторожно за здание.;hinter dem;hinter den;hinter die
hinter dem;Die Mülltonnen stehen gut verdeckt ___ Haus im Innenhof.;Мусорные баки стоят хорошо скрытыми за домом во внутреннем дворе.;hinter das;hinter den;hinter die
vor die;Stellen Sie die nassen Wanderschuhe bitte draußen ___ Haustür.;Поставьте мокрую походную обувь, пожалуйста, снаружи перед входной дверью.;vor der;vor den;vor dem
vor der;Eine lange Menschenschlange wartet geduldig ___ Apotheke in der Innenstadt.;Длинная очередь людей терпеливо ждет перед аптекой в центре города.;vor die;vor dem;vor den
neben den;Setzen Sie sich für das kurze Gespräch bitte ___ Abteilungsleiter.;Присядьте для короткого разговора, пожалуйста, рядом с начальником отдела.;neben dem;neben die;neben der
neben dem;Der moderne Arbeitstisch steht direkt ___ Fenster im Büro.;Современный рабочий стол стоит прямо рядом с окном в офисе.;neben den;neben das;neben die
über den;Hängen Sie die helle Lampe bitte genau mittig ___ Esstisch.;Повесьте яркую лампу, пожалуйста, ровно по центру над обеденным столом.;über dem;über die;über der
über dem;Ein wertvolles Ölgemälde hängt direkt ___ Kamin im Wohnzimmer.;Ценная картина маслом висит прямо над камином в гостиной.;über den;über das;über die
zwischen die;Stecken Sie die Fahrkarte bitte zur Sicherheit ___ Seiten des Reiseführers.;Засуньте билет, пожалуйста, для надежности между страниц путеводителя.;zwischen den;zwischen der;zwischen dem
zwischen den;Der kleine Zettel klemmte fest ___ dicken Büchern im Regal.;Маленькая записка крепко застряла между толстыми книгами на полке.;zwischen die;zwischen der;zwischen dem
in die;Die Fahrgäste steigen nach der Durchsage zügig ___ Straßenbahn ein.;Пассажиры после объявления быстро садятся в трамвай.;in der;in den;im
in der;Viele Pendler stehen am Morgen eng gedrängt ___ Straßenbahn zur Innenstadt.;Многие пассажиры утром стоят в тесноте в трамвае в центр города.;in die;im;in den
an den;Kommen Sie bitte alle zur kurzen Lagebesprechung ___ Konferenztisch.;Подойдите, пожалуйста, все для короткого совещания к столу переговоров.;am;ans;an dem
am;Der Sachbearbeiter sitzt heute den ganzen Vormittag konzentriert ___ Computer.;Сотрудник сидит сегодня все утро сосредоточенно за компьютером.;ans;an den;auf dem
auf das;Legen Sie die unterschriebenen Unterlagen bitte ___ Bett im Gästezimmer.;Положите подписанные документы, пожалуйста, на кровать в комнате для гостей.;auf dem;auf den;auf die
auf dem;Der Hausschlüssel lag die ganze Nacht unbemerkt ___ Küchentisch.;Ключ от дома лежал всю ночь незамеченным на кухонном столе.;auf das;auf den;im
in den;Der Postbote wirft die dringende Benachrichtigung direkt ___ Briefkasten.;Почтальон бросает срочное извещение прямо в почтовый ящик.;im;in dem;ins
im;Es lagen heute Vormittag leider gar keine Briefe ___ Kasten an der Wand.;Сегодня до обеда, к сожалению, вообще не было писем в ящике на стене.;in den;in das;ins
auf die;Stellen Sie die heiße Teetasse bitte vorsichtig ___ Untertasse.;Поставьте горячую чайную чашку, пожалуйста, аккуратно на блюдце.;auf der;auf den;auf dem
auf der;Die Lesebrille liegt griffbereit ___ Kommode neben der Wohnungstür.;Очки для чтения лежат под рукой на комоде рядом с входной дверью.;auf die;auf dem;auf den
hinter die;Die kleine Katze rennt bei lautem Gewitter sofort ___ Couch.;Маленькая кошка при громкой грозе сразу бежит за диван.;hinter der;hinter das;hinter dem
hinter der;Der Regenschirm steht vergessen in einer Ecke ___ Wohnzimmertür.;Зонт стоит забытым в углу за дверью гостиной.;hinter die;hinter dem;hinter den
vor den;Stellen Sie den Transportwagen bitte keinesfalls direkt ___ Notausgang.;Ни в коем случае не ставьте тележку прямо перед запасным выходом.;vor dem;vor die;vor der
vor dem;Ein freies Taxi wartet schon seit zehn Minuten ___ Haupteingang des Hotels.;Свободное такси ждет уже десять минут перед главным входом в отель.;vor den;vor das;vor die
unter die;Der Handwerker kriecht zur Überprüfung der Rohre ___ Spüle in der Küche.;Мастер лезет для проверки труб под мойку на кухне.;unter der;unter das;unter dem
unter der;Die dicken Wasserrohre verlaufen gut isoliert ___ Decke des Kellers.;Толстые водопроводные трубы проходят хорошо изолированными под потолком подвала.;unter die;unter dem;unter den
neben das;Legen Sie das Notizbuch bitte direkt ___ Telefon auf die Ablage.;Положите блокнот, пожалуйста, прямо рядом с телефоном на полку.;neben dem;neben die;neben der
neben dem;Das historische Rathaus befindet sich verkehrsgünstig direkt ___ Marktplatz.;Историческая ратуша находится удобно для транспорта прямо рядом с рыночной площадью.;neben den;neben das;neben die
über die;Die Passanten gehen vorsichtig an der Ampel ___ breite Kreuzung.;Прохожие осторожно переходят на светофоре широкую улицу.;über der;über den;über dem
über der;Eine dichte graue Nebelwand liegt seit den frühen Morgenstunden ___ Stadt.;Плотная серая стена тумана лежит с раннего утра над городом.;über die;über dem;über das
zwischen das;Er schiebt das schmale Bücherregal vorsichtig ___ Sofa und die Wand.;Он осторожно задвигает узкий книжный стеллаж между диваном и стеной.;zwischen dem;zwischen die;zwischen den
zwischen den;Der kostenlose Parkplatz liegt genau ___ beiden großen Geschäftsgebäuden.;Бесплатная парковка расположена ровно между двумя большими офисными зданиями.;zwischen die;zwischen dem;zwischen der
