kann;Ich ___ heute leider nicht zur Besprechung kommen.;Я сегодня, к сожалению, не могу прийти на совещание.;kannst;können;könnt
kannst;___ du mir bitte kurz die Tür aufhalten?;Можешь ты мне, пожалуйста, быстро придержать дверь?;kann;können;könnt
kann;Der Handwerker ___ die Waschmaschine heute reparieren.;Мастер может сегодня отремонтировать стиральную машину.;kannst;können;kannt
können;Wir ___ heute Abend zusammen im Restaurant essen.;Мы можем сегодня вечером поужинать вместе в ресторане.;könnt;kann;kannst
könnt;Kinder, ___ ihr bitte etwas leiser sein?;Дети, вы можете быть, пожалуйста, немного потише?;können;kann;kannst
können;Fahrgäste ___ die Fahrkarten auch am Automaten kaufen.;Пассажиры могут купить билеты также в автомате.;könnt;kann;kannst
muss;Ich ___ heute noch dringend zur Post gehen.;Мне нужно сегодня еще срочно сходить на почту.;musst;müssen;müsst
musst;Du ___ deinen Reisepass vor der Reise verlängern.;Ты должен продлить свой загранпаспорт перед поездкой.;muss;müssen;müsst
muss;Der Arzt sagt, der Patient ___ ein paar Tage im Bett bleiben.;Врач говорит, что пациент должен оставаться несколько дней в постели.;musst;müssen;müsst
müssen;Wir ___ die Monatsmiete immer bis zum dritten Werktag zahlen.;Мы должны оплачивать месячную аренду всегда до третьего рабочего дня.;müsst;muss;musst
müsst;Ihr ___ eure Ausweise an der Rezeption vorzeigen.;Вы должны предъявить свои удостоверения личности на ресепшене.;müssen;muss;müsstet
müssen;Alle Besucher ___ sich am Eingang anmelden.;Все посетители должны зарегистрироваться на входе.;müsst;muss;musst
darf;Hier vor der Ausfahrt ___ man sein Auto nicht parken.;Здесь перед выездом нельзя парковать свой автомобиль.;darfst;dürfen;dürft
darfst;Du ___ während der Autofahrt nicht mit dem Handy telefonieren.;Тебе нельзя разговаривать по мобильному телефону во время вождения.;darf;dürfen;dürft
darf;___ ich Sie kurz um einen Gefallen bitten?;Разрешите (могу) мне обратиться к Вам с короткой просьбой?;darfst;dürfen;dürft
dürfen;Wir ___ in dieser Wohnung leider keine Haustiere halten.;Нам в этой квартире, к сожалению, нельзя держать домашних животных.;dürft;darf;darfst
dürft;Ihr ___ nach der Prüfung gerne schon nach Hause gehen.;Вам разрешено после экзамена охотно идти домой.;dürfen;darf;darfst
dürfen;Kunden ___ diesen Bereich des Lagers nicht betreten.;Клиентам запрещено входить в эту зону склада.;dürft;darf;darfst
will;Ich ___ heute Abend eine frische Gemüsesuppe kochen.;Я хочу приготовить сегодня вечером свежий овощной суп.;willst;wollen;wollt
willst;Wann ___ du morgen früh zum Bahnhof aufbrechen?;Когда ты хочешь отправиться завтра утром на вокзал?;will;wollen;wollt
will;Der Vermieter ___ das alte Haus im Sommer renovieren.;Арендодатель хочет отремонтировать старый дом летом.;willst;wollen;wollt
wollen;Wir ___ am Wochenende einen langen Ausflug an den See machen.;Мы хотим сделать на выходных длинную поездку на озеро.;wollt;will;willst
wollt;Warum ___ ihr heute nicht mit ins Kino kommen?;Почему вы не хотите пойти сегодня с нами в кино?;wollen;will;willst
wollen;Die Mieter ___ eine neue Waschmaschine für den Keller kaufen.;Жильцы хотят купить новую стиральную машину для подвала.;wollt;will;willst
soll;Ich ___ laut Anweisung des Arztes mehr Wasser trinken.;Я должен по предписанию врача пить больше воды.;sollst;sollen;sollt
sollst;Du ___ deinen Schlüssel nicht immer auf dem Tisch liegen lassen.;Ты не должен оставлять свой ключ всегда на столе.;soll;sollen;sollt
soll;Der Postbote ___ das schwere Paket bei den Nachbarn abgeben.;Почтальон должен оставить тяжелую посылку у соседей.;sollst;sollt;sollen
sollen;Wir ___ laut Fahrplan um dreizehn Uhr am Bahnhof sein.;Мы должны по расписанию быть на вокзале в тринадцать часов.;sollt;soll;sollst
sollt;Ihr ___ die Fenster schließen, bevor ihr die Wohnung verlasst.;Вы должны закрыть окна перед тем, как покинуть квартиру.;sollen;soll;sollst
sollen;Die Teilnehmer ___ pünktlich vor dem Prüfungsraum warten.;Участники должны ждать вовремя перед аудиторией для экзамена.;sollt;soll;sollst
möchte;Ich ___ gerne eine Tasse Kaffee mit Milch bestellen.;Я хотел бы заказать чашку кофе с молоком.;möchtest;möchten;möchtet
möchtest;Welchen Kuchen ___ du zum Tee probieren?;Какой пирог ты хотел бы попробовать к чаю?;möchte;möchten;möchtet
möchte;Der Kunde ___ bitte die Rechnung per E-Mail erhalten.;Клиент хотел бы, пожалуйста, получить счет по электронной почте.;möchtest;möchtet;möchten
möchten;Wir ___ uns für die freundliche Hilfe herzlich bedanken.;Мы хотели бы искренне поблагодарить за дружелюбную помощь.;möchtet;möchte;möchtest
möchtet;___ ihr heute Abend mit uns zusammen zu Abend essen?;Хотели бы вы сегодня вечером поужинать вместе с нами?;möchten;möchte;möchtest
möchten;Die Gäste ___ gerne ein ruhiges Zimmer zum Innenhof haben.;Гости хотели бы получить тихий номер с окнами во внутренний двор.;möchtet;möchte;möchtest
