war;Als wir am Firmengebäude ankamen, ___ das schwere Eingangstor bereits fest verschlossen.;Когда мы прибыли к зданию компании, тяжелые входные ворота были уже плотно заперты.;wurde;hatte;ist
waren;Die Fenster im großen Konferenzraum ___ wegen des Unwetters komplett verriegelt.;Окна в большом конференц-зале были полностью заперты из-за непогоды.;wurden;hatten;sind
war;Der Finanzbericht ___ vor der gestrigen Vorstandssitzung bereits lückenlos korrigiert.;Финансовый отчет был уже полностью исправлен перед вчерашним заседанием правления.;wurde;hatte;ist
waren;Alle Rechnungen für den Monat August ___ laut Buchhaltung am Freitag beglichen.;Все счета за август согласно бухгалтерии были оплачены в пятницу.;wurden;hatten;sind
geöffnet;Das städtische Kundencenter war während der gesamten Mittagszeit leider nicht ___.;Городской центр обслуживания клиентов во время всего обеденного перерыва, к сожалению, не был открыт.;öffnend;öffnen;öffnete
gesperrt;Die Bundesstraße war nach dem Erdrutsch für mehrere Stunden vollkommen ___.;Федеральная трасса после оползня была полностью перекрыта на несколько часов.;sperrend;sperren;sperrte
war;Das Sicherheitsschloss an der Lagertür ___ durch den Einbruchversuch sichtlich beschädigt.;Замок безопасности на двери склада был заметно поврежден попыткой взлома.;wurde;hatte;ist
waren;Die handschriftlichen Protokolle der letzten Hauptversammlung ___ ordnungsgemäß abgeheftet.;Рукописные протоколы последнего общего собрания были надлежащим образом подшиты.;wurden;hatten;sind
gewesen;Das Büro des Abteilungsleiters war vor dem Umzug monatelang unbesetzt ___.;Кабинет начальника отдела до переезда месяцами пустовал (был незанят).;geworden;worden;gewesen sein
abgeschlossen;Der Kooperationsvertrag mit dem Zulieferer war bereits im Mai rechtskräftig ___.;Договор о сотрудничестве с поставщиком был юридически заключен еще в мае.;abschließend;abschließen;abschloss
war;Die Heizungsanlage im Kellergeschoss ___ am kalten Montagmorgen komplett abgeschaltet.;Отопительная установка в цокольном этаже была холодным утром понедельника полностью отключена.;wurde;hatte;ist
waren;Die reservierten Sitzplätze im Regionalexpress ___ alle mit deutlichen Schildern markiert.;Забронированные места в региональном экспрессе были все помечены четкими табличками.;wurden;hatten;sind
vorbereitet;Alle erforderlichen Antragsunterlagen waren für den Notartermin sorgfältig ___.;Все необходимые документы заявления были тщательно подготовлены к встрече у нотариуса.;vorbereitend;vorbereiten;vorbereitete
war;Das gesamte Treppenhaus ___ am Abend nach den Renovierungsarbeiten gründlich gereinigt.;Весь подъезд вечером после ремонтных работ был основательно убран.;wurde;hatte;ist
waren;Die vertraulichen Personalakten ___ im feuerfesten Tresor des Direktors sicher verwahrt.;Конфиденциальные личные дела надежно хранились в огнеупорном сейфе директора.;wurden;hatten;sind
