auf den;Achten Sie bitte ___ Abstand zwischen den Zügen.;Пожалуйста, обращайте внимание на расстояние между поездами.;auf dem;an den;für den
auf;Es kommt ___ das Wetter an, ob wir heute grillen.;Зависит от погоды, будем ли мы сегодня жарить гриль.;über;an;für
auf;Ich kann ___ diese schwierige Frage nicht sofort antworten.;Я не могу сразу ответить на этот сложный вопрос.;über;an;für
an;Wir arbeiten hart ___ unserem neuen Software-Projekt.;Мы усердно работаем над нашим новым проектом.;auf;in;bei
auf;Kannst du im Café kurz ___ meinen Laptop aufpassen?;Можешь в кафе недолго присмотреть за моим ноутбуком?;an;für;über
über;Regst du dich schon wieder ___ den langsamen Server auf?;Ты опять бесишься из-за медленного сервера?;auf;um;an
für;Wie viel Geld gibst du im Monat ___ Lebensmittel aus?;Сколько денег в месяц ты тратишь на продукты?;auf;an;über
bei;Ich muss mich unbedingt ___ meiner Kollegin bedanken.;Мне обязательно нужно поблагодарить мою коллегу.;mit;zu;an
für;Ich möchte mich ___ die Verspätung entschuldigen.;Я хочу извиниться за опоздание.;um;über;an
mit;Wann beginnst du ___ deinem Training im Fitnessstudio?;Когда ты начинаешь тренировку в зале?;bei;zu;an
zu;Jeder Mitarbeiter trägt ___ unserem Erfolg bei.;Каждый сотрудник вносит вклад в наш успех.;für;an;mit
über;Die Zeitung berichtet heute ___ den Unfall auf der Autobahn.;Газета сообщает сегодня об аварии на автобане.;von;auf;um
mit;Er beschäftigt sich in seiner Freizeit viel ___ Programmierung.;В свободное время он много занимается программированием.;an;über;für
auf;Ich bestehe ___ einer sofortigen Antwort.;Я настаиваю на немедленном ответе.;an;über;für
auf;Diese Regel bezieht sich nicht ___ Studenten.;Это правило не относится к студентам.;an;über;für
über;Wir diskutieren schon stundenlang ___ dieses Thema.;Мы уже часами дискутируем на эту тему.;um;auf;von
zu;Darf ich dich ___ einem Kaffee einladen?;Могу я пригласить тебя на кофе?;auf;für;in
für;Sie setzt sich stark ___ Tierschutz ein.;Она активно выступает (прилагает усилия) за защиту животных.;um;über;an
von;Ich habe erst gestern ___ deiner Kündigung erfahren.;Я только вчера узнал о твоем увольнении.;über;aus;auf
von;Er muss sich jetzt ___ der schweren Operation erholen.;Ему нужно теперь восстановиться после тяжелой операции.;aus;nach;vor
an;Man erkennt ihn sofort ___ seiner lauten Stimme.;Его сразу узнают по громкому голосу.;bei;mit;durch
bei;Hast du dich schon ___ der Rezeption erkundigt?;Ты уже узнал (навел справки) на ресепшене?;zu;an;mit
nach;Die Touristen erkundigen sich ___ dem Preis für das Ticket.;Туристы спрашивают о цене на билет.;für;über;an
vor;Erschrick bitte nicht ___ dem lauten Geräusch!;Пожалуйста, не пугайся громкого звука!;von;aus;durch
von;Was erwartest du eigentlich ___ mir?;Чего ты вообще от меня ожидаешь?;aus;über;an
über;Erzähl mir bitte mehr ___ dein neues Leben in Deutschland.;Расскажи мне побольше о твоей новой жизни в Германии.;von;aus;mit
an;In diesem Land fehlt es ___ sauberem Wasser.;В этой стране не хватает чистой воды.;von;mit;auf
vor;Viele Menschen fliehen ___ dem Krieg.;Многие люди бегут от войны.;aus;von;durch
von;Der Chef fordert ___ allen Mitarbeitern mehr Pünktlichkeit.;Начальник требует от всех сотрудников большей пунктуальности.;aus;bei;zu
zu;Dieses Buch gehört ___ der Bibliothek.;Эта книга принадлежит библиотеке (является ее частью).;in;an;für
als;Er gilt ___ einer der besten Experten auf diesem Gebiet.;Er gilt als einer der besten Experten auf diesem Gebiet.;für;wie;zu
für;Diese Regel gilt nicht ___ Anfänger.;Это правило не действует для новичков.;auf;an;über
auf;Das Unternehmen gründet seinen Erfolg ___ harter Arbeit.;Компания строит свой успех на усердной работе.;in;an;mit
für;Ich halte ihn ___ einen sehr kompetenten Arzt.;Я считаю его очень компетентным врачом.;als;zu;auf
von;Was hältst du ___ der neuen App?;Что ты думаешь о новом приложении?;über;aus;für
mit;Das Geschäft handelt ___ gebrauchten Motorrädern.;Магазин торгует подержанными мотоциклами.;von;um;über
von;Der neue Film handelt ___ einer wahren Geschichte.;Новый фильм повествует о реальной истории.;über;um;aus
auf;Das Schild weist ___ eine Baustelle hin.;Знак указывает на стройку.;an;zu;in
für;Die Aktivisten kämpfen ___ mehr Gerechtigkeit.;Активисты борются за большее количество справедливости.;um;über;auf
gegen;Wir müssen ___ diese Krankheit kämpfen.;Мы должны бороться против этой болезни.;wider;vor;über
über;Viele Bürger klagen ___ die hohen Steuern.;Многие граждане жалуются на высокие налоги.;auf;um;an
auf;Ich kann mich heute gar nicht ___ die Arbeit konzentrieren.;Я сегодня вообще не могу сконцентрироваться на работе.;an;in;zu
von;Er lebt nur ___ seinem kleinen Gehalt.;Он живет только на свою маленькую зарплату.;aus;mit;durch
über;Ich muss ___ deinen Vorschlag noch nachdenken.;Мне нужно еще подумать над твоим предложением.;an;auf;um
zu;Das rote Hemd passt sehr gut ___ deiner schwarzen Hose.;Красная рубашка очень хорошо подходит к твоим черным штанам.;mit;an;bei
gegen;Die Studenten protestieren ___ die neuen Regeln.;Студенты протестуют против новых правил.;wider;vor;über
auf;Wie hat sie ___ diese überraschende Nachricht reagiert?;Как она отреагировала на эту неожиданную новость?;an;über;zu
mit;Wir rechnen ___ einem starken Umsatzwachstum.;Мы рассчитываем на сильный рост продаж.;auf;für;an
mit;Hast du schon ___ dem Vermieter geredet?;Ты уже поговорил с арендодателем?;bei;zu;an
über;Wir haben die ganze Nacht ___ unsere Pläne geredet.;Мы всю ночь говорили о наших планах.;von;um;auf
vor;Die Feuerwehr hat die Familie ___ dem Feuer gerettet.;Пожарные спасли семью от огня.;aus;von;durch
an;Bitte schicken Sie das Paket ___ meine Hausadresse.;Пожалуйста, отправьте посылку на мой домашний адрес.;zu;auf;in
über;Warum schimpfst du ständig ___ das Wetter?;Почему ты постоянно ругаешься на погоду?;auf;an;für
aus;Was können wir ___ diesem Fehler schließen?;Какой вывод мы можем сделать из этой ошибки?;von;durch;mit
an;Ich schreibe gerade eine E-Mail ___ den Support.;Я как раз пишу письмо в поддержку.;zu;auf;in
vor;Wie kann man sich am besten ___ Viren schützen?;Как лучше всего защититься от вирусов?;gegen;von;aus
nach;Nach dem langen Winter sehne ich mich ___ Sonne.;После долгой зимы я тоскую по солнцу.;für;auf;an
für;Wer sorgt heute Abend ___ die Musik?;Кто сегодня вечером позаботится о музыке (отвечает за музыку)?;um;über;an
