als auch;Der neue Fahrplan gilt sowohl für die Busse ___ für alle Straßenbahnen der Stadt.;Новое расписание действует как для автобусов, так и для всех трамваев города.;sondern auch;noch;oder
sondern auch;Die Wohnung hat nicht nur einen Balkon, ___ einen geräumigen Kellerraum.;В квартире есть не только балкон, но и просторное подвальное помещение.;als auch;noch;oder
noch;Wegen der Störung funktionierte weder das Internet ___ das Festnetztelefon im Büro.;Из-за сбоя в офисе не работал ни интернет, ни стационарный телефон.;weder;oder;aber
oder;Sie können den fälligen Betrag entweder bar einzahlen ___ bequem per Karte überweisen.;Вы можете внести причитающуюся сумму либо наличными, либо удобно перевести картой.;noch;aber;als auch
aber;Das Zimmer ist zwar relativ klein, ___ durch das große Fenster angenehm hell.;Комната хотя и относительно маленькая, но благодаря большому окну приятно светлая.;sondern;oder;noch
desto;Je früher man morgens losfährt, ___ schneller kommt man durch den dichten Stadtverkehr.;Чем раньше выезжаешь утром, тем быстрее проезжаешь через плотный городской поток.;um;als;wie
sowohl;Die städtische Bibliothek bietet ___ gedruckte Bücher als auch digitale Hörbücher an.;Городская библиотека предлагает как печатные книги, так и цифровые аудиокниги.;nicht nur;weder;entweder
nicht nur;Der erfahrene Mechaniker hat ___ die Bremse repariert, sondern auch das Öl gewechselt.;Опытный механик не только отремонтировал тормоз, но и заменил масло.;sowohl;weder;entweder
weder;Der Zeuge konnte sich ___ an das Autokennzeichen noch an die genaue Farbe erinnern.;Свидетель не смог вспомнить ни номер автомобиля, ни его точный цвет.;entweder;sowohl;zwar
entweder;Wir müssen die Renovierung ___ diesen Monat abschließen oder ins Frühjahr verschieben.;Мы должны либо завершить ремонт в этом месяце, либо перенести его на весну.;weder;sowohl;nicht nur
zwar;Das Hotel liegt ___ direkt an der Hauptstraße, aber die Zimmer sind gut schallgedämmt.;Отель расположен хотя и прямо на главной улице, но номера хорошо шумоизолированы.;weder;entweder;sowohl
Je;___ mehr Zeit man in die Vorbereitung investiert, desto sicherer fühlt man sich bei der Prüfung.;Чем больше времени инвестируешь в подготовку, тем увереннее чувствуешь себя на экзамене.;Desto;Umso;Wie
als auch;Dieses Angebot richtet sich sowohl an Privatpersonen ___ an gewerbliche Kunden.;Это предложение ориентировано как на частных лиц, так и на коммерческих клиентов.;sondern auch;oder;noch
sondern auch;Die Nachbarn haben nicht nur den Hof gefegt, ___ die alten Sträucher zurückgeschnitten.;Соседи не только подмели двор, но и подрезали старые кустарники.;als auch;aber;oder
noch;Am Feiertag hatten weder die Postfiliale ___ die umliegenden Banken geöffnet.;В праздничный день не работали ни почтовое отделение, ни окрестные банки.;oder;aber;sondern auch
oder;Fahrkarten erhalten Sie entweder direkt am Automaten ___ über die offizielle App der Bahn.;Билеты вы можете получить либо прямо в автомате, либо через официальное приложение железных дорог.;noch;als auch;aber
aber;Der Wintermantel ist zwar etwas teuer, ___ er hält bei eisigen Temperaturen extrem warm.;Зимнее пальто хотя и дороговато, однако оно экстремально хорошо держит тепло в мороз.;sondern;noch;oder
umso;Je gründlicher die Unterlagen vorbereitet sind, ___ zügiger erteilt das Amt die Genehmigung.;Чем тщательнее подготовлены документы, тем оперативнее ведомство выдает разрешение.;desto mehr;wie;als
sowohl;Im Supermarkt gibt es ___ frisches Gemüse aus der Region als auch importierte Früchte.;В супермаркете есть как свежие овощи из региона, так и импортные фрукты.;nicht nur;entweder;weder
nicht nur;Das neue Bauprojekt verbessert ___ den Verkehr, sondern auch die Lebensqualität im Viertel.;Новый строительный проект улучшает не только движение, но и качество жизни в районе.;sowohl;entweder;weder
weder;Das kleine Café bot gestern ___ warme Mahlzeiten noch frischen Kuchen an.;Маленькое кафе не предлагало вчера ни горячих блюд, ни свежего пирога.;entweder;zwar;sowohl
entweder;Der Handwerker kommt ___ am Dienstagmorgen oder am späten Donnerstagnachmittag.;Мастер придет либо во вторник утром, либо в четверг во второй половине дня.;weder;sowohl;nicht nur
zwar;Die Waschmaschine verbraucht ___ wenig Strom, aber die einzelnen Waschprogramme dauern lang.;Стиральная машина потребляет хотя и мало электричества, но отдельные программы длятся долго.;entweder;weder;nicht nur
desto;Je länger man mit der Reparatur des Daches wartet, ___ teurer werden die Folgeschäden.;Чем дольше тянешь с ремонтом крыши, тем дороже обходятся сопутствующие повреждения.;um;wie;als
als auch;Die ärztliche Praxis vergibt Termine sowohl telefonisch ___ über das Internetformular.;Врачебная практика назначает приемы как по телефону, так и через интернет-форму.;sondern auch;oder;noch
sondern auch;Der Ausfall des Zugs brachte nicht nur Verspätung, ___ erhebliche Mehrkosten mit sich.;Отмена поезда повлекла за собой не только опоздание, но и значительные дополнительные расходы.;als auch;oder;noch
