vorbehaltlich;Die Genehmigung wird ___ der schriftlichen Zustimmung des Denkmalschutzamtes erteilt.;Разрешение выдается при условии письменного согласия ведомства по охране памятников.;mangels;unbeschadet;anlässlich
Unbeschadet;___ bestehender vertraglicher Verpflichtungen bleibt das gesetzliche Kündigungsrecht unberührt.;Независимо от действующих договорных обязательств законное право на расторжение остается в силе.;Vorbehaltlich;Mangels;Anlässlich
mangels;Das Ermittlungsverfahren wurde von der Staatsanwaltschaft ___ hinreichenden Tatverdachts eingestellt.;Следствие было прекращено прокуратурой за неимением достаточных подозрений в совершении преступления.;unbeschadet;zwecks;bezüglich
Folge;Der Bürger ist verpflichtet, den amtlichen Aufforderungen der Vollzugsbeamten unverzüglich ___ zu leisten.;Гражданин обязан незамедлительно подчиняться официальным требованиям судебных приставов.;Dienst;Recht;Gehorsam
Rechtsbehelf;Gegen diesen Bescheid kann innerhalb eines Monats nach Bekanntgabe ein schriftlicher ___ eingelegt werden.;На это решение в течение одного месяца после объявления может быть подано письменное обжалование.;Vorbehalt;Erlass;Bescheid
Kenntnis;Wir setzen Sie hiermit fristgerecht davon in ___, dass Ihr Antrag nunmehr vollständig vorliegt.;Настоящим мы своевременно ставим вас в известность о том, что ваше заявление получено в полном объеме.;Verstand;Aussicht;Kraft
Last;Dem Beschuldigten wird im behördlichen Bescheid eine fahrlässige Pflichtverletzung zur ___ gelegt.;В ведомственном постановлении обвиняемому вменяется в вину халатное нарушение обязанностей.;Schuld;Strafe;Pflicht
Anwendung;Die neuen verwaltungsrechtlichen Bestimmungen finden ab dem ersten Werktag des Folgejahres ___;Новые положения административного права находят применение с первого рабочего дня следующего года.;Verwendung;Aufnahme;Ausführung
bedarf;Eine bauliche Umnutzung dieser denkmalgeschützten Immobilie ___ der vorherigen Genehmigung.;Строительное перепрофилирование этого охраняемого объекта недвижимости требует предварительного разрешения.;verlangt;fordert;beansprucht
kraft;Der Beamte handelte in rechtmäßiger Ausübung seiner Dienstpflichten ___ seines ihm übertragenen Amtes.;Чиновник действовал при законном исполнении служебных обязанностей в силу возложенной на него должности.;mangels;zwecks;bezüglich
Widerspruch;Falls die festgesetzte Gebühr unberechtigt ist, sollte der Zahlungspflichtige formgerecht ___ erheben.;Если установленный сбор неправомерен, плательщику следует по форме заявить возражение.;Zweifel;Kritik;Vorwurf
erbringen;Der Antragsteller hat den Nachweis der ordnungsgemäßen Entsorgung der Abfälle eigenständig zu ___;Заявитель обязан самостоятельно предоставить подтверждение надлежащей утилизации отходов.;leisten;machen;führen
zwecks;Das betroffene Flurstück wurde ___ genauer Grenzfeststellung von amtlichen Vermessern begangen.;Затронутый земельный участок был осмотрен официальными геодезистами в целях точного установления границ.;mangels;unbeschadet;kraft
unterbleiben;Das unbefugte Abstellen von Kraftfahrzeugen im ausgeschilderten Rettungsweg hat strikt zu ___;Самовольная парковка автотранспорта на обозначенном пути эвакуации должна быть строго исключена.;verbleiben;entfallen;aufhören
entrichten;Die im Leistungsbescheid ausgewiesenen Gebühren sind innerhalb von vierzehn Tagen an die Stadtkasse zu ___;Указанные в уведомлении сборы должны быть уплачены в городскую кассу в течение четырнадцати дней.;verrichten;ausrichten;herrichten
stattzugeben;Nach eingehender Würdigung der Sachlage hat die zuständige Kammer dem gestellten Eilantrag ___;После подробной оценки обстоятельств дела компетентная палата удовлетворила поданное срочное ходатайство.;beizugeben;nachzugeben;aufzugeben
abzuweisen;Die Klage gegen den städtebaulichen Entwicklungsplan war als unbegründet ___;Иск против плана градостроительного развития подлежал отклонению как необоснованный.;zurückzuweisen;fortzuweisen;auszuweisen
nachzukommen;Der Grundstückseigentümer hat der auferlegten Räumpflicht bei starkem Schneefall unverzüglich ___;Собственник земельного участка обязан незамедлительно выполнить возложенную обязанность по уборке снега.;beizukommen;einzukommen;vorkommen
