Wort;Das ___ steht im Wörterbuch.;Слово находится в словаре.;Bild;Satz;Buch
Typ;Er ist ein sehr lustiger ___.;Он очень смешной парень.;Baum;Hund;Tisch
unten;Wir warten ___ an der Tür.;Мы ждем внизу у двери.;oben;vorne;hinten
Teil;Das ist ein wichtiger ___ der Maschine.;Это важная часть машины.;Preis;Name;Film
Sorge;Mach dir keine ___ um mich.;Не беспокойся обо мне.;Angst;Freude;Liebe
ding;Was ist das für ein komisches ___?;Что это за странная вещь?;Tier;Auto;Haus
kriegen;Wir ___ heute viele Gäste.;К нам сегодня придет много гостей (Мы получим много гостей).;sehen;geben;suchen
Blut;Er kann kein ___ sehen.;Он не может видеть кровь.;Wasser;Feuer;Geld
wiedersehen;Wir feiern unser ___ nach vielen Jahren.;Мы празднуем нашу встречу после многих лет.;Abschied;Fest;Geburtstag
frei;Ist dieser Platz noch ___?;Это место еще свободно?;besetzt;teuer;schön
möglich;Das ist leider nicht ___.;К сожалению, это невозможно.;nötig;wichtig;richtig
irgendwie;Ich muss das ___ schaffen.;Я должен как-то это сделать.;nirgendwo;Niemals;nichts
Fest;Halte das Seil ___!;Держи веревку крепко!;schnell;langsam;schön
Waffe;Die Polizei fand die ___ im Auto.;Полиция нашла оружие в машине.;Tasche;Karte;Flasche
kaum;Ich kann das ___ glauben.;Я едва могу в это поверить.;oft;immer;sehr
Rede;Seine ___ war sehr interessant.;Его речь была очень интересной.;Frage;Antwort;Idee
früher;Wir sind ___ oft hierher gekommen.;Раньше мы часто сюда приходили.;später;Morgen;heute
Jungen;Die ___ spielen Fußball im Park.;Мальчики играют в футбол в парке.;Mädchen;Tiere;Autos
setzen;Sie können sich hier ___.;Вы можете сюда сесть.;stellen;legen;stehen
zuerst;Wir müssen ___ die Arbeit beenden.;Сначала мы должны закончить работу.;zuletzt;danach;später
willkommen;Sie sind hier immer ___.;Вам здесь всегда рады.;verboten;geschlossen;fertig
Plan;Hast du einen ___ für das Wochenende?;У тебя есть план на выходные?;Brief;Film;Wunsch
hierher;Komm bitte sofort ___!;Пожалуйста, иди немедленно сюда!;dorthin;Weg;zurück
Hände;Wasch dir die ___ vor dem Essen!;Вымой руки перед едой!;Füße;Haare;Ohren
Menge;Wir haben eine ___ Zeit.;У нас уйма времени.;Gruppe;Reihe;Zahl
bereits;Das Konzert hat ___ begonnen.;Концерт уже начался.;noch;wieder;bald
Wochen;Wir bleiben drei ___ in Spanien.;Мы останемся в Испании на три недели.;Jahre;Tage;Stunden
ruf;Der Arzt hat einen guten ___.;У врача хорошая репутация.;Name;Preis;Freund
