war;Ich ___ gestern wegen eines Arzttermins den ganzen Vormittag unterwegs.;Я вчера из-за приема у врача все утро был в разъездах.;warst;wäre;bin
warst;Wo ___ du gestern Nachmittag, als der Paketbote geklingelt hat?;Где ты был вчера днем, когда звонил курьер с посылкой?;war;bist;wärst
war;Das Wetter an der Nordsee ___ während unseres Urlaubs leider ziemlich stürmisch.;Погода на Северном море во время нашего отпуска была, к сожалению, довольно штормовой.;waren;ist;wäre
waren;Wir ___ am vergangenen Samstag zur Wohnungsbesichtigung in der Innenstadt.;Мы были в прошлую субботу на осмотре квартиры в центре города.;wart;sind;waren gewesen
wart;Warum ___ ihr gestern nicht bei der Eigentümerversammlung im Hausflur?;Почему вы вчера не были на собрании собственников в подъезде?;waren;seid;wärt
waren;Die Straßen in der Altstadt ___ nach dem starken Schneefall komplett gesperrt.;Улицы в старом городе после сильного снегопада были полностью перекрыты.;war;sind;seid
hatte;Ich ___ gestern leider keine Zeit, um die Wäsche aus der Reinigung abzuholen.;У меня вчера, к сожалению, не было времени забрать вещи из химчистки.;hattest;habe;hätte
hattest;Warum ___ du gestern Abend eigentlich so schlechte Laune beim Abendessen?;Почему у тебя вчера вечером вообще было такое плохое настроение за ужином?;hatte;hast;hättest
hatte;Frau Schneider ___ letzte Woche ein wichtiges Gespräch mit dem Vermieter.;У госпожи Шнайдер на прошлой неделе был важный разговор с арендодателем.;hattest;hat;hätte
hatten;Wir ___ damals große Schwierigkeiten bei der Suche nach einer bezahlbaren Wohnung.;У нас тогда были большие трудности с поиском доступной квартиры.;hattet;haben;hätten
hattet;___ ihr am Wochenende viel Spaß auf dem Stadtfest am Marktplatz?;Вы получили удовольствие на выходных на городском празднике на рыночной площади?;hatten;habt;hättet
hatten;Die Fahrgäste ___ wegen der langen Zugverspätung verständlicherweise großen Ärger.;Пассажиры из-за долгого опоздания поезда вполне понятно испытывали сильное раздражение.;hatte;haben;hattet
konnte;Ich ___ gestern wegen des lauten Straßenlärms fast die ganze Nacht nicht schlafen.;Я вчера из-за громкого уличного шума почти всю ночь не мог уснуть.;konntest;könnte;kann
konntest;Warum ___ du gestern die Unterlagen nicht rechtzeitig bei der Postfiliale abgeben?;Почему ты вчера не смог вовремя сдать документы в почтовом отделении?;konnte;kannst;könntest
konnte;Der Mechaniker ___ den Schaden an der Autotür glücklicherweise noch am selben Tag reparieren.;Механик, к счастью, смог отремонтировать повреждение на двери машины в тот же день.;konntest;könnte;kann
konnten;Wir ___ den Mietvertrag nach einer langen Verhandlung endlich unterschreiben.;Мы смогли наконец подписать договор аренды после долгих переговоров.;konntet;können;könnten
konntet;___ ihr gestern Abend noch einen freien Tisch im Restaurant reservieren?;Вы смогли вчера вечером забронировать свободный столик в ресторане?;konnten;könnt;könntet
konnten;Die Handwerker ___ die defekte Heizung gestern leider nicht mehr vor Feierabend reparieren.;Мастера, к сожалению, не смогли отремонтировать сломанное отопление вчера до конца рабочего дня.;konnte;können;könnten
