küssen;Das Brautpaar steht vor dem Altar und darf sich jetzt zärtlich auf den Mund ___.;Молодожены стоят перед алтарем и могут сейчас нежно поцеловать друг друга в губы.;schlagen;beißen;treten
umarmen;Nach zwei Jahren Trennung am Flughafen schloss er seine Mutter fest in die Arme, um sie herzlich zu ___.;После двух лет разлуки в аэропорту он крепко заключил маму в объятия, чтобы сердечно обнять ее.;schlagen;treten;beißen
Lächeln;Wenn der Fotograf Bitte recht freundlich ruft, fangen alle auf dem Gruppenfoto an zu ___.;Когда фотограф кричит «Улыбочку!», все на групповом фото начинают улыбаться.;weinen;Schlafen;schreien
grillen;Im Sommer legen wir bei schönem Wetter Bratwürste und Steaks draußen auf den Holzkohlerost, um gemütlich zu ___.;Летом при хорошей погоде мы кладем сосиски и стейки на улице на решетку с углями, чтобы уютно устроить барбекю (пожарить на гриле).;Schlafen;Schwimmen;Fahren
rühren;Damit die dicke Milch im heißen Topf nicht am Boden anrennt, muss man mit dem Holzlöffel ständig kräftig ___.;Чтобы густое молоко в горячей кастрюле не пригорело ко дну, нужно деревянной ложкой постоянно сильно помешивать.;schneiden;Schlafen;Sitzen
mischen;Um die richtige Farbe zu bekommen, muss man gelbe und blaue Farbe auf der Palette zu Grün ___.;Чтобы получить правильный цвет, нужно смешать желтую и синюю краску на палитре в зеленый.;Schlafen;trinken;wohnen
schälen;Bevor man die frische Orange oder die Banane essen kann, muss man zuerst vorsichtig die bittere Haut ___.;Прежде чем съесть свежий апельсин или банан, нужно сначала осторожно очистить (снять) горькую кожуру.;braten;Kochen;trinken
drucken;Mein Chef braucht den Vertrag auf Papier, ich schicke die Datei an das Gerät, um zehn Seiten schwarz auf weiß zu ___.;Моему шефу нужен договор на бумаге, я отправляю файл на устройство, чтобы распечатать десять страниц черным по белому.;Kochen;Schlafen;trinken
kopieren;Wir brauchen das Arbeitsblatt für alle zwanzig Schüler, leg das Original auf das Glas, um es schnell zu ___.;Нам нужен рабочий лист для всех двадцати учеников, положи оригинал на стекло, чтобы быстро скопировать его.;Schlafen;Kochen;trinken
löschen;Dieser alte Text auf der Festplatte ist voller Fehler und unwichtig, drück auf Entfernen, um die Datei endgültig zu ___.;Этот старый текст на жестком диске полон ошибок и не важен, нажми «Удалить», чтобы окончательно стереть (удалить) файл.;Kochen;Schlafen;trinken
speichern;Bevor du den Computer ausschaltest, musst du deine fertige Diplomarbeit mit Strg+S auf dem USB-Stick sicher ___.;Прежде чем выключить компьютер, ты должен надежно сохранить свою готовую дипломную работу комбинацией клавиш на флешке.;Kochen;trinken;Schlafen
