wird;Der wichtige Brief ___ heute Nachmittag von der Sekretärin zur Post gebracht.;Важное письмо будет отнесено сегодня днем секретарем на почту.;wurde;hat;ist
werden;In diesem Kaufhaus ___ alle gängigen EC- und Kreditkarten an der Kasse akzeptiert.;В этом универмаге на кассе принимаются все распространенные дебетовые и кредитные карты.;wird;haben;sein
wurde;Die Straße ___ gestern wegen eines schweren Unfalls für mehrere Stunden voll gesperrt.;Улица была вчера полностью перекрыта на несколько часов из-за тяжелой аварии.;wird;ist;hat
wurden;Die Mülltonnen ___ gestern früh planmäßig von den Mitarbeitern der Stadtreinigung geleert.;Мусорные баки были вчера рано утром по плану опустошены сотрудниками городской службы уборки.;wurden worden;wurdet;werden
worden;Das schwere Paket ist gestern Nachmittag bei den Nachbarn im Erdgeschoss abgegeben ___.;Тяжелая посылка была вчера днем оставлена у соседей на первом этаже.;geworden;werden;gewesen
worden;Alle Fenster im Treppenhaus sind vor zwei Tagen von einer Reinigungsfirma gründlich geputzt ___.;Все окна на лестничной клетке были тщательно вымыты клининговой компанией два дня назад.;geworden;werden;gewesen
von;Der Schaden am Ziegeldach wurde fachgerecht ___ einem erfahrenen Dachdecker behoben.;Повреждение черепичной крыши было профессионально устранено опытным кровельщиком.;durch;aus;mit
durch;Die Straße wurde ___ umgestürzte Bäume nach dem schweren Sommerunwetter blockiert.;Улица была заблокирована поваленными деревьями после сильной летней непогоды.;von;aus;mit
werden;Die Heizkörper in der Mietwohnung müssen vor dem Wintereinbruch sorgfältig entlüftet ___.;Радиаторы в съемной квартире должны быть тщательно развоздушены перед наступлением зимы.;worden;gewerden;sein
werden;Dieses offizielle Antragsformular kann direkt vor Ort im Bürgeramt ausgefüllt ___.;Этот официальный бланк заявления может быть заполнен прямо на месте в ведомстве по делам граждан.;worden;gewerden;sein
wird;Jeden Samstagvormittag ___ der Wochenmarkt auf dem zentralen Marktplatz von vielen Anwohnern besucht.;Каждую субботу до обеда еженедельный рынок на центральной площади посещается многими местными жителями.;wurde;ist;hat
werden;Frische Brötchen ___ in dieser Bäckerei jeden Werktag schon ab vier Uhr morgens gebacken.;Свежие булочки выпекаются в этой булочной каждый будний день уже с четырех часов утра.;wird;haben;sein
wurde;Das historische Museumsgebäude ___ im Jahr 1925 von einem bekannten Baumeister entworfen.;Историческое здание музея было спроектировано в 1925 году известным архитектором.;wird;ist;hat
wurden;Die amtlichen Unterlagen ___ gestern pünktlich per Einschreiben an die Hausverwaltung geschickt.;Официальные документы были вчера вовремя отправлены заказным письмом в домоуправление.;wurde;werden;sind
worden;Der alte Parkscheinautomat an der Ecke ist wegen eines technischen Defekts außer Betrieb genommen ___.;Старый парковочный автомат на углу был выведен из эксплуатации из-за технической неисправности.;geworden;werden;gewesen
worden;Die Schlüssel für die Ferienwohnung sind gestern Abend pünktlich an der Hotelrezeption übergeben ___.;Ключи от апартаментов были вчера вечером вовремя переданы на стойке регистрации отеля.;geworden;werden;gewesen
von;Die Blumenkästen im Eingangsbereich werden regelmäßig ___ einer älteren Nachbarin gegossen.;Цветочные ящики во входной зоне регулярно поливаются пожилой соседкой.;durch;aus;an
durch;Die Fensterscheibe im Erdgeschoss wurde ___ einen heftigen Hagelschlag stark beschädigt.;Оконное стекло на первом этаже было сильно повреждено мощным градом.;von;aus;zu
werden;Die vorgeschriebenen Ruhezeiten im Mietshaus müssen von allen Hausbewohnern strikt eingehalten ___.;Предписанные часы тишины в съемном доме должны строго соблюдаться всеми жильцами дома.;worden;gewerden;sein
wird;Das massive Hoftor ___ jeden Abend um genau zweiundzwanzig Uhr vom Pförtner verriegelt.;Массивные ворота во двор запираются каждый вечер ровно в двадцать два часа вахтером.;wurde;hat;ist
wurde;Der Zugverkehr auf dieser Strecke ___ gestern Vormittag wegen eines Oberleitungsschadens eingestellt.;Движение поездов на этой ветке было остановлено вчера до обеда из-за повреждения контактного провода.;wird;ist;hat
wurden;Viele Passanten ___ gestern von der örtlichen Polizei über die geänderte Verkehrsführung informiert.;Многие прохожие были вчера проинформированы местной полицией об изменении схемы движения.;wurde;werden;haben
worden;Das Badezimmer in der Altbauwohnung ist nach dem Wasserschaden vollständig saniert ___.;Ванная комната в квартире старого фонда была полностью отремонтирована после залива водой.;geworden;werden;gewesen
werden;Alle Gepäckstücke müssen vor dem Einsteigen in den Fernbus gewogen ___.;Все места багажа должны быть взвешены перед посадкой в автобус дальнего следования.;worden;gewerden;sein
von;Die feierliche Ansprache zur Eröffnung wurde ___ der Oberbürgermeisterin persönlich gehalten.;Торжественная речь на открытии была произнесена лично обер-бургомистром.;durch;aus;mit
durch;Der Verkehrslärm im Schlafzimmer wurde ___ den nachträglichen Einbau von Schallschutzfenstern spürbar reduziert.;Уличный шум в спальне был ощутимо снижен благодаря последующей установке шумозащитных окон.;von;mit;aus
wird;Der Restmüll ___ in dieser Siedlung immer am frühen Montagmorgen abgeholt.;Смешанный мусор забирается в этом поселке всегда ранним утром в понедельник.;wurde;hat;ist
werden;An der Volkshochschule ___ in jedem Frühjahr zahlreiche neue Sprachkurse angeboten.;В народном университете каждой весной предлагаются многочисленные новые языковые курсы.;wird;haben;sein
wurde;Der gefundene Schlüsselbund ___ gestern von einem ehrlichen Finder beim Fundbüro abgegeben.;Найденная связка ключей была вчера сдана честным нашедшим в бюро находок.;wird;ist;hat
wurden;Die Verträge ___ vor zwei Tagen von beiden Mietparteien ohne Einwände unterschrieben.;Договоры были подписаны без возражений обеими сторонами аренды два дня назад.;wurde;werden;haben
worden;Die Monatsmiete ist gestern versehentlich auf das alte Bankkonto des Eigentümers überwiesen ___.;Ежемесячная арендная плата была вчера по ошибке переведена на старый банковский счет собственника.;geworden;werden;gewesen
werden;Fahrkarten für den Regionalverkehr können an jedem beliebigen Schalter am Bahnhof gekauft ___.;Билеты на пригородные поезда могут быть куплены в любой кассе на вокзале.;worden;gewerden;sein
von;Der Zeuge des Verkehrsunfalls wurde gestern ausführlich ___ zwei Polizeibeamten vernommen.;Свидетель ДТП был вчера подробно допрошен двумя сотрудниками полиции.;durch;aus;an
durch;Ein größerer Waldbrand wurde ___ das schnelle und entschlossene Eingreifen der Feuerwehr verhindert.;Крупный лесной пожар был предотвращен быстрым и решительным вмешательством пожарной службы.;von;mit;bei
wird;Ein neuer Personalausweis ___ im Regelfall innerhalb von drei bis vier Wochen ausgestellt.;Новый паспорт обычно оформляется в течение трех-четырех недель.;wurde;hat;ist
werden;Im Sommer ___ die städtischen Rasenflächen im Stadtpark alle zwei Wochen gemäht.;Летом городские газоны в городском парке скашиваются каждые две недели.;wird;haben;sein
wurde;Die Reservierung für den Konferenzraum ___ gestern schriftlich per E-Mail bestätigt.;Бронирование конференц-зала было подтверждено вчера письменно по электронной почте.;wird;ist;hat
wurden;Die alten Bleirohre im Kellergeschoss ___ während der Renovierung durch moderne Kunststoffrohre ersetzt.;Старые свинцовые трубы в подвале были заменены современными пластиковыми трубами во время ремонта.;wurde;werden;haben
worden;Die Ausschreibung für das städtische Bauprojekt ist heute Vormittag offiziell veröffentlicht ___.;Тендер на городской строительный проект был официально опубликован сегодня до обеда.;geworden;werden;gewesen
werden;Die ausgeschilderten Notausgänge dürfen unter keinen Umständen mit Kartons oder Möbeln zugestellt ___.;Обозначенные аварийные выходы ни при каких обстоятельствах не должны загромождаться коробками или мебелью.;worden;gewerden;sein
