mir;Kannst du ___ bitte kurz beim Tragen der schweren Kiste helfen?;Можешь ты мне, пожалуйста, быстро помочь донести тяжелую коробку?;mich;dir;ich
dem;Wir fahren heute Morgen mit ___ Bus zum Bahnhof.;Мы едем сегодня утром на автобусе на вокзал.;der;den;das
der;Nach ___ Arbeit gehe ich noch schnell im Supermarkt einkaufen.;После работы я еще быстро зайду за покупками в супермаркет.;die;den;dem
einem;Er wohnt schon seit ___ Jahr in einer ruhigen Straße im Zentrum.;Он живет уже год на тихой улице в центре.;einen;ein;einer
dir;Gefällt ___ diese helle Wohnung im zweiten Stock?;Тебе нравится эта светлая квартира на втором этаже?;dich;du;dein
den;Die Nachbarin hilft ___ älteren Leuten beim wöchentlichen Einkauf.;Соседка помогает пожилым людям с еженедельными покупками.;die;der;dem
dem;Ich komme gerade frisch aus ___ Supermarkt an der Ecke.;Я только что вышел из супермаркета на углу.;das;den;der
ihm;Mein Kollege feiert Geburtstag, ich gratuliere ___ von Herzen.;Мой коллега празднует день рождения, я поздравляю его от чистого сердца.;ihn;er;sein
einer;Sie arbeitet seit ___ Woche in der neuen Bäckerei im Viertel.;Она работает уже неделю в новой пекарне в районе.;einem;einen;eine
der;Wir gehen am Nachmittag zu ___ Post, um ein Paket abzuholen.;Мы идем во второй половине дня на почту, чтобы забрать посылку.;die;den;dem
uns;Der Kellner bringt ___ sofort die Speisekarte an den Tisch.;Официант сразу приносит нам меню за столик.;wir;unser;euch
meinem;Ich fahre am Samstag mit ___ Vater zum großen Baumarkt.;Я поеду в субботу с моим отцом в большой строительный магазин.;mein;meinen;meiner
ihr;Der neue warme Wintermantel steht ___ wirklich ausgezeichnet.;Новое теплое зимнее пальто идет ей действительно превосходно.;sie;ihn;ihrer
dem;Nach ___ warmen Mittagessen trinken die Gäste einen Kaffee.;После теплого обеда гости пьют кофе.;der;den;das
keinem;Bei starkem Glatteis vertraue ich ___ fremden Fahrer auf der Straße.;В сильный гололед я не доверяю ни одному чужому водителю на дороге.;keinen;kein;keiner
den;Das rote Fahrrad im Hof gehört ___ Nachbarn aus dem Erdgeschoss.;Красный велосипед во дворе принадлежит соседям с первого этажа.;die;der;dem
mir;Diese schwere Rechenaufgabe fällt ___ im Moment noch etwas schwer.;Эта сложная расчетная задача дается мне в данный момент еще немного трудно.;mich;ich;mein
deiner;Hast du gestern Abend lange mit ___ Mutter am Telefon gesprochen?;Ты вчера вечером долго разговаривал со своей мамой по телефону?;deine;deinem;deinen
dem;Der Zugbegleiter berichtet von ___ technischen Defekt am Gleis.;Проводник поезда сообщает о технической неисправности на путях.;der;das;den
euch;Wie schmeckt ___ die frische Gemüsesuppe im Restaurant?;Как вам на вкус свежий овощной суп в ресторане?;ihr;sie;uns
einem;Er sitzt konzentriert an ___ kleinen Schreibtisch im Wohnzimmer.;Он сидит сосредоточенно за маленьким письменным столом в гостиной.;einen;einer;ein
Ihnen;Kann die Dame an der Information ___ bei der Orientierung helfen?;Может дама в справочной помочь Вам сориентироваться?;Sie;Ihr;Dich
der;Bei ___ feuchten Kälte zieht man sich am besten warme Socken an.;В эту сырую прохладу лучше всего надеть теплые носки.;die;dem;den
seinem;Der Mieter dankt ___ Vermieter für die zügige Reparatur.;Арендатор благодарит своего арендодателя за оперативный ремонт.;seinen;sein;seiner
ihnen;Wir danken ___ ganz herzlich für die freundliche Auskunft.;Мы благодарим их от всей души за любезную информацию.;sie;ihr;euch
dem;Die alte Holzbank im Garten gehört ___ Eigentümer des Hauses.;Старая деревянная скамейка в саду принадлежит собственнику дома.;der;den;das
unserem;Wir sprechen morgen früh mit ___ Hausmeister über die Mülltonnen.;Мы поговорим завтра утром с нашим комендантом насчет мусорных баков.;unseren;unser;unserer
dir;Passt ___ der Termin beim Zahnarzt am Donnerstag um zehn Uhr?;Тебе подходит запись к зубному врачу в четверг в десять часов?;dich;du;dein
einer;Nach ___ kurzen Pause auf der Bank gehen die Wanderer weiter.;После короткой паузы на скамейке туристы идут дальше.;einem;einen;eine
den;Bei ___ winterlichen Straßenverhältnissen fahren alle Autos langsamer.;В зимних дорожных условиях все автомобили едут медленнее.;die;der;dem
mir;Bitte antworte ___ so schnell wie möglich auf die kurze Nachricht!;Пожалуйста, ответь мне как можно скорее на короткое сообщение!;mich;ich;mein
seinem;Er fährt jeden Werktag mit ___ Fahrrad zum Bahnhof.;Он ездит каждый будний день на своем велосипеде на вокзал.;seinen;sein;seiner
der;Sonntags sitzen die Verwandten gerne bei ___ Oma im Wohnzimmer.;По воскресеньям родственники с удовольствием сидят у бабушки в гостиной.;die;dem;den
ihr;Ich habe ___ den geliehenen Regenschirm gestern pünktlich zurückgegeben.;Я вчера вовремя вернул ей одолженный зонт.;sie;ihn;ihrer
meiner;Ich helfe ___ Schwester am Samstag beim Streichen des Flurs.;Я помогаю моей сестре в субботу с покраской коридора.;meine;meinem;meinen
einem;Wir reisen morgen mit ___ modernen Schnellzug nach Hamburg.;Мы едем завтра на современном скоростном поезде в Гамбург.;einen;einer;ein
