feststellen;Der Mechaniker schaute unter das Auto, um die genaue Ursache für den Schaden zu ___.;Механик заглянул под машину, чтобы констатировать (установить) точную причину поломки.;schlafen;trinken;kochen
behaupten;Ohne jeden Beweis kann man doch nicht einfach so eine böse Lüge über Kollegen ___!;Без всяких доказательств нельзя ведь просто так утверждать такую злую ложь о коллегах!;schlafen;trinken;kochen
bezweifeln;Er verspricht viel, aber wegen seiner vielen Ausreden muss ich seine Ehrlichkeit stark ___.;Он много обещает, но из-за его многочисленных отговорок я вынужден сильно сомневаться в его честности.;schlafen;kochen;trinken
bestreiten;Obwohl alle Zeugen ihn gesehen hatten, wollte der Täter die Tat vor Gericht komplett ___.;Хотя все свидетели видели его, преступник хотел полностью отрицать (оспаривать) содеянное в суде.;zugeben;schlafen;kochen
zugeben;Nach langen Gesprächen mit der Polizei musste der Dieb seinen großen Fehler endlich offen ___.;После долгих бесед с полицией вор должен был наконец открыто признать свою большую ошибку.;bestreiten;leugnen;schlafen
gestehen;Der Angeklagte brach in Tränen aus und entschied sich, die ganze Wahrheit vor Gericht zu ___.;Подсудимый расплакался и решил сознаться (признаться в) во всей правде перед судом.;verschweigen;leugnen;schlafen
nachweisen;Mit den Quittungen und Kontoauszügen konnte der Mieter die regelmäßige Zahlung der Miete lückenlos ___.;Чеками и выписками со счета арендатор смог без пробелов доказать (документально подтвердить) регулярную оплату аренды.;schlafen;trinken;kochen
beweisen;Ein guter Rechtsanwalt muss die Unschuld seines Mandanten mit stichhaltigen Fakten eindeutig ___.;Хороший адвокат должен однозначно доказать невиновность своего подзащитного вескими фактами.;schlafen;trinken;kochen
beurteilen;Um die Qualität einer wissenschaftlichen Arbeit objektiv zu ___, braucht man viel Fachwissen.;Чтобы объективно оценить (вынести суждение о) качество научной работы, требуется много специальных знаний.;schlafen;kochen;trinken
einschätzen;Der Chef kann die Fähigkeiten seiner neuen Mitarbeiter nach der Probezeit sehr realistisch ___.;Начальник может очень реалистично оценить способности своих новых сотрудников после испытательного срока.;schlafen;trinken;kochen
festlegen;Vor dem Beginn des Seminars müssen die Teilnehmer einen festen Zeitplan für die Pausen ___.;Перед началом семинара участники должны установить (зафиксировать) четкий график перерывов.;schlafen;trinken;kochen
