besser;Der Kaffee in dieser kleinen Bäckerei schmeckt viel ___ als im Stehcafé am Bahnhof.;Кофе в этой маленькой пекарне на вкус намного лучше, чем в кафе на вокзале.;gut;am besten;guter
als;Der Schnellzug fährt auf dieser Strecke deutlich schneller ___ der normale Regionalbus.;Скоростной поезд едет по этому маршруту значительно быстрее, чем обычный региональный автобус.;wie;so;von
wie;Die Miete für diese Einzimmerwohnung ist fast genauso hoch ___ in unserer alten Wohnung.;Арендная плата за эту однокомнатную квартиру почти такая же высокая, как и в нашей старой квартире.;als;so;denn
am schnellsten;Mit welcher Straßenbahnlinie kommt man eigentlich ___ zum Südbahnhof?;На какой трамвайной линии можно добраться до Южного вокзала быстрее всего?;schneller;schnell;am schnellste
lieber;Trinken Sie zum Frühstück am Morgen ___ schwarzen Tee oder Filterkaffee?;Вы пьете на завтрак утром охотнее черный чай или фильтр-кофе?;gern;am liebsten;besser
am meisten;In den Monaten Juli und August sind ___ Touristen in der historischen Altstadt unterwegs.;В июле и августе в историческом старом городе больше всего туристов.;mehr;viel;am mehrsten
höher;Die monatlichen Heizkosten sind im Altbau meistens spürbar ___ als im Neubau.;Ежемесячные расходы на отопление в старом фонде обычно ощутимо выше, чем в новостройке.;hoch;am höchsten;hoher
am besten;Welche Waschmaschine eignet sich für eine kleine Stadtwohnung ___?;Какая стиральная машина подходит для маленькой городской квартиры лучше всего?;gut;besser;am beste
älter;Dieses Backsteingebäude an der Ecke ist deutlich ___ als die Häuser in der Nachbarschaft.;Это кирпичное здание на углу значительно старше, чем дома по соседству.;alt;am ältesten;ältere
am liebsten;Am Wochenende kaufe ich mein Gemüse ___ ganz früh auf dem Wochenmarkt ein.;На выходных я покупаю овощи охотнее всего совсем рано на еженедельном рынке.;lieber;gern;am besten
wärmer;Im sonnigen Frühling wird es draußen von Tag zu Tag spürbar ___.;Солнечной весной на улице день ото дня становится ощутимо теплее.;warm;am wärmsten;warmere
teurer;Ein Ticket für die erste Klasse im Fernverkehr ist wesentlich ___ als ein Standardfahrschein.;Билет в первый класс дальнего следования существенно дороже, чем стандартный проездной.;teuer;am teuersten;teuere
am nächsten;Welche Apotheke liegt von diesem U-Bahnhof aus eigentlich ___?;Какая аптека расположена от этой станции метро вообще ближе всего?;näher;nah;am nahsten
wie;Der neue Kühlschrank verbraucht im Alltag nicht so viel Strom ___ das alte Gerät.;Новый холодильник потребляет в быту не так много электричества, как старый прибор.;als;so;denn
als;Frau Bauer liest die Tageszeitung heute viel aufmerksamer ___ sonst.;Госпожа Бауэр читает сегодняшнюю газету гораздо внимательнее, чем обычно.;wie;so;von
mehr;Für das Rezept brauchen wir im Teig noch ein wenig ___ Mehl und Zucker.;Для рецепта нам нужно в тесто еще немного больше муки и сахара.;viel;am meisten;mehre
kälter;In den Wintermonaten ist es in den Bergen meistens erheblich ___ als im Tal.;В зимние месяцы в горах обычно значительно холоднее, чем в долине.;kalt;am kältesten;kältere
am schönsten;Diesen sonnigen Platz im Park finden viele Anwohner ___ zum Ausruhen.;Эту солнечную площадку в парке многие жители находят самой красивой для отдыха.;schöner;schön;am schöne
dunkler;Im November werden die Tage draußen viel ___ und ungemütlicher.;В ноябре дни на улице становятся намного темнее и неуютнее.;dunkel;am dunkelsten;dunkeler
länger;Wegen der Baustelle dauert die Busfahrt heute eine Viertelstunde ___ als gewohnt.;Из-за стройки поездка на автобусе длится сегодня на четверть часа дольше обычного.;lang;am längsten;längere
am längsten;Wer von den Angestellten arbeitet heute Abend eigentlich ___ im Büro?;Кто из сотрудников работает сегодня вечером дольше всех в офисе?;länger;lang;am langsten
größer;Die neue Küche in unserer Mietwohnung ist spürbar ___ als die alte Kochnische.;Новая кухня в нашей съемной квартире ощутимо больше, чем старый кухонный уголок.;groß;am größten;großere
als;Ein Fahrrad ist im dichten Berufsverkehr oft flexibler ___ ein großes Auto.;Велосипед в плотном городском потоке в час пик часто маневреннее, чем большой автомобиль.;wie;so;denn
wie;Die Reparatur der Kaffeemaschine war fast genauso teuer ___ ein Neukauf.;Ремонт кофемашины обошелся почти так же дорого, как покупка новой.;als;so;von
am wenigsten;Dieser kleine Raum unter dem Dach wird im ganzen Haus ___ genutzt.;Эта маленькая комната под крышей используется во всем доме меньше всего.;weniger;wenig;am mindesten
früher;Unter der Woche muss der Hausmeister zwei Stunden ___ aufstehen als am Wochenende.;Среди недели комендант должен вставать на два часа раньше, чем на выходных.;früh;am frühsten;frühe
lieber;Ich esse zum Mittagessen meistens ___ eine warme Suppe als kalte Brote.;Я ем на обед чаще всего охотнее горячий суп, чем холодные бутерброды.;gern;am liebsten;besser
am wichtigsten;Pünktlichkeit und Zuverlässigkeit sind bei der Vergabe der Termine ___.;Пунктуальность и надежность важнее всего при назначении встреч.;wichtiger;wichtig;am wichtigste
näher;Die neue Postfiliale liegt zum Glück viel ___ an unserer Wohnung.;Новое отделение почты, к счастью, расположено намного ближе к нашей квартире.;nah;am nächsten;nahere
öfter;Im Winter sollte man die Wohnräume kurz und intensiv ___ lüften.;Зимой следует проветривать жилые помещения коротко и интенсивно чаще.;oft;am öftesten;öfte
am schwierigsten;Welcher Teil der theoretischen Führerscheinprüfung war für Sie ___?;Какая часть теоретического экзамена на права была для вас самой сложной?;schwieriger;schwierig;am schwerste
höher;Die Stufe am Eingang des alten Gebäudes ist etwas ___ als gewöhnlich.;Ступенька у входа в старое здание немного выше, чем обычно.;hoch;am höchsten;hoher
als;Der Wintermantel hält bei Frost deutlich wärmer ___ die leichte Übergangsjacke.;Зимнее пальто на морозе греет значительно лучше, чем легкая демисезонная куртка.;wie;so;denn
wie;Der Rückweg zum Bahnhof dauerte zu Fuß exakt genauso lange ___ der Hinweg.;Обратный путь до вокзала пешком занял точно столько же времени, сколько дорога туда.;als;so;von
am kältesten;Die Nächte im Januar sind in dieser Region erfahrungsgemäß ___.;Ночи в январе в этом регионе по опыту самые холодные.;kälter;kalt;am kältsten
kürzer;Im Spätherbst werden die hellen Tagesstunden von Woche zu Woche spürbar ___.;Поздней осенью светлое время суток становится от недели к неделе ощутимо короче.;kurz;am kürzesten;kürzere
am vollsten;Am Samstagvormittag sind die Gänge im Supermarkt meistens ___.;В субботу до обеда проходы в супермаркете обычно наиболее заполнены.;voller;voll;am volleste
sauberer;Nach dem gründlichen Frühjahrsputz wirkt das Treppenhaus deutlich ___ als zuvor.;После основательной весенней уборки лестничная клетка выглядит значительно чище, чем раньше.;sauber;am saubersten;saubere
