Nachdem;___ der Zug abgefahren war, bemerkte der Fahrgast das vergessene Gepäck auf dem Bahnsteig.;После того как поезд отъехал, пассажир заметил забытый багаж на перроне.;Bevor;Während;Seitdem
Bevor;___ der Mieter die Wohnung endgültig verließ, drehte er alle Heizkörper komplett ab.;Перед тем как арендатор окончательно покинул квартиру, он полностью перекрыл все радиаторы.;Nachdem;Während;Sobald
Während;___ die Handwerker das Dach reparierten, arbeiteten die Angestellten im Erdgeschoss ruhig weiter.;В то время как мастера чинили крышу, сотрудники на первом этаже спокойно продолжали работать.;Nachdem;Bevor;Seitdem
hatte;Nachdem der Sachbearbeiter die Unterlagen gründlich geprüft ___, stempelte er den Antrag ab.;После того как сотрудник основательно проверил документы, он поставил печать на заявление.;war;hat;hätte
war;Bevor die Reisegruppe am Flughafen eintraf, ___ das Flugzeug bereits gelandet.;Перед тем как тургруппа прибыла в аэропорт, самолет уже приземлился.;hatte;ist;wäre
Nachdem;___ die Ärztin den Patienten untersucht hatte, verschrieb sie ein wirksames Medikament.;После того как врач осмотрела пациента, она выписала действенное лекарство.;Bevor;Während;Bis
Bevor;___ Sie den Mietvertrag unterschreiben, sollten Sie das Übergabeprotokoll genau durchlesen.;Перед тем как вы подпишете договор аренды, вам следует внимательно прочитать акт приема-передачи.;Nachdem;Während;Sobald
Während;___ die Passagiere auf die verspätete Bahn warteten, tranken sie heißen Tee im Bahnhofsgebäude.;Пока пассажиры ждали опаздывающий поезд, они пили горячий чай в здании вокзала.;Nachdem;Bevor;Seitdem
waren;Nachdem alle Fahrgäste eingestiegen ___, schlossen sich die automatischen Wagentüren der Bahn.;После того как все пассажиры зашли, автоматические двери вагонов поезда закрылись.;hatten;sind;wurden
hatten;Bevor die Feuerwehr vor Ort eintraf, ___ die Nachbarn das Feuer im Hof bereits gelöscht.;Перед тем как пожарные прибыли на место, соседи уже потушили огонь во дворе.;waren;haben;hätten
Nachdem;___ der Techniker die Stromversorgung unterbrochen hatte, begann er mit der Reparatur der Leitung.;После того как техник отключил подачу электричества, он начал ремонт проводки.;Bevor;Während;Seitdem
Bevor;___ die Familie in den Urlaub aufbrach, brachte sie die Hausschlüssel zu den Nachbarn.;Перед тем как семья отправилась в отпуск, она отнесла ключи от дома соседям.;Nachdem;Während;Sobald
Während;___ draußen ein schwerer Sturm tobte, blieben die Anwohner vorsichtshalber in ihren Wohnungen.;Пока снаружи бушевала сильная буря, жители дома из предосторожности оставались в своих квартирах.;Nachdem;Bevor;Seitdem
war;Erst nachdem der Schnee vollständig geschmolzen ___, öffnete die Straßenmeisterei den Bergpass.;Только после того как снег полностью растаял, дорожная служба открыла горный перевал.;hatte;ist;wurde
hatte;Bevor der Kunde das Geschäft verließ, ___ er den genauen Betrag an der Kasse bezahlt.;Перед тем как клиент покинул магазин, он оплатил точную сумму на кассе.;war;hat;hätte
Nachdem;___ die Frist für den Widerspruch abgelaufen war, trat der behördliche Bescheid offiziell in Kraft.;После того как срок подачи возражения истек, решение ведомства официально вступило в силу.;Bevor;Während;Bis
Bevor;___ der harte Winter einbrach, isolierten die Hauseigentümer die alten Fenster im Dachgeschoss.;Перед тем как наступила суровая зима, собственники дома утеплили старые окна на чердаке.;Nachdem;Während;Sobald
Während;___ der Schaffner die Fahrkarten kontrollierte, suchte ein Fahrgast nach seinem Ausweis.;Пока кондуктор проверял билеты, один пассажир искал свое удостоверение.;Nachdem;Bevor;Seitdem
hatte;Nachdem der Koch die Suppe abgeschmeckt ___, servierte die Kellnerin die Teller den Gästen.;После того как повар попробовал суп на вкус, официантка подала тарелки гостям.;war;hat;hätte
waren;Bevor die Handwerker mit der Sanierung begannen, ___ alle Bewohner rechtzeitig ausgezogen.;Перед тем как мастера начали санацию, все жильцы своевременно выехали.;hatten;sind;wurden
Nachdem;___ das Paket in der Postfiliale eingetroffen war, erhielt die Kundin eine Benachrichtigung.;После того как посылка прибыла в почтовое отделение, клиентка получила уведомление.;Bevor;Während;Seitdem
Bevor;___ der Notar das Dokument versiegelte, las er den Beteiligten den gesamten Text laut vor.;Перед тем как нотариус запечатал документ, он зачитал участникам весь текст вслух.;Nachdem;Während;Sobald
Während;___ die Reinigungskraft das Treppenhaus wischte, durfte niemand die nassen Stufen betreten.;В то время как уборщица мыла лестничную клетку, никому нельзя было наступать на мокрые ступени.;Nachdem;Bevor;Bis
war;Nachdem das müde Kind nach dem langen Ausflug eingeschlafen ___, kehrte im Haus endlich Ruhe ein.;После того как уставший ребенок уснул после долгой поездки, в доме наконец наступила тишина.;hatte;ist;wäre
hatten;Bevor der neue Fahrplan im Dezember galt, ___ die Verkehrsbetriebe umfangreiche Tests durchgeführt.;Перед тем как новое расписание вступило в силу в декабре, транспортные службы провели масштабные тесты.;waren;haben;hätten
Nachdem;___ der Zeuge seine Aussage bei der Polizei gemacht hatte, durfte er das Revier verlassen.;После того как свидетель дал показания в полиции, ему разрешили покинуть участок.;Bevor;Während;Sobald
