des;Wegen ___ starken Schneefalls fiel der gesamte Bahnverkehr am Vormittag aus.;Из-за сильного снегопада все железнодорожное движение до обеда было отменено.;dem;den;der
der;Während ___ gesamten Renovierung blieb die Stadtbibliothek für Besucher geschlossen.;Во время всего ремонта городская библиотека оставалась закрытой для посетителей.;die;den;dem
des;Trotz ___ technischen Defekts konnte der Bus die nächste Haltestelle sicher erreichen.;Несмотря на техническую неисправность, автобус смог безопасно доехать до следующей остановки.;dem;den;der
eines;Anstatt ___ neuen Autos kaufte die Familie ein gebrauchtes Transportrad.;Вместо нового автомобиля семья купила подержанный грузовой велосипед.;einem;einen;einer
der;Die Reparatur ___ alten Heizungsanlage im Keller dauerte mehrere Arbeitstage.;Ремонт старой отопительной системы в подвале длился несколько рабочих дней.;die;den;dem
des;Die Öffnungszeiten ___ städtischen Bürgeramts wurden an Wochentagen verlängert.;Часы работы городского ведомства по делам граждан были продлены по будням.;dem;den;der
innerhalb;Die geforderten Nachweise müssen ___ einer Frist von zwei Wochen vorliegen.;Требуемые подтверждения должны быть предоставлены в пределах двухнедельного срока.;außerhalb;trotz;wegen
außerhalb;Das Parken von Fahrzeugen ist ___ der markierten Flächen streng verboten.;Парковка транспортных средств за пределами размеченных зон строго запрещена.;innerhalb;während;trotz
wegen;Die Straße musste ___ eines Wasserrohrbruchs für zwei Tage gesperrt werden.;Улицу пришлось перекрыть на два дня из-за прорыва водопровода.;trotz;während;statt
während;Bitte bewahren Sie ___ der gesamten Bahnfahrt Ihren gültigen Fahrschein auf.;Пожалуйста, сохраняйте действующий билет во время всей поездки на поезде.;wegen;trotz;anstatt
trotz;Die Zustellung des Pakets erfolgte ___ der widrigen Wetterverhältnisse pünktlich.;Доставка посылки произошла вовремя, несмотря на неблагоприятные погодные условия.;wegen;während;statt
statt;Er wählte ___ des teuren ICE-Zuges eine günstigere Verbindung mit der Regionalbahn.;Он выбрал вместо дорогого поезда ICE более выгодное сообщение на пригородном поезде.;trotz;wegen;während
