ging;Der alte Mann ___ langsam über den Zebrastreifen.;Пожилой мужчина медленно шел по пешеходному переходу.;geht;ginge;gang
kam;Der Postbote ___ heute eine Stunde später als gewöhnlich.;Почтальон пришел сегодня на час позже обычного.;kommt;käme;gekommen ist
sah;Die Nachbarin ___ gestern dichten Rauch aus dem Keller aufsteigen.;Соседка видела вчера, как густой дым поднимался из подвала.;sieht;saht;gesehen hat
gab;Am Schalter ___ der Beamte dem Bürger ein wichtiges Formular.;У стойки чиновник дал гражданину важный бланк.;gibt;gäbe;gabt
fuhr;Der Regionalzug ___ pünktlich um acht Uhr aus dem Bahnhof ab.;Региональный поезд отправился ровно в восемь часов с вокзала.;fährt;fuhrt;fahrte
schrieb;Der Mieter ___ einen förmlichen Brief an die Hausverwaltung.;Арендатор написал официальное письмо в домоуправление.;schreibt;schriebte;geschrieben hat
las;Der Arzt ___ den medizinischen Bericht sehr aufmerksam durch.;Врач внимательно прочитал медицинский отчет.;liest;laste;gelesen hat
blieb;Wegen des Schneesturms ___ die Familie den ganzen Nachmittag zu Hause.;Из-за снежной бури семья осталась дома на весь день.;bleibt;bleibte;geblieben ist
fand;Die Polizei ___ die verlorene Brieftasche auf der Parkbank.;Полиция нашла потерянный бумажник на скамейке в парке.;findet;findete;fände
nahm;Der Fahrgast ___ seinen schweren Koffer aus dem Gepäckfach.;Пассажир взял свой тяжелый чемодан с багажной полки.;nimmt;nehmte;nähme
brachte;Die Kellnerin ___ den Gästen frischen Kaffee und zwei Gläser Wasser.;Официантка принесла гостям свежий кофе и два стакана воды.;bringt;bringte;brächte
dachte;Der Verkäufer ___ kurz über die ungewöhnliche Frage des Kunden nach.;Продавец ненадолго задумался над необычным вопросом клиента.;denkt;denkte;dächte
wusste;Niemand im Treppenhaus ___ den genauen Grund für den plötzlichen Stromausfall.;Никто в подъезде не знал точную причину внезапного отключения электричества.;weiß;wisste;wüsste
bat;Die Dame ___ den Passanten höflich um Hilfe beim Überqueren der Straße.;Дама вежливо попросила прохожего о помощи при переходе улицы.;bittet;bettete;bäte
lag;Ein dicker Brief von der Versicherung ___ heute Morgen im Briefkasten.;Толстое письмо от страховой компании лежало сегодня утром в почтовом ящике.;liegt;lägte;lagte
saß;Der Zeuge ___ während des ganzen Vorfalls ruhig auf einer Bank.;Свидетель во время всего происшествия спокойно сидел на скамейке.;sitzt;sitzte;saßte
stand;Ein Lieferwagen ___ stundenlang direkt vor der Ausfahrt der Feuerwehr.;Фургон доставки часами стоял прямо перед выездом пожарной службы.;steht;stehte;stünde
schlief;Das kranke Kind ___ nach der Einnahme der Tropfen tief und fest.;Больной ребенок после приема капель спал крепко и спокойно.;schläft;schlafte;geschlafen hat
