hätte;Wenn ich gestern den Wecker gehört ___, wäre ich nicht zu spät zum Dienst erschienen.;Если бы я вчера услышал будильник, я бы не опоздал на службу.;habe;hatte;wäre
wäre;Wenn der Zug pünktlich abgefahren ___, hätten wir den Anschlussbus in Nürnberg noch erreicht.;Если бы поезд отправился вовремя, мы бы еще успели на пересадочный автобус в Нюрнберге.;hätte;ist;war
hätten;Wenn wir die Unterlagen früher eingereicht ___, wäre der Bescheid schon ausgestellt worden.;Если бы мы подали документы раньше, решение уже было бы оформлено.;haben;hatten;wären
wären;Wenn die Gehwege rechtzeitig gestreut worden ___, wäre es nicht zu diesem Sturz gekommen.;Если бы тротуары были вовремя посыпаны, этого падения не произошло бы.;hätten;sind;wurden
hätte;Er ___ sich gerne persönlich bei Ihnen bedankt, aber die Zeit vor der Abreise war zu knapp.;Он с удовольствием поблагодарил бы вас лично, но время перед отъездом было слишком ограничено.;habe;hatte;wäre
wäre;Ich ___ gestern Abend lieber zu Hause geblieben, anstatt an dieser langen Konferenz teilzunehmen.;Я вчера вечером лучше остался бы дома вместо того, чтобы участвовать в этой долгой конференции.;hätte;bin;war
hättest;Du ___ mich doch einfach kurz anrufen können, anstatt zwei Stunden am Bahnhof zu warten!;Ты мог бы просто набрать мне, вместо того чтобы ждать два часа на вокзале!;hast;hattest;wärest
wärst;Wenn du auf der nassen Fahrbahn etwas langsamer gefahren ___, wäre der Wagen nicht ins Schleudern geraten.;Если бы ты ехал чуть медленнее по мокрой дороге, машину не занесло бы.;hättest;bist;warst
hätte;Ohne deine präzise Wegbeschreibung ___ der Handwerker den hinteren Hofeingang niemals gefunden.;Без твоего точного описания дороги мастер никогда бы не нашел задний вход со двора.;hat;habe;wäre
wäre;Beinahe ___ die Lieferung im strömenden Regen durchnässt worden, wenn der Nachbar sie nicht gesichert hätte.;Доставка чуть было не промокла под проливным дождем, если бы сосед не убрал ее в сухое место.;hätte;ist;hat
hätten;Die Hauseigentümer ___ die alte Ölheizung gerne ersetzt, aber die Fördergelder wurden vorerst gestoppt.;Собственники дома охотно заменили бы старое масляное отопление, но субсидии пока были приостановлены.;haben;hatten;wären
