dass;Das ist der Fehler, von dem der Sachverständige meint, ___ er vermeidbar gewesen wäre.;Это та ошибка, о которой эксперт считает, что она была предотвратима.;wenn;ob;weil
den;Hier ist der Entwurf des Bauplans, ___ der Architekt versprochen hat, noch heute vorzulegen.;Вот черновой вариант плана, который архитектор обещал предоставить еще сегодня.;dem;dessen;welchem
die;Das sind die gesetzlichen Vorgaben, von denen man weiß, dass ___ strikt einzuhalten sind.;Это те законные предписания, о которых известно, что их необходимо строго соблюдать.;der;denen;deren
zu;Das ist ein gravierender Missstand, den ___ beheben sich die Leitung verpflichtet hat.;Это серьезное нарушение, устранить которое обязалось руководство предприятия.;zur;beim;vom
dass;Es gibt Zwischenfälle, von denen die Werkfeuerwehr hofft, ___ sie sich niemals ereignen.;Есть инциденты, о которых заводская пожарная служба надеется, что они никогда не случатся.;ob;wie;damit
der;Dort steht der Prüfingenieur, von dem alle Kollegen sagen, ___ er überragendes Fachwissen besitzt.;Там стоит инженер-испытатель, о котором все коллеги говорят, что он обладает выдающимися знаниями.;den;dem;dessen
zu;Das ist ein schwerer Defekt am Zylinder, den ___ reparieren sehr kostspielig sein dürfte.;Это тяжелый дефект цилиндра, отремонтировать который, видимо, обойдется очень дорого.;beim;im;am
dass;Das ist ein brisantes Dokument, bezüglich dessen die Kanzlei vermutet, ___ es manipuliert wurde.;Это скандальный документ, относительно которого канцелярия подозревает, что он был сфабрикован.;ob;wenn;weil
die;Die Reformen, von denen die Regierung versichert, dass ___ den Bürgern nutzen werden, stocken.;Реформы, о которых правительство заверяет, что они принесут пользу гражданам, буксуют.;der;denen;deren
den;Er nannte einen realistischen Betrag, ___ zu investieren der Aufsichtsrat bereit war.;Он назвал реалистичную сумму, инвестировать которую наблюдательный совет был вполне готов.;dem;dessen;welchem
dass;Es ereignete sich ein Vorfall, von dem der Schichtleiter annimmt, ___ er auf Sabotage beruht.;Произошел инцидент, о котором начальник смены предполагает, что он вызван саботажем.;ob;wie;wenn
der;Das ist jener erfahrene Meister, von dem die Auszubildenden glauben, ___ er alles reparieren kann.;Это тот опытный мастер, о котором ученики верят, что он может починить абсолютно все.;den;dem;dessen
zu;Hier liegt das brisante Dossier, das ___ prüfen der Staatsanwalt selbst übernommen hat.;Здесь лежит резонансное досье, проверить которое прокурор взял на себя лично.;im;beim;zum
dass;Es handelt sich um eine Methode, von der Forscher behaupten, ___ sie den Markt revolutioniert.;Речь идет о методе, о котором ученые утверждают, что он революционизирует рынок.;wenn;ob;damit
die;Das sind veraltete Richtlinien, von denen die Richter urteilten, dass ___ nicht mehr anwendbar sind.;Это устаревшие директивы, о которых судьи постановили, что они более неприменимы.;der;denen;deren
den;Er fand einen handwerklichen Kniff, ___ anzuwenden er jedem Mechaniker dringend empfahl.;Он нашел ремесленный прием, применить который настоятельно рекомендовал каждому механику.;dem;dessen;welchem
dass;Das ist ein riskanter Beschluss, von dem die Opposition fürchtet, ___ er Arbeitsplätze vernichtet.;Это рискованное решение, о котором оппозиция опасается, что оно уничтожит рабочие места.;ob;wie;weil
der;Wir begrüßen den Notar, von dem die Käufer erwarten, ___ er den Vertrag unparteiisch beurkundet.;Мы приветствуем нотариуса, от которого покупатели ожидают, что он беспристрастно заверит сделку.;den;dem;dessen
zu;Es gab etliche Formfehler in der Klage, die ___ korrigieren die Anwältin Tage brauchte.;В иске был ряд формальных ошибок, на исправление которых адвокату потребовались дни.;beim;vom;zum
dass;Das ist ein technologischer Sprung, von dem Experten prognostizieren, ___ er Energie spart.;Это технологический скачок, о котором эксперты прогнозируют, что он сэкономит энергию.;wenn;ob;damit
die;Das waren gefährliche Risse im Beton, von denen die Prüfer warnten, dass ___ einstürzen könnten.;Это были опасные трещины в бетоне, о которых эксперты предупреждали, что они могут рухнуть.;der;denen;deren
den;Es gibt einen neuen Standard für Datenübertragung, ___ einzuhalten Firmen verpflichtet sind.;Существует новый стандарт передачи данных, соблюдать который компании обязаны.;dem;dessen;welchem
dass;Ein Sonderfall trat ein, von dem der Sachbearbeiter eingestand, ___ er ihn noch nie erlebt hatte.;Наступил особый случай, о котором сотрудник признал, что никогда прежде такого не встречал.;ob;wie;damit
der;Dort sitzt der Abteilungsleiter, von dem das Team hofft, ___ er die Urlaubsanträge genehmigt.;Там сидит начальник отдела, о котором команда надеется, что он подпишет заявления на отпуск.;den;dem;dessen
zu;Wir stießen auf unvorhergesehene Mängel, die ___ beheben eine Sonderschicht nötig machte.;Мы натолкнулись на непредвиденные дефекты, устранение которых потребовало сверхурочной смены.;am;im;vom
dass;Es entstand ein Schaden, von dem die Versicherung behauptet, ___ er vorsätzlich verursacht wurde.;Возник ущерб, о котором страховая утверждает, что он был причинен умышленно.;wenn;ob;wie
die;Er formulierte präzise Thesen, von denen er überzeugt war, dass ___ den Ausschuss überzeugen.;Он сформулировал точные тезисы, о которых был убежден, что они убедят комитет.;der;denen;deren
den;Hier ist der neue Kolbenring, ___ einzubauen der Geselle nun beauftragt wurde.;Вот новое поршневое кольцо, установить которое подмастерью теперь и поручено.;dem;dessen;welчем
dass;Es liegt ein Defekt vor, von dem die Kfz-Mechaniker ahnen, ___ er das Getriebe zerstört hat.;Имеется неисправность, о которой автомеханики догадываются, что она разрушила коробку передач.;ob;wie;weil
der;Das ist der Entwickler, von dem die Geschäftsführung weiß, ___ er das System retten kann.;Это тот разработчик, о котором руководство знает, что он может спасти систему.;den;dem;dessen
zu;Der Rat verabschiedete ein Budget, das ___ verwalten eine enorme Disziplin erfordert.;Совет утвердил бюджет, распоряжаться которым требует колоссальной дисциплины.;beim;im;am
dass;Es existiert ein Protokoll, von dem der Zeuge versichert, ___ es die Wahrheit enthält.;Существует протокол, о котором свидетель заверяет, что он содержит чистую правду.;ob;wenn;damit
die;Das sind historische Aktenbestände, von denen Historiker annehmen, dass ___ verschollen waren.;Это исторические фонды дел, о которых историки предполагали, что они были утрачены.;der;denen;deren
den;Er zeigte dem Meister einen Riss im Rahmen, ___ zu schweißen höchste Präzision verlangt.;Он показал мастеру трещину в раме, заварить которую требует высочайшей точности.;dem;dessen;welchem
dass;Ein Versäumnis lag vor, von dem der Richter feststellte, ___ es grob fahrlässig war.;Имело место упущение, о котором судья констатировал, что оно являлось грубой халатностью.;ob;wie;damit
der;Das ist der Gutachter, von dem die Versicherung vermutet, ___ er parteiisch gehandelt hat.;Это тот эксперт, о котором страховая предполагает, что он действовал предвзято.;den;dem;dessen
zu;Sie schlossen einen Vergleich, den ___ widerrufen juristisch ausgeschlossen ist.;Они заключили мировое соглашение, отозвать которое юридически исключено.;beim;vom;zum
dass;Es entstand ein finanzieller Engpass, von dem die Bank glaubt, ___ er lösbar ist.;Возник финансовый дефицит, о котором банк считает, что он вполне разрешим.;wenn;ob;wie
die;Das waren die Auflagen der Baubehörde, von denen die Statiker wussten, dass ___ gelten.;Это были предписания стройнадзора, о которых инженеры знали, что они сохраняют силу.;der;denen;deren
den;Das ist der neue Vertragstext, ___ zu unterzeichnen der Klient sich noch immer weigert.;Это новый текст договора, подписать который клиент все еще отказывается.;dem;dessen;welchem
