nachdenken;Das ist eine schwierige Frage, ich brauche etwas Ruhe und muss erst gründlich darüber ___.;Это трудный вопрос, мне нужен покой и я должен сначала основательно подумать об этом.;schlafen;trinken;kochen
mitteilen;Wenn Sie Ihre Adresse ändern, müssen Sie dem Amt die neue Anschrift schriftlich ___.;Если вы меняете свой адрес, вы должны письменно сообщить ведомству новый адрес.;kochen;trinken;schlafen
informieren;Vor dem Abschluss der Versicherung möchte sich der Kunde über alle Bedingungen genau ___.;Перед заключением страховки клиент хочет точно проинформироваться обо всех условиях.;schlafen;trinken;kochen
bestätigen;Bitte senden Sie mir eine E-Mail, um den morgigen Termin im Büro verbindlich zu ___.;Пожалуйста, отправьте мне электронное письмо, чтобы обязательно подтвердить завтрашнюю встречу в офисе.;kochen;trinken;schlafen
reklamieren;Die gekaufte Kaffeemaschine war von Anfang an defekt, ich muss das Gerät im Laden ___.;Купленная кофемашина с самого начала была неисправна, я должен предъявить претензию (рекламацию) на прибор в магазине.;kochen;trinken;schlafen
beschweren;Die Musik aus der Nachbarwohnung ist mitten in der Nacht unerträglich laut, ich muss mich beim Vermieter ___.;Музыка из соседней квартиры посреди ночи невыносимо громкая, я должен пожаловаться арендодателю.;freuen;bedanken;hoffen
einschalten;Es ist viel zu dunkel im Zimmer, kannst du bitte die Lampe an der Wand ___?;В комнате слишком темно, можешь, пожалуйста, включить лампу на стене?;ausschalten;trinken;kochen
ausschalten;Vor dem Schlafengehen sollte man das Radio und den Fernseher komplett ___.;Перед отходом ко сну следует полностью выключить радио и телевизор.;einschalten;kochen;trinken
verbrauchen;Alte Autos ohne modernen Katalysator schlucken viel Benzin und ___ zu viel Kraftstoff.;Старые машины без современного катализатора жрут много бензина и расходуют слишком много топлива.;sparen;kochen;schlafen
beantragen;Mein Reisepass ist abgelaufen, ich muss auf dem Bürgeramt einen neuen Ausweis ___.;Мой загранпаспорт просрочен, я должен подать заявление на новый паспорт в ведомстве по делам граждан.;kochen;trinken;schlafen
verlängern;Mein Visum gilt nur noch bis nächsten Monat, ich muss die Aufenthaltserlaubnis dringend ___.;Моя виза действует только до следующего месяца, я должен срочно продлить разрешение на пребывание.;kürzen;schlafen;kochen
überqueren;An der grünen Fußgängerampel dürfen die Schulkinder gefahrlos die breite Straße ___.;На зеленый сигнал пешеходного светофора школьники могут безопасно перейти широкую улицу.;kochen;schlafen;trinken
abbiegen;An der nächsten Kreuzung müssen wir mit dem Auto nach links in die Hauptstraße ___.;На следующем перекрестке мы должны на машине повернуть налево на главную улицу.;schlafen;kochen;trinken
überholen;Der Traktor fährt nur zwanzig Stundenkilometer, wenn die Straße frei ist, können wir ihn zügig ___.;Трактор едет всего двадцать километров в час, если дорога свободна, мы можем быстро обогнать его.;schlafen;kochen;trinken
einparken;Die Lücke zwischen den beiden Autos ist sehr eng, man muss rückwärts ganz vorsichtig ___.;Промежуток между двумя машинами очень узкий, нужно задним ходом очень осторожно припарковаться.;aussteigen;abfahren;mitkommen
abschleppen;Der Wagen hat einen Totalschaden und springt nicht an, der Pannendienst muss das Auto in die Werkstatt ___.;У машины полный отказ и она не заводится, аварийная служба должна отбуксировать (эвакуировать) автомобиль в мастерскую.;fahren;kochen;trinken
kontrollieren;Der Schaffner geht durch den Zug, um die Fahrkarten aller Passagiere genau zu ___.;Кондуктор идет по поезду, чтобы тщательно проверить (проконтролировать) билеты всех пассажиров.;kochen;schlafen;trinken
überprüfen;Vor einer langen Urlaubsreise mit dem Auto sollte man den Reifendruck und das Motoröl gründlich ___.;Перед долгой поездкой в отпуск на машине следует основательно проверить уровень давления в шинах и моторное масло.;kochen;trinken;schlafen
erkennen;Er hat sich einen langen Bart wachsen lassen, auf der Straße konnte ich ihn auf den ersten Blick kaum ___.;Он отрастил длинную бороду, на улице с первого взгляда я едва смог узнать его.;schlafen;kochen;trinken
beobachten;Mit dem Fernglas kann man die scheuen Rehe am Waldrand ganz in Ruhe ___.;В бинокль можно совершенно спокойно наблюдать за пугливыми оленями на опушке леса.;kochen;trinken;schlafen
begleiten;Das kleine Kind hat Angst im Dunkeln, deshalb möchte die Mutter es bis zur Schultür ___.;Маленький ребенок боится в темноте, поэтому мама хочет проводить (сопроводить) его до школьной двери.;schlafen;trinken;kochen
beruhigen;Das Baby weint bitterlich, der Vater wiegt es sanft im Arm, um das kleine Kind zu ___.;Малыш горько плачет, отец мягко качает его на руках, чтобы успокоить маленького ребенка.;aufregen;wecken;erschrecken
aufregen;Mach dir keine unnötigen Sorgen, wegen dieser kleinen Kleinigkeit musst du dich nicht so furchtbar ___.;Не переживай понапрасну, из-за этого пустяка тебе не нужно так ужасно волноваться (нервничать).;beruhigen;freuen;ausruhen
verstecken;Zu Ostern legen die Eltern bunte Eier ins hohe Gras und die Kinder wollen sie im Garten suchen, die Eltern mussten sie gut ___.;На Пасху родители кладут крашеные яйца в высокую траву и дети хотят искать их в саду, родителям пришлось хорошо спрятать их.;zeigen;finden;kochen
entdecken;Auf unserem Spaziergang durch die historische Altstadt konnten wir viele versteckte kleine Cafés ___.;На нашей прогулке по историческому старому городу мы смогли открыть для себя (обнаружить) много спрятанных маленьких кафе.;verstecken;verlieren;schlafen
reisepass;Für die Einreise in die USA reicht der normale Personalausweis nicht aus, man benötigt einen bordeauxroten ___.;Для въезда в США обычного удостоверения личности недостаточно, требуется бордовый загранпаспорт.;fahrschein;kassenzettel;führerschein
fahrschein;Bevor Sie in die Straßenbahn einsteigen, müssen Sie am Automaten einen gültigen ___ ziehen und stempeln.;Прежде чем сесть в трамвай, вы должны взять в автомате действующий проездной билет и прокомпостировать его.;reisepass;kaufvertrag;mietvertrag
bahnsteig;Der Intercity nach Frankfurt fährt heute nicht auf Gleis 3, sondern fährt am gegenüberliegenden ___ ein.;Поезд Интерсити во Франкфурт сегодня отправляется не с пути 3, а прибывает на противоположную платформу (перрон).;flughafen;wartesaal;parkplatz
Schaffner;Der Kontrolleur der Bahn trägt eine blaue Dienstmütze und bittet die Fahrgäste: Ihre Fahrkarten bitte!, dieser Bahnbeamte ist der ___.;Кондуктор железной дороги носит синюю служебную фуражку и просит пассажиров «Ваши билеты, пожалуйста!», этот железнодорожный служащий — кондуктор.;Pilot;Busfahrer;Kapitän
reisebüro;Wir wollten unseren Sommerurlaub nicht im Internet buchen, sondern ließen uns persönlich bei einer Agentur im ___ beraten.;Мы не хотели бронировать наш летний отпуск в интернете, а лично проконсультировались в агентстве в турагентстве (бюро путешествий).;krankenhaus;rathaus;postamt
reiseziel;Spanien mit seinen sonnigen Stränden ist für viele deutsche Urlauber im Sommer das beliebteste ___.;Испания с ее солнечными пляжами летом является для многих немецких отдыхающих самым популярным пунктом назначения (целью поездки).;gepäck;fahrzeug;ticket
reisetasche;Für einen kurzen Wochenendausflug von zwei Tagen brauche ich keinen riesigen Koffer, mir genügt eine handliche ___.;Для короткой поездки на выходные на два дня мне не нужен огромный чемодан, мне достаточно удобной дорожной сумки.;aktentasche;einkaufstüte;damentasche
sicherheitskontrolle;Bevor man das Flugzeug betreten darf, muss man am Flughafen das Handgepäck durchleuchten lassen an der strengen ___.;Прежде чем разрешат войти в самолет, в аэропорту нужно просветить ручную кладь на строгом контроле безопасности (досмотре).;passstelle;gepäckausgabe;information
flugbegleiter;Während des langen Flugs serviert der freundliche Flugbegleiter Getränke und erklärt die Sicherheitsregeln, der Steward oder ___.;Во время долгого перелета приветливый бортпроводник разносит напитки и объясняет правила безопасности — стюард или бортпроводник.;lokführer;busfahrer;kapitän
fahrplan;Um zu sehen, wann der nächste Bus an der Haltestelle abfährt, schaut man in den an der Scheibe ausgehängten ___.;Чтобы посмотреть, когда от остановки отправляется следующий автобус, смотрят в вывешенное на стекле расписание движения (транспорта).;speiseplan;bauplan;stadtplan
Umleitung;Wegen einer gesperrten Straße leiten gelbe Schilder mit einem U den gesamten Autoverkehr über eine ausgeschilderte ___.;Из-за перекрытой дороги желтые знаки с буквой U направляют все автомобильное движение через обозначенный объезд.;Kreuzung;autobahn;einbahnstraße
baustelle;Bauarbeiter mit Baggern und Absperrgittern reparieren den aufgerissenen Asphalt mitten auf der Fahrbahn, hier ist eine große Straßen-___.;Строители с экскаваторами и заградительными решетками ремонтируют вскрытый асфальт прямо посреди проезжей части — здесь большая дорожная стройка (ремонт дороги).;haltestelle;tankstelle;raststätte
zebrastreifen;Um sicher über die vielbefahrene Straße zu kommen, nutzen Fußgänger die weißen Querstreifen auf dem Boden, den markierten ___.;Чтобы безопасно перейти оживленную улицу, пешеходы используют белые поперечные полосы на асфальте — размеченный пешеходный переход (зебру).;fahrradweg;bürgersteig;mittelstreifen
einbahnstraße;In diese schmale Stadtstraße darf man mit dem Auto nur in einer einzigen vorgeschriebenen Richtung einfahren, sie ist eine ___.;На эту узкую городскую улицу разрешено въезжать на автомобиле только в одном предписанном направлении, она — улица с односторонним движением.;autobahn;sackgasse;fußgängerzone
fußgängerzone;In diesem Einkaufsbereich im Stadtzentrum sind überhaupt keine Autos erlaubt, nur Menschen zu Fuß dürfen bummeln in der verkehrsberuhigten ___.;В этой торговой зоне в центре города вообще запрещены машины, только пешеходы могут прогуливаться в пешеходной зоне без транспорта.;autobahn;bundesstraße;tankstelle
vertrag;Nachdem beide Seiten die Vereinbarung durchgelesen hatten, unterschrieben Mieter und Vermieter den schriftlichen Miet-___.;После того как обе стороны прочитали соглашение, арендатор и арендодатель подписали письменный договор аренды.;brief;kassenzettel;fahrschein
Bescheinigung;Der Arbeitgeber stellt dem Mitarbeiter ein offizielles Dokument aus, das seine Anstellung bestätigt, eine schriftliche Arbeits-___.;Работодатель выдает сотруднику официальный документ, подтверждающий его трудоустройство — письменную справку (свидетельство) о работе.;Quittung;Rechnung;fahrkarte
dokument;Der Pass, die Geburtsurkunde und der Führerschein sind wichtige offizielle Papiere, jedes einzelne ist ein amtliches ___.;Паспорт, свидетельство о рождении и водительские права — важные официальные бумаги, каждая из них — официальный документ.;möbelstück;geschenk;werkzeug
Kopie;Das Originalzeugnis bleibt zu Hause im Schrank, für die Bewerbung reicht eine saubere Fotokopie oder einfache ___.;Оригинал аттестата остается дома в шкафу, для резюме достаточно аккуратной ксерокопии или простой копии.;Zeitung;Rechnung;postkarte
aktenordner;Im Büro stehen im Regal viele dicke Ordner aus Pappe mit Metallhebeln, um Rechnungen abzuheften, ein stabiler ___.;В офисе на полке стоит много толстых картонных папок с металлическими рычагами для подшивки счетов — прочная канцелярская папка-регистратор.;karton;schrank;koffer
stempel;Die Beamtin taucht das Holzgerät mit der Gummioberfläche ins blaue Farbkissen und drückt einen amtlichen Prüf-___ auf das Formular.;Чиновница макает деревянное приспособление с резиновой поверхностью в подушечку с синей краской и ставит официальный штамп (печать) на бланк.;kugelschreiber;bleistift;pinsel
passfoto;Für den neuen Ausweis braucht man ein biometrisches kleines Porträtbild ohne Lächeln mit hellem Hintergrund, ein aktuelles ___.;Для нового удостоверения личности требуется биометрический маленький портретный снимок без улыбки на светлом фоне — актуальное фото на паспорт.;familienfoto;landschaftsbild;gemälde
kundennummer;Wenn Sie beim Kundenservice anrufen, halten Sie bitte diese Ziffernfolge aus Ihrem Vertrag bereit, Ihre persönliche ___.;Когда вы звоните в службу поддержки клиентов, держите, пожалуйста, наготове эту комбинацию цифр из вашего договора — ваш личный номер клиента.;hausnummer;telefonnummer;postleitzahl
Geburtsdatum;Auf dem Formular steht der Tag, der Monat und das Jahr, an dem man auf die Welt gekommen ist, das exakte ___.;На бланке указывается день, месяц и год, в который человек появился на свет — точная дата рождения.;Ablaufdatum;Heiratsdatum;Kaufdatum
geburtsort;Die Stadt, in deren Krankenhaus ein Mensch geboren wurde, nennt man in allen offiziellen Urkunden den amtlichen ___.;Город, в больнице которого родился человек, во всех официальных свидетельствах называют официальным местом рождения.;wohnort;urlaubsort;zielort
familienstand;Ob jemand ledig, verheiratet, geschieden oder verwitwet ist, bezeichnet man auf amtlichen Fragebögen als den aktuellen ___.;Холост ли кто-то, женат, разведен или овдовел, в официальных анкетах обозначают как текущее семейное положение.;gesundheitszustand;kontostand;wasserstand
