auf;Wir warten am Bahnsteig schon seit zwanzig Minuten ___ die verspätete S-Bahn.;Мы ждем на перроне опаздывающий пригородный поезд уже двадцать минут.;an;über;für
an;Viele Mitarbeiter der Firma nehmen nächste Woche ___ einer wichtigen Fortbildung teil.;Многие сотрудники фирмы на следующей неделе принимают участие в важном повышении квалификации.;auf;für;bei
für;Der Mieter interessiert sich sehr ___ die genaue Aufteilung der monatlichen Nebenkosten.;Арендатор очень интересуется точным распределением ежемесячных коммунальных расходов.;über;an;zu
über;Die Anwohner ärgern sich seit Wochen ___ den anhaltenden Lärm der Straßenbaustelle.;Жители дома уже недели злятся из-за непрекращающегося шума дорожной стройки.;auf;für;um
um;Könnten Sie sich bitte kurz ___ die Entgegennahme des wichtigen Einschreibens kümmern?;Не могли бы вы, пожалуйста, быстро позаботиться о приеме важного заказного письма?;für;an;über
von;Die pünktliche Fertigstellung der Sanierung hängt stark ___ den Wetterbedingungen ab.;Своевременное завершение ремонта сильно зависит от погодных условий.;an;aus;über
auf;Ich freue mich schon sehr ___ den gemeinsamen Wochenendausflug in die Berge.;Я уже очень радуюсь совместной поездке на выходных в горы.;über;an;für
über;Die Familie freute sich aufrichtig ___ den freundlichen Besuch der neuen Nachbarn.;Семья искренне обрадовалась дружелюбному визиту новых соседей.;auf;für;an
zu;Wir gratulieren Ihnen von ganzem Herzen ___ diesem erfolgreichen Vertragsabschluss.;Мы поздравляем вас от всего сердца с этим успешным заключением договора.;für;an;über
mit;Der Handwerker beschäftigt sich seit heute früh intensiv ___ der defekten Heizanlage.;Мастер с раннего утра интенсивно занимается неисправной отопительной установкой.;an;über;für
an;Niemand im Team zweifelte ernsthaft ___ der Richtigkeit dieser amtlichen Berechnungen.;Никто в команде всерьез не сомневался в правильности этих официальных расчетов.;auf;über;zu
über;Der Sachbearbeiter dachte lange ___ den ungewöhnlichen Vorschlag des Bürgers nach.;Сотрудник долго размышлял над необычным предложением гражданина.;auf;an;für
auf;Die Mieter hoffen dringend ___ eine schnelle Reparatur des defekten Aufzugs im Haus.;Жильцы очень надеются на быстрый ремонт сломанного лифта в доме.;über;an;für
um;Herr Schmidt bewirbt sich bei mehreren Unternehmen ___ eine Stelle als Fachkraft.;Господин Шмидт подает заявления в несколько компаний на должность специалиста.;für;auf;nach
auf;Wegen der bevorstehenden Reise muss sie diesen Monat ___ teure Anschaffungen verzichten.;Из-за предстоящей поездки ей придется в этом месяце отказаться от дорогих покупок.;über;an;von
zu;Die dunkelgraue Arbeitsplatte passt optisch hervorragend ___ den weißen Küchenschränken.;Темно-серая столешница визуально отлично подходит к белым кухонным шкафам.;an;mit;auf
von;Nach der langen und anstrengenden Arbeitswoche träumt er nur ___ einem ruhigen Wochenende.;После долгой и утомительной рабочей недели он мечтает только о спокойных выходных.;über;auf;an
für;Wir danken der freundlichen Dame an der Information herzlich ___ ihre Auskunft.;Мы сердечно благодарим приветливую даму в справочной за ее информацию.;über;an;zu
über;Die beiden Eigentümer sprachen gestern ausführlich ___ die anstehenden Renovierungskosten.;Оба собственника подробно говорили вчера о предстоящих расходах на ремонт.;auf;an;für
an;Ich erinnere mich noch sehr genau ___ den ersten Tag nach unserem Umzug.;Я еще очень точно помню первый день после нашего переезда.;auf;über;für
auf;Bitte achten Sie beim Überqueren der Straße besonders ___ den schnellen Radverkehr.;Пожалуйста, обращайте внимание при переходе улицы особенно на быстрое движение велосипедистов.;über;an;für
mit;Der Notar verglich den neuen Vertragsentwurf sorgfältig ___ der alten Fassung.;Нотариус тщательно сравнил новый проект договора со старой версией.;an;über;von
zu;Dieser kleine Abstellraum im Kellergeschoss gehört offiziell ___ unserer Wohnung.;Эта маленькая кладовая в подвале официально относится к нашей квартире.;an;in;auf
über;Die Nachbarn beschwerten sich bei der Hausverwaltung ___ die laute Musik in der Nacht.;Соседи пожаловались в домоуправление на громкую музыку ночью.;auf;für;an
an;Die Ursache für die Verspätung des Zuges lag hauptsächlich ___ einer Signalstörung.;Причина опоздания поезда заключалась главным образом в неисправности светофора.;auf;über;von
auf;Die Mitarbeiter bereiteten sich gründlich ___ die bevorstehende Prüfung vor.;Сотрудники тщательно подготовились к предстоящему экзамену.;über;an;für
um;Hier an diesem Schalter im Bürgeramt handelt es sich ausschließlich ___ Ausweisangelegenheiten.;Здесь у этой стойки в ведомстве речь идет исключительно о вопросах паспортов.;von;über;an
über;Wir haben gestern lange ___ die Vor- und Nachteile einer Renovierung diskutiert.;Мы вчера долго обсуждали преимущества и недостатки ремонта.;auf;an;für
an;Er leidet in den trockenen Sommermonaten regelmäßig ___ einer starken Pollenallergie.;Он регулярно страдает от сильной аллергии на пыльцу в сухие летние месяцы.;von;über;auf
für;Niemand im Büro fühlt sich für die Pflege der Zimmerpflanzen im Flur zuständig.;Никто в офисе не чувствует себя ответственным за уход за комнатными растениями в коридоре.;über;auf;an
nach;Die Touristin erkundigte sich an der Kasse höflich ___ dem Fahrplan der Museumsbahn.;Туристка вежливо осведомилась на кассе о расписании музейного поезда.;über;für;von
an;Die Polizei arbeitet intensiv ___ der lückenlosen Aufklärung des Einbruchs.;Полиция интенсивно работает над полным раскрытием кражи со взломом.;auf;über;zu
auf;Der Arzt wies den Patienten ausdrücklich ___ die möglichen Risiken der Behandlung hin.;Врач прямо указал пациенту на возможные риски лечения.;über;an;zu
über;Viele Bürger wundern sich ___ die plötzliche Schließung der Postfiliale an der Ecke.;Многие горожане удивляются внезапному закрытию почтового отделения на углу.;auf;an;für
mit;Der Sachbearbeiter begann pünktlich um acht Uhr ___ der Bearbeitung der Anträge.;Сотрудник начал ровно в восемь часов обработку заявлений.;an;von;auf
auf;Er konzentrierte sich beim Ausfüllen des Formulars ganz ___ die korrekte Schreibweise.;Он полностью сконцентрировался при заполнении бланка на правильном написании.;über;an;in
nach;In der gemütlichen Bäckerei roch es am frühen Morgen herrlich ___ frischem Gebäck.;В уютной булочной ранним утром великолепно пахло свежей выпечкой.;von;über;an
über;Die Passagiere wurden am Gate rechtzeitig ___ den Wechsel des Flugsteigs informiert.;Пассажиры у выхода на посадку были вовремя проинформированы о смене выхода.;von;auf;an
für;Der Nachbar entschuldigte sich höflich ___ das versehentliche Verstellen der Ausfahrt.;Сосед вежливо извинился за случайное перегораживание выезда.;über;auf;an
an;Wir gewöhnen uns langsam aber sicher ___ die feuchte Kälte des mitteleuropäischen Winters.;Мы медленно, но верно привыкаем к сырому холоду среднеевропейской зимы.;auf;über;zu
