Worauf;___ wartet ihr bei dieser eisigen Kälte eigentlich noch am Bahnsteig?;Чего вы при таком ледяном холоде вообще еще ждете на перроне?;Darauf;Woran;Wofür
darauf;Ich freue mich schon sehr ___, dass wir am Wochenende an den See fahren.;Я уже очень радуюсь тому, что мы поедем на выходных на озеро.;worauf;daran;dazu
Womit;___ hat der Handwerker die beschädigte Holzplatte an der Wand befestigt?;Чем мастер закрепил поврежденную деревянную плиту на стене?;Damit;Worüber;Woran
damit;Er begann sofort ___, die alten Aktenordner im Keller zu sortieren.;Он сразу начал с того, что стал сортировать старые папки с документами в подвале.;womit;dazu;davon
Worüber;___ haben sich die beiden Nachbarn gestern im Treppenhaus so laut unterhalten?;О чем вчера так громко разговаривали оба соседа на лестничной клетке?;Darüber;Woran;Wofür
darüber;Wir haben gestern lange ___, diskutiert, wer die Renovierungskosten übernimmt.;Мы вчера долго дискутировали о том, кто возьмет на себя расходы по ремонту.;worüber;daran;dazu
Woran;___ denkst du gerade, während du aus dem Zugfenster in die Ferne schaust?;О чем ты сейчас думаешь, пока смотришь вдаль из окна поезда?;Daran;Worauf;Worum
daran;Ich erinnere mich noch sehr genau ___, wie wir den Mietvertrag unterschrieben haben.;Я еще очень точно помню то, как мы подписывали договор аренды.;woran;darauf;dazu
Wofür;___ interessieren sich die neuen Mieter bei der Besichtigung am meisten?;Чем новые арендаторы интересуются на осмотре больше всего?;Dafür;Womit;Worüber
dafür;Der Eigentümer dankte den Handwerkern herzlich ___ für die pünktliche Arbeit.;Собственник сердечно поблагодарил мастеров за своевременную работу.;wofür;dazu;damit
Worum;___ geht es eigentlich in diesem amtlichen Schreiben vom Einwohnermeldeamt?;О чем вообще идет речь в этом официальном письме из отдела регистрации?;Darum;Worauf;Woran
darum;Die Hausverwaltung kümmert sich zügig ___, dass der Aufzug wieder funktioniert.;Домоуправление оперативно позаботится о том, чтобы лифт снова заработал.;worum;daran;dafür
Wovon;___ hängt die Genehmigung des städtischen Bauantrags letztlich ab?;От чего в конечном счете зависит одобрение городского заявления на строительство?;Davon;Worauf;Woran
davon;Der Erfolg der Reparatur hängt ganz ___ ab, ob das passende Ersatzteil lieferbar ist.;Успех ремонта целиком зависит от того, доступна ли подходящая запасная часть.;wovon;dazu;daran
Wozu;___ dient dieser kleine rote Schalter an der Kaffeemaschine in der Küche?;Для чего служит этот маленький красный переключатель на кофемашине на кухне?;Dazu;Wofür;Womit
dazu;Der Beamte forderte den Bürger höflich ___, auf das ausgefüllte Formular zu unterschreiben.;Чиновник вежливо призвал гражданина подписать заполненный бланк.;wozu;daran;dafür
Worauf;___ sollte man beim Kauf einer neuen Waschmaschine besonders achten?;На что следует обращать особое внимание при покупке новой стиральной машины?;Darauf;Woran;Wofür
darauf;Die Mieter hoffen dringend ___, dass die neue Zentralheizung bald eingebaut wird.;Жильцы очень надеются на то, что новое центральное отопление скоро будет установлено.;worauf;daran;dafür
Woran;___ hat es gelegen, dass die Regionalbahn heute zwanzig Minuten Verspätung hatte?;В чем была причина того, что региональный поезд сегодня опоздал на двадцать минут?;Daran;Worüber;Womit
daran;Der Mechaniker zweifelte keine Sekunde ___, dass die Bremsen erneuert werden müssen.;Механик ни секунды не сомневался в том, что тормоза должны быть заменены.;woran;darüber;dazu
Worüber;___ hat sich die Kundin an der Kasse des Supermarkts so aufgeregt?;Из-за чего покупательница на кассе супермаркета так разволновалась?;Darüber;Wofür;Woran
darüber;Niemand im Haus wunderte sich ___, dass das Hoftor abends abgeschlossen war.;Никто в доме не удивился тому, что ворота во двор были заперты вечером.;worüber;daran;dazu
Wofür;___ gibt die Stadtverwaltung in diesem Haushaltsjahr das meiste Geld aus?;На что городская администрация тратит больше всего денег в этом финансовом году?;Dafür;Womit;Wozu
dafür;Wir haben uns bewusst ___ entschieden, den Urlaub dieses Jahr im Land zu verbringen.;Мы осознанно сделали выбор в пользу того, чтобы провести отпуск в этом году в стране.;wofür;dazu;damit
Womit;___ können wir den hartnäckigen Fleck auf dem Teppichboden entfernen?;Чем мы можем вывести въевшееся пятно на ковровом покрытии?;Damit;Worauf;Wofür
damit;Die Mitarbeiter sind den ganzen Vormittag ___ beschäftigt, die Rechnungen abzuhegen.;Сотрудники все утро заняты тем, что разносят и подшивают счета.;womit;dazu;daran
Wovon;___ träumt der junge Architekt nach dem erfolgreichen Abschluss seines Studiums?;О чем мечтает молодой архитектор после успешного окончания своей учебы?;Davon;Worüber;Worauf
davon;Die Anwohner wurden rechtzeitig ___ in Kenntnis gesetzt, dass das Wasser abgestellt wird.;Жители дома были вовремя поставлены в известность о том, что отключат воду.;wovon;dazu;daran
Worauf;___ bezieht sich die handschriftliche Notiz unten auf dem Dokument?;К чему относится рукописная заметка внизу документа?;Darauf;Woran;Wozu
darauf;Bitte achten Sie bei der Ankunft genau ___, die richtige Ausfahrt zu nehmen.;Пожалуйста, обратите внимание по прибытии на то, чтобы свернуть на правильный съезд.;worauf;daran;dazu
Woran;___ arbeitet die städtische Kommission zur Verbesserung des Nahverkehrs derzeit?;Над чем городская комиссия по улучшению пригородного транспорта работает в настоящее время?;Daran;Worüber;Wofür
daran;Die Stadtverwaltung arbeitet mit Hochdruck ___, das Radwegenetz zügig auszubauen.;Городская администрация усиленно работает над тем, чтобы быстро расширить сеть велодорожек.;woran;darüber;dazu
Wozu;___ gratulieren die versammelten Kollegen dem Abteilungsleiter so herzlich?;С чем собравшиеся коллеги так сердечно поздравляют начальника отдела?;Dazu;Wofür;Womit
dazu;Die Nachbarn gratulierten der jungen Familie herzlich ___ zum Einzug in das neue Haus.;Соседи сердечно поздравили молодую семью с новосельем в новом доме.;wozu;dafür;daran
Worüber;___ haben die Sachbearbeiter in der gestrigen Konferenz so intensiv beraten?;О чем сотрудники так интенсивно совещались на вчерашней конференции?;Darüber;Worauf;Woran
darüber;Die Hausgemeinschaft freut sich sehr ___, dass der Hof nun grün bepflanzt wurde.;Собрание жильцов очень радуется тому, что двор теперь озеленен растениями.;worüber;daran;dafür
Wofür;___ eignet sich dieses robuste Werkzeug aus dem Baumarkt am besten?;Для чего подходит этот прочный инструмент из строительного магазина лучше всего?;Dafür;Wozu;Womit
dafür;Dieser handliche Schraubendreher eignet sich hervorragend ___, Möbel aufzubauen.;Эта удобная отвертка превосходно подходит для того, чтобы собирать мебель.;wofür;dazu;damit
Worum;___ haben die Mieter den Eigentümer in ihrem schriftlichen Antrag gebeten?;О чем арендаторы попросили собственника в своем письменном заявлении?;Darum;Worauf;Wofür
darum;Wir bitten Sie höflich ___, uns den Erhalt der Unterlagen kurz zu bestätigen.;Мы вежливо просим вас о том, чтобы коротко подтвердить нам получение документов.;worum;daran;dafür
