einzukaufen;Vergessen Sie bitte nicht, nach Feierabend noch frisches Brot ___.;Не забудьте, пожалуйста, купить свежего хлеба после работы.;zu einkaufen;einkaufen;eingekauft
zu bezahlen;Der Kunde bat darum, die Monatsrechnung erst am nächsten Werktag ___.;Клиент попросил оплатить месячный счет только в следующий рабочий день.;bezahlen;zu bezahlt;bezahlt
abzuholen;Ich habe heute leider keine Zeit, das schwere Paket bei der Postfiliale ___.;У меня сегодня, к сожалению, нет времени забрать тяжелую посылку в почтовом отделении.;zu abholen;abholen;abgeholt
um;Wir sind extra eine halbe Stunde früher losgefahren, ___ den Anschlusszug nicht zu verpassen.;Мы выехали специально на полчаса раньше, чтобы не опоздать на стыковочный поезд.;ohne;anstatt;damit
ohne;Er ging eilig aus dem Haus, ___ seinen Schlüsselbund von der Kommode mitzunehmen.;Он поспешно вышел из дома, не взяв связку ключей с комода.;um;anstatt;damit
anstatt;Sie reparierte den alten Holztisch sorgfältig, ___ ein teures neues Möbelstück zu kaufen.;Она аккуратно отремонтировала старый деревянный стол вместо того, чтобы покупать дорогую новую мебель.;um;ohne;damit
anzurufen;Ich habe fest vor, heute Vormittag den Hausmeister wegen der Heizung ___.;Я твердо намерен позвонить сегодня до обеда коменданту по поводу отопления.;zu anrufen;anrufen;angerufen
aufzustehen;An kalten und dunklen Wintermorgen fällt es vielen Menschen schwer, früh ___.;Холодными и темными зимними утрами многим людям тяжело рано вставать.;zu aufstehen;aufstehen;aufgestanden
zu finden;In der historischen Altstadt ist es am Wochenende gar nicht leicht, einen Parkplatz ___.;В историческом старом городе на выходных совсем нелегко найти парковочное место.;finden;zu findet;gefunden
mitzubringen;Der Gast versprach der Nachbarin, frisches Obst vom Wochenmarkt ___.;Гость пообещал соседке принести свежих фруктов с еженедельного рынка.;zu mitbringen;mitbringen;mitgebracht
abzugeben;Denken Sie bitte daran, das unterschriebene Formular noch vor Freitag ___.;Помните, пожалуйста, о том, чтобы сдать подписанный бланк еще до пятницы.;zu abgeben;abgeben;abgegeben
zu schließen;Der Vermieter bittet alle Hausbewohner darum, die Haustür nachts stets ___.;Арендодатель просит всех жильцов дома всегда закрывать входную дверь на ночь.;schließen;zu schließt;geschlossen
auszuschalten;Es ist sehr ratsam, elektrische Geräte vor dem Urlaub vollständig ___.;Очень благоразумно полностью выключать электроприборы перед отпуском.;zu ausschalten;ausschalten;ausgeschaltet
vorzubereiten;Die Köchin begann rechtzeitig damit, die Zutaten für das Mittagessen ___.;Повариха вовремя начала подготавливать ингредиенты для обеда.;zu vorbereiten;vorbereiten;vorbereitet
zu lüften;Es ist für das Raumklima wichtig, die Wohnung auch im Winter regelmäßig ___.;Для микроклимата важно регулярно проветривать квартиру и зимой.;lüften;zu lüftet;gelüftet
um;Der ältere Herr setzte seine Brille auf, ___ die kleine Schrift im Fahrplan lesen zu können.;Пожилой господин надел очки, чтобы иметь возможность прочитать мелкий шрифт в расписании.;ohne;anstatt;damit
ohne;Der Autofahrer bog an der Kreuzung nach links ab, ___ den Blinker zu setzen.;Водитель повернул на перекрестке налево, не включив поворотник.;um;anstatt;damit
anstatt;Er saß den ganzen Abend vor dem Fernseher, ___ an die frische Luft zu gehen.;Он просидел весь вечер перед телевизором вместо того, чтобы выйти на свежий воздух.;um;ohne;damit
mitzuteilen;Wir bitten Sie höflich, uns Ihre geänderte Bankverbindung zeitnah ___.;Мы вежливо просим вас своевременно сообщить нам ваши измененные банковские реквизиты.;zu mitteilen;mitteilen;mitgeteilt
einzunehmen;Der Arzt empfiehlt dem Patienten, die Tropfen dreimal täglich nach dem Essen ___.;Врач рекомендует пациенту принимать капли три раза в день после еды.;zu einnehmen;einnehmen;eingenommen
zu reinigen;Es ist dringend erforderlich, die Filter der Lüftungsanlage einmal im Jahr ___.;Крайне необходимо очищать фильтры вентиляционной системы раз в год.;reinigen;zu reinigt;gereinigt
umzusteigen;Die Reisenden haben am großen Hauptbahnhof zehn Minuten Zeit, in den Bus ___.;У путешественников есть на главном вокзале десять минут, чтобы пересесть в автобус.;zu umsteigen;umsteigen;umgestiegen
zu verlängern;Die Familie beabsichtigt, den laufenden Mietvertrag um weitere zwei Jahre ___.;Семья намерена продлить действующий договор аренды еще на два года.;verlängern;zu verlängert;verlängert
auszufüllen;Der Beamte forderte den Bürger auf, das Meldeformular vollständig ___.;Чиновник потребовал от гражданина полностью заполнить регистрационный бланк.;zu ausfüllen;ausfüllen;ausgefüllt
um;Er öffnete die Fenster im Wohnzimmer weit, ___ frische Luft hereinzulassen.;Он широко открыл окна в гостиной, чтобы впустить свежий воздух.;ohne;anstatt;damit
ohne;Sie verließ die Bäckerei in großer Eile, ___ auf ihr Wechselgeld zu warten.;Она покинула пекарню в большой спешке, не дожидаясь сдачи.;um;anstatt;damit
anstatt;Er ging die zwei Kilometer zu Fuß durch den Regen, ___ den nächsten Bus zu nehmen.;Он пошел два километра пешком под дождем вместо того, чтобы сесть на следующий автобус.;um;ohne;damit
einzupacken;Vergessen Sie bei Reisen im Spätherbst nicht, warme Kleidung ___.;Не забудьте при поездках поздней осенью упаковать теплую одежду.;zu einpacken;einpacken;eingepackt
zu unterschreiben;Bitte prüfen Sie das Protokoll gründlich, bevor Sie sich entscheiden, es ___.;Пожалуйста, тщательно проверьте протокол перед тем, как решите подписать его.;unterschreiben;zu unterschreibt;unterschrieben
