Mach;Jonas, ___ bitte das Fenster zu, es zieht hier sehr stark!;Йонас, закрой, пожалуйста, окно, здесь сильно сквозит!;Machst;Macht;Machest
Lies;Paul, ___ den Brief vom Amt bitte genau und aufmerksam durch!;Пауль, прочитай письмо из ведомства внимательно!;Liest;Lese;Lest
Sei;Lukas, ___ bitte vorsichtig auf der nassen Treppe im Hausflur!;Лукас, будь, пожалуйста, осторожен на мокрой лестнице в подъезде!;Bist;Seid;Seien
Helfen;Herr Weber, ___ Sie mir bitte kurz beim Tragen der schweren Kiste!;Господин Вебер, помогите мне, пожалуйста, донести тяжелую коробку!;Hilf;Helft;Hilft
Nehmt;Kinder, ___ eure Schultaschen und zieht die Schuhe an!;Дети, берите свои портфели и надевайте обувь!;Nimm;Nehmen;Nehmt ihr
Fahr;Felix, ___ bitte langsam, die Straße ist an dieser Stelle vereist!;Феликс, езжай, пожалуйста, медленно, дорога в этом месте обледенела!;Fährst;Fährt;Fahre
Gib;David, ___ mir bitte kurz die Schere von der Küchenzeile!;Давид, дай мне, пожалуйста, ножницы с кухонного гарнитура!;Geb;Gibt;Gibst
Warte;Anna, ___ hier an der Bushaltestelle kurz auf mich!;Анна, подожди меня здесь на автобусной остановке недолго!;Wartest;Wartet;Wart
Seid;Kinder, ___ doch bitte leise, das Baby im Nachbarzimmer schläft!;Дети, будьте же тихими, малыш в соседней комнате спит!;Sei;Sind;Seien Sie
Öffnen;Frau Meier, ___ Sie bitte das Fenster für etwas frische Luft!;Госпожа Майер, откройте, пожалуйста, окно для свежего воздуха!;Öffne;Öffnet;Öffnest
Arbeite;Stefan, ___ konzentriert und mach rechtzeitig eine Pause!;Штефан, работай сосредоточенно и делай вовремя перерыв!;Arbeitest;Arbeitet;Arbeit
Kommt;Freunde, ___ bitte alle an den Tisch, das Essen ist fertig!;Друзья, подходите все к столу, еда готова!;Komm;Kommen;Kommst
Vergiss;Leon, ___ bitte deinen Hausschlüssel nicht an der Tür!;Леон, не забудь, пожалуйста, свой ключ от дома в двери!;Vergesse;Vergisst;Vergess
Schlaft;Kinder, macht das Licht aus und ___ jetzt bitte gut!;Дети, выключите свет и спите теперь хорошо!;Schlaf;Schlaft ihr;Schläft
Nimm;Simon, ___ dir einen warmen Tee gegen die Kälte draußen!;Симон, возьми себе теплый чай от холода на улице!;Nehm;Nimmt;Nimmst
Seien;Herr Braun, ___ Sie bitte so freundlich und unterschreiben Sie hier!;Господин Браун, будьте так любезны и подпишите здесь!;Sei;Seid;Sind
Sprich;Ben, ___ bitte etwas lauter, ich verstehe dich kaum!;Бен, говори, пожалуйста, немного громче, я тебя едва понимаю!;Sprech;Sprichst;Spricht
Lauft;Jungs, ___ bitte nicht so schnell über den glatten Boden!;Ребята, не бегите так быстро по скользкому полу!;Lauf;Läuft;Lauft ihr
Trink;Maxim, ___ nach dem langen Spaziergang ein Glas warmes Wasser!;Максим, выпей после долгой прогулки стакан теплой воды!;Trinkst;Trinkt;Getrunken
Schließen;Frau Schmidt, ___ Sie bitte die Haustür leise hinter sich!;Госпожа Шмидт, закройте, пожалуйста, входную дверь тихо за собой!;Schließt;Schließe;Schloss
Antworte;Paul, ___ bitte zügig auf die wichtige Nachricht vom Vermieter!;Пауль, ответь, пожалуйста, оперативно на важное сообщение от арендодателя!;Antwortest;Antwortet;Antwort
Schau;Jan, ___ dir bitte diesen Fahrplan am Bahnsteig genau an!;Ян, посмотри, пожалуйста, внимательно на это расписание на платформе!;Schaust;Schaut;Geschaut
Geht;Leute, ___ schon vor zur Kasse, ich komme sofort nach!;Народ, идите вперед к кассе, я сейчас подойду!;Geh;Gehen;Gehst
Iss;Tim, ___ bitte langsam und kaue das Brot gründlich!;Тим, ешь, пожалуйста, медленно и жуй хлеб тщательно!;Ess;Isst;Esst
Wiederholen;Herr Lange, ___ Sie bitte die Telefonnummer noch einmal!;Господин Ланге, повторите, пожалуйста, номер телефона еще раз!;Wiederhole;Wiederholt;Wiederholst
