meinen;Hast du irgendwo meinen Wohnungsschlüssel gesehen?;Ты видел где-нибудь мой ключ от квартиры?;mein;meinem;meiner
meine;Ich habe gestern Abend meine Fahrkarte im Bus verloren.;Я вчера вечером потерял свой проездной в автобусе.;mein;meinen;meinem
mein;Das ist leider nicht mein Fahrrad, meins steht im Hof.;Это, к сожалению, не мой велосипед, мой стоит во дворе.;meinen;meine;meinem
deinen;Kann ich mir kurz deinen Regenschirm ausleihen?;Могу я одолжить ненадолго твой зонт?;dein;deinem;deiner
deine;Wo hast du eigentlich deine neue Brille gekauft?;Где ты вообще купил свои новые очки?;dein;deinen;deinem
dein;Wann fährt heute eigentlich dein Bus in die Stadt?;Когда сегодня вообще отправляется твой автобус в город?;deinen;deine;deinem
seinen;Herr Müller sucht schon seit einer Stunde seinen Pass.;Господин Мюллер ищет уже целый час свой паспорт.;sein;seinem;seiner
seine;Der Koch wäscht vor der Arbeit gründlich seine Hände.;Повар тщательно моет руки перед работой.;sein;seinen;seinem
sein;Das Kind räumt sein Zimmer vor dem Schlafengehen auf.;Ребенок убирает свою комнату перед сном.;seinen;seine;seinem
ihren;Frau Weber bringt jeden Morgen ihren Sohn zur Schule.;Госпожа Вебер каждое утро отводит своего сына в школу.;ihr;ihrem;ihrer
ihre;Die Nachbarin sucht im ganzen Haus ihre Brille.;Соседка ищет по всему дому свои очки.;ihr;ihren;ihrem
ihr;Anna verkauft ihr altes Sofa an einen Studenten.;Анна продает свой старый диван студенту.;ihren;ihre;ihrem
unseren;Wir müssen heute noch unseren Hausmeister anrufen.;Мы должны сегодня еще позвонить нашему коменданту.;unser;unserem;unserer
unsere;Wir haben unsere Wohnung am Wochenende gestrichen.;Мы покрасили нашу квартиру на выходных.;unser;unseren;unserem
unser;Das ist unser neues Wohnzimmer nach dem Umzug.;Это наша новая гостиная после переезда.;unseren;unsere;unserem
euren;Kinder, habt ihr euren Rucksack für die Schule gepackt?;Дети, вы собрали свой рюкзак в школу?;euer;eurem;eurer
eure;Habt ihr eure Fahrkarten für den Zug schon gekauft?;Вы уже купили билеты на поезд?;euer;euren;eurem
euer;Ist das hier im Restaurant eigentlich euer reservierter Tisch?;Это здесь в ресторане вообще ваш забронированный столик?;euren;eure;eurem
meinen;Ich treffe heute Nachmittag meinen Hausarzt zur Untersuchung.;Я встречаюсь сегодня днем со своим терапевтом для осмотра.;mein;meinem;meiner
meine;Wo sind eigentlich schon wieder meine Hausschuhe?;Где вообще снова мои тапочки?;mein;meinen;meiner
deinen;Hast du deinen heißen Tee in der Küche getrunken?;Ты выпил свой горячий чай на кухне?;dein;deinem;deiner
deine;Ich finde deine neue Winterjacke wirklich sehr warm.;Я нахожу твою новую зимнюю куртку действительно очень теплой.;dein;deinen;deinem
seinen;Der Nachbar parkt seinen großen Lieferwagen auf der Straße.;Сосед паркует свой большой фургон на улице.;sein;seinem;seiner
seine;Der Bäcker backt jeden Tag seine frischen Brötchen.;Пекарь печет каждый день свои свежие булочки.;sein;seinen;seinem
ihren;Frau Klein besucht am Nachmittag ihren kranken Bruder.;Госпожа Кляйн навещает во второй половине дня своего больного брата.;ihr;ihrem;ihrer
ihre;Die Lehrerin korrigiert am Abend ihre Notizen für den Unterricht.;Учительница проверяет вечером свои заметки к уроку.;ihr;ihren;ihrer
unseren;Wir stellen unseren alten Kühlschrank in den Keller.;Мы ставим наш старый холодильник в подвал.;unser;unserem;unserer
unsere;Können wir unsere Koffer an der Rezeption abstellen?;Можем мы оставить наши чемоданы на ресепшене?;unser;unseren;unserer
euren;Wann holt ihr eigentlich euren neuen Reisepass ab?;Когда вы вообще заберете свой новый загранпаспорт?;euer;eurem;eurer
eure;Bitte vergesst vor der Abreise nicht eure Ausweise.;Пожалуйста, не забудьте перед отъездом ваши паспорта.;euer;euren;eurem
mein;Gestern Nachmittag lag mein Paket endlich im Briefkasten.;Вчера днем моя посылка наконец лежала в почтовом ящике.;meinen;meine;meinem
dein;Ist das dort drüben an der Kreuzung dein Auto?;Это вон там на перекрестке твоя машина?;deinen;deine;deinem
sein;Der Handwerker hat sein Werkzeug im Flur vergessen.;Мастер забыл свой инструмент в коридоре.;seinen;seine;seinem
ihr;Die Familie kauft ihr Gemüse immer frisch auf dem Markt.;Семья покупает овощи всегда свежими на рынке.;ihren;ihre;ihrem
unser;Morgen beginnt unser zweiwöchiger Urlaub an der See.;Завтра начинается наш двухнедельный отпуск на море.;unseren;unsere;unserem
euer;Ist euer Gepäck schon im Kofferraum des Taxis?;Ваш багаж уже в багажнике такси?;euren;eure;eurem
