einigen;Nach langen Verhandlungen konnten sich die beiden Parteien endlich auf einen Kompromiss ___.;После долгих переговоров обе стороны смогли наконец сойтись (договориться) на компромиссе.;streiten;Schlafen;kochen
berücksichtigen;Bei der Urlaubsplanung muss der Abteilungsleiter die Wünsche aller Mitarbeiter fair ___.;При планировании отпусков начальник отдела должен справедливо учитывать (принимать во внимание) пожелания всех сотрудников.;ignorieren;Schlafen;trinken
beachten;Beim Überqueren der Gleise muss man die roten Warnlichter und Schilder unbedingt ___.;При переходе через пути нужно обязательно соблюдать (обращать внимание на) красные сигналы и знаки.;übersehen;Schlafen;kochen
missachten;Wer rote Ampeln im Straßenverkehr bewusst ignoriert und Verkehrsregeln grob tut ___, riskiert ein hohes Bußgeld.;Кто сознательно игнорирует красный свет светофора и грубо пренебрегает правилами дорожного движения, рискует крупным штрафом.;einhalten;befolgen;Schlafen
einhalten;Jeder Mieter im Haus muss die vereinbarte Nachtruhe ab zweiundzwanzig Uhr strikt ___.;Каждый жилец в доме обязан строго соблюдать согласованное время ночного покоя с двадцати двух часов.;brechen;stören;Schlafen
verstoßen;Wer nachts laut Musik hört, wird direkt gegen die offizielle Hausordnung ___.;Кто ночью громко слушает музыку, будет напрямую нарушать официальные правила внутреннего распорядка дома.;befolgen;Schlafen;trinken
beschädigen;Beim unvorsichtigen Einparken kann man leicht die Stoßstange des Nachbarwagens ___.;При неосторожной парковке можно легко повредить (помять) бампер соседней машины.;reparieren;Schützen;Schlafen
zerstören;Das schwere Unwetter mit tennisballgroßem Hagel konnte die Dächer vieler Häuser völlig ___.;Сильное ненастье с градом размером с теннисный мяч смогло полностью разрушить (уничтожить) крыши многих домов.;aufbauen;Schützen;Schlafen
vernichten;Das verheerende Feuer im Lagerhaus drohte alle eingelagerten Vorräte komplett zu ___.;Опустошительный пожар на складе грозил полностью уничтожить (стереть в прах) все хранящиеся запасы.;retten;Schützen;Schlafen
ersetzen;Weil die Vase der Gastgeberin zerbrach, wollte der ungeschickte Gast den Schaden mit Geld ___.;Поскольку ваза хозяйки разбилась, неловкий гость хотел возместить (заменить) ущерб деньгами.;Schlafen;kochen;trinken
Austauschen;Die alte Glühbirne im Badezimmer ist durchgebrannt, ich muss sie gegen eine sparsame LED ___.;Старая лампочка в ванной перегорела, я должен заменить (поменять) ее на экономичную светодиодную.;Schlafen;trinken;kochen
beseitigen;Nach dem Rohrbruch musste die Spezialfirma das stehende Wasser im Keller rasch ___.;После прорыва трубы специализированная фирма должна была быстро устранить (ликвидировать) стоящую воду в подвале.;behalten;Schlafen;kochen
entfernen;Mit einem feuchten Tuch und etwas Spülmittel lässt sich der Kaffeefleck vom Tisch leicht ___.;Влажной тряпкой и небольшим количеством моющего средства кофейное пятно со стола можно легко удалить (оттереть).;Schlafen;kochen;trinken
abwischen;Nach dem Frühstück nehme ich einen Schwamm, um die Krümel von der Küchentheke gründlich zu ___.;После завтрака я беру губку, чтобы тщательно вытереть (стереть) крошки с кухонной стойки.;Schlafen;trinken;kochen
abräumen;Nachdem alle Gäste mit dem Essen fertig waren, halfen die Kinder den Tisch zügig zu ___.;После того как все гости закончили есть, дети помогли быстро убрать (очистить) посуду со стола.;Decken;Schlafen;kochen
nachholen;Weil ich krank war und die Prüfung verpasste, muss ich den Test nächsten Montag beim Lehrer ___.;Поскольку я болел и пропустил экзамен, я должен в следующий понедельник наверстать (сдать пропущенный) тест у учителя.;Schlafen;trinken;kochen
ausfallen;Wegen der Erkrankung der Dozentin muss die heutige Vorlesung an der Universität leider ersatzlos ___.;Из-за болезни преподавательницы сегодняшняя лекция в университете должна, к сожалению, отмениться (не состояться).;stattfinden;beginnen;Schlafen
absichern;Mit einer guten Haftpflichtversicherung kann sich jede Familie vor hohen finanziellen Schäden zuverlässig ___.;Хорошим страхованием гражданской ответственности каждая семья может надежно обезопасить себя от крупных финансовых потерь.;Schlafen;trinken;kochen
versichern;Um im Ausland bei Krankheit geschützt zu sein, sollte man sich vor Reiseantritt medizinisch ___.;Чтобы быть защищенным за границей в случае болезни, перед началом поездки следует медицински застраховать себя.;Schlafen;kochen;trinken
unterbringen;Weil das Hotel ausgebucht war, musste die Reisegruppe ihre Gäste in einer Pension am Stadtrand ___.;Так как отель был полностью заполнен, туристическая группа была вынуждена разместить (поселить) своих гостей в пансионе на окраине города.;Schlafen;kochen;trinken
versorgen;Die Hilfsorganisation fuhr ins Krisengebiet, um die Bevölkerung mit sauberem Trinkwasser und Lebensmitteln zu ___.;Организация помощи поехала в зону бедствия, чтобы снабдить (обеспечить) население чистой питьевой водой и продуктами.;Schlafen;kochen;trinken
belasten;Ständige Überstunden und schweres Tragen können den Rücken und die Gesundheit auf Dauer stark ___.;Постоянные переработки и тяжести при переноске могут в долгосрочной перспективе сильно перегружать (отягощать) спину и здоровье.;entlasten;schonen;Schlafen
entlasten;Ein zusätzlicher Mitarbeiter im Büro kann das gesamte überarbeitete Team spürbar ___.;Дополнительный сотрудник в офисе может ощутимо разгрузить (облегчить задачу) всю перегруженную команду.;belasten;fordern;Schlafen
befreien;Mit einem Spezialwerkzeug konnte die Feuerwehr den eingeklemmten Fahrer aus dem Unfallwagen ___.;Специальным инструментом пожарные смогли освободить (вызволить) зажатого водителя из аварийного автомобиля.;einsperren;Schlafen;kochen
beruhen;Eine glückliche und langlebige Partnerschaft muss auf gegenseitigem Vertrauen und Respekt ___.;Счастливое и долговечное партнерство должно основываться (зиждиться) на взаимном доверии и уважении.;Schlafen;kochen;trinken
Fahrgemeinschaft;Um Benzinkosten zu sparen und die Umwelt zu schonen, bilden vier Kollegen zur Arbeit eine tägliche ___.;Чтобы экономить расходы на бензин и беречь природу, четверо коллег организуют совместные поездки на работу на одной машине (карпулинг).;Reisegruppe;Sportmannschaft;Kaffeerunde
Pendler;Wer auf dem Land wohnt, aber jeden Tag mit dem Zug in die Großstadt zur Arbeit fährt, ist ein typischer ___.;Кто живет за городом, но каждый день ездит на поезде на работу в мегаполис — типичный маятниковый мигрант (человек, ездящий на работу в другой город).;Urlauber;Tourist;Spaziergänger
Berufsverkehr;Morgens zwischen sieben und neun Uhr stehen Tausende von Autos auf den Einfallstraßen im dichten städtischen ___.;Утром с семи до девяти часов тысячи машин стоят на въездных магистралях в плотном городском утреннем потоке (часе пик).;Ferienverkehr;Nachtverkehr;Flugverkehr
Fahrbahn;Wegen Glatteis verlor das Auto den Halt und rutschte unkontrolliert über die spiegelglatte ___.;Из-за гололеда автомобиль потерял сцепление и неконтролируемо заскользил по зеркально гладкой проезжей части.;Wohnung;Küche;Terrasse
Fahrstreifen;Auf der dreispurigen Autobahn wechselte der Wagen vorsichtig vom mittleren auf den rechten ___.;На трехполосном автобане машина осторожно перестроилась со средней на правую полосу движения (ряд).;Gehweg;Fahrradweg;Bürgersteig
Überholspur;Wer auf der Autobahn an langsameren Lastwagen zügig vorbeifahren möchte, wechselt links auf die freie ___.;Кто хочет на автобане быстро объехать более медленные грузовики, перестраивается влево на свободную полосу для обгона.;Kriechspur;Standspur;Ausfahrt
Standstreifen;Bei einer Panne auf der Autobahn muss man den Warnblinker einschalten und den Wagen sofort rechts auf den ___ stellen.;При поломке на автобане нужно включить аварийку и сразу поставить автомобиль справа на аварийную полосу (обочину).;Überholstreifen;Mittelstreifen;Gehweg
Leitplanke;Um Autos bei einem Aufprall vor dem Absturz in den Graben zu schützen, montiert man am Fahrbahnrand eine metallene ___.;Чтобы защитить автомобили при ударе от падения в кювет, по краю проезжей части монтируют металлический барьер безопасности (отбойник).;Haustür;Zimmerwand;Fensterbank
Kreuzungsbereich;Weil die Sicht durch parkende Transporter versperrt war, tastete sich der Fahrer nur ganz langsam in den gefährlichen ___ vor.;Поскольку обзор закрывали припаркованные фургоны, водитель лишь очень медленно выезжал в опасную зону перекрестка.;Wohnbereich;Gartenbereich;Parkbereich
Parkhaus;In der Innenstadt gab es an den Straßenrändern keine freien Plätze, deshalb fuhr er in das mehrstöckige überdachte ___.;В центре города по краям улиц не было свободных мест, поэтому он заехал в многоэтажный крытый паркинг (гараж).;Krankenhaus;Kaufhaus;Rathaus
Tiefgarage;Unter dem modernen Bürogebäude parken die Mitarbeiter ihre Fahrzeuge wettergeschützt im Keller in der unterirdischen ___.;Под современным офисным зданием сотрудники паркуют свои машины под защитой от непогоды в подвале в подземном гараже (паркинге).;Werkstatt;Kantine;Lagerhalle
Parkschein;Nach dem Einparken muss man am Automaten Münzen einwerfen und den ausgedruckten Zettel gut sichtbar hinter die Windschutzscheibe legen, den ___.;После парковки нужно опустить монеты в автомат и положить на видное место под лобовое стекло распечатанный талон — парковочный чек (талон).;Fahrschein;Lottoschein;Geldschein
Verkehrsschild;Am Straßenrand steht eine rot umrandete weiße Tafel mit der Zahl 50, dieses offizielle amtliche ___ zeigt das Tempolimit an.;У края дороги стоит белый щит с красной каймой с числом 50 — этот официальный дорожный знак указывает ограничение скорости.;Gemälde;Poster;Foto
Tempolimit;Vor Schulen und Kindergärten gilt zum Schutz der Kinder eine strikte Höchstgeschwindigkeit von dreißig Stundenkilometern, ein klares ___.;Перед школами и детскими садами для защиты детей действует строгое ограничение максимальной скорости тридцать км/ч — четкий скоростной лимит.;Parkverbot;Halteverbot;Überholverbot
Geschwindigkeitsbegrenzung;Wegen der nassen Fahrbahn zeigte die elektronische Anzeigetafel auf der Autobahn eine vorübergehende ___ auf 80 km/h.;Из-за мокрого асфальта электронное табло на автобане показало временное ограничение скорости до 80 км/ч.;Mautgebühr;Fahrbahnsperrung;Spurverengung
Hausbesitzer;Der Eigentümer des Mehrfamilienhauses kümmert sich persönlich um Reparaturen am Dach, der engagierte ___.;Владелец многоквартирного дома лично заботится о ремонте крыши — инициативный домовладелец (хозяин дома).;Mieter;Untermieter;Nachmieter
Eigentümer;Wer eine Wohnung nicht mietet, sondern sie mit eigenem Geld bezahlt hat und im Grundbuch steht, ist der rechtmäßige ___.;Кто не снимает квартиру, а оплатил ее собственными деньгами и записан в поземельной книге — законный собственник (владелец).;Mieter;Gast;Besucher
Mietpartei;In unserem Sechs-Familien-Haus wohnen sechs unterschiedliche Haushalte, und jede einzelne Familie ist eine registrierte ___.;В нашем доме на шесть семей живут шесть разных домохозяйств, и каждая отдельная семья — зарегистрированная сторона договора аренды (квартиросъемщик/семья).;Gewerkschaft;Behörde;Gemeinde
Wohnanlage;Vier moderne Neubauten mit gemeinsamem Innenhof, Spielplatz und Tiefgarage bilden zusammen eine gepflegte ruhige ___.;Четыре современных новых корпуса с общим внутренним двором, детской площадкой и подземным паркингом образуют вместе ухоженный жилой комплекс.;Industriezone;Gewerbezone;Autobahnraststätte
Hausverwaltung;Wenn der Aufzug streikt oder die Müllabfuhr nicht kommt, wendet sich der Mieter an das zuständige Büro für die Betreuung, die ___.;Если лифт барахлит или мусор не вывозят, квартиросъемщик обращается в ответственный офис по обслуживанию — в управляющую компанию дома.;Schulleitung;Polizeidirektion;Bürgerberatung
Mietspiegel;Um zu prüfen, ob die verlangte Miete pro Quadratmeter ortsüblich ist, schaut man in die behördliche Vergleichstabelle der Stadt, in den ___.;Чтобы проверить, соответствует ли запрашиваемая аренда за квадратный метр обычной по городу, смотрят в официальную сравнительную таблицу города — в таблицу средних арендных ставок (митшпигель).;Fahrplan;Stundenplan;Bebauungsplan
Kautionssumme;Als finanzielle Sicherheit für eventuelle Schäden verlangt der Vermieter vor Einzug drei Kaltmieten als hinterlegte ___.;В качестве финансовой гарантии возможных повреждений арендодатель требует перед заселением три базовые аренды в качестве внесенной суммы залога (депозита).;Warmmiete;Nebenkostenabrechnung;Maklergebühr
Übergabeprotokoll;Beim Einzug notieren Mieter und Vermieter alle bestehenden Kratzer und Zählerstände auf einem schriftlichen Formular, dem genauen ___.;При заселении квартиросъемщик и арендодатель записывают все имеющиеся царапины и показания счетчиков на письменном бланке — в точном акте приема-передачи жилья.;Kaufvertrag;Mietspiegel;Kassenbeleg
Zählerstand;Einmal im Jahr muss der Mieter die angezeigte Kilowattstundenzahl am Stromkasten ablesen und meldet dem Versorger den aktuellen ___.;Раз в год квартиросъемщик должен считать отображаемое количество киловатт-часов на щитке и сообщает поставщику актуальные показания счетчика.;Kontostand;Wasserpegel;Rechnungsbetrag
