Wein;Der Geschäftsführer beschloss, den verunsicherten Mitarbeitern endlich reinen ___ einzuschenken.;Управляющий решил наконец сказать встревоженным сотрудникам чистую правду.;Kaffee;Tee;Saft
Kopf;Mit dieser präzisen Analyse der Marktlage hat die Beraterin den Nagel auf den ___ getroffen.;Своим точным анализом ситуации на рынке консультант попала не в бровь, а в глаз.;Punkt;Tisch;Boden
Bank;Wir dürfen diese dringende Entscheidung über den Haushalt keinesfalls auf die lange ___ schieben.;Мы ни в коем случае не должны откладывать это срочное решение по бюджету в долгий ящик.;Leiter;Schiene;Kante
Granit;Bei den Verhandlungen mit der Konzernspitze biss die Delegation der Gewerkschaft auf ___;На переговорах с верхушкой концерна делегация профсоюза натолкнулась на глухую стену.;Stein;Eisen;Beton
Kürzeren;Bei der Vergabe der begehrten Fördermittel zog das kleine Startup leider den ___;При распределении востребованных грантов маленький стартап, к сожалению, остался в проигрыше.;Kleineren;Schwächeren;Letzten
Gras;Der Vorfall ist längst vergessen, über diese alte Geschichte ist längst ___ gewachsen.;Инцидент давно забыт, эта старая история давным-давно быльем поросла.;Moos;Unkraut;Laub
Haut;Als der Handwerker den Schaden zum dritten Mal ignorierte, fuhr der Bauherr völlig aus der ___;Когда мастер в третий раз проигнорировал дефект, заказчик строительства совершенно вышел из себя.;Fassung;Rolle;Geduld
Tuch;Die unangekündigte Preiserhöhung der Stadtwerke wirkte auf die Bürger wie ein rotes ___;Необъявленное повышение тарифов городскими службами подействовало на граждан как красная тряпка.;Licht;Signal;Feuer
Fettnäpfchen;Mit seiner unbedachten Bemerkung über den Akzent des Gastes trat er zielsicher in jedes ___;Своим необдуманным замечанием об акценте гостя он умудрился сесть в лужу.;Schlagloch;Wasser;Feuer
Licht;Der Sprecher versuchte vergeblich, die peinliche Verzögerung in ein besseres ___ zu rücken.;Спикер тщетно пытался выставить неловкую задержку в более выгодном свете.;Bild;Auge;Zimmer
Dorn;Die ständigen Überstunden ohne klaren Zeitausgleich waren dem Betriebsrat schon lange ein ___ im Auge.;Постоянные переработки без четкой компенсации времени уже давно были бельмом на глазу у производственного совета.;Splitter;Stein;Pfeil
Glocke;Aus Gründen der Diskretion sollten wir diesen internen Konflikt keinesfalls an die große ___ hängen.;Из соображений конфиденциальности нам ни в коем случае не стоит раззванивать об этом внутреннем конфликте на весь мир.;Trommel;Fahne;Wand
Tisch;Nach stundenlangem Streit brachten die Koalitionspartner endlich reine Fakten auf den ___;После многочасового спора партнеры по коалиции наконец выложили чистые факты на стол.;Boden;Platz;Markt
Faden;Die Argumentation des Anwalts verlor im Laufe des Plädoyers vollkommen den roten ___;Аргументация адвоката в ходе защитной речи совершенно потеряла связующую нить.;Strich;Weg;Kurs
