bewerben;Ich habe eine interessante Stellenanzeige gelesen und möchte mich schriftlich um diesen Job ___.;Я прочитал интересное объявление о работе и хочу письменно подать заявку (резюме) на эту работу.;Schlafen;trinken;kochen
einstellen;Die Firma wächst schnell und der Chef möchte ab nächsten Monat drei neue Mitarbeiter ___.;Фирма быстро растет, и начальник хочет со следующего месяца нанять (принять на работу) трех новых сотрудников.;entlassen;Schlafen;kochen
entlassen;Wegen der schlechten wirtschaftlichen Lage musste die Fabrik leider viele Arbeiter ___.;Из-за плохой экономической ситуации фабрика была вынуждена, к сожалению, уволить (сократить) многих рабочих.;einstellen;Schlafen;trinken
verhandeln;Der Betriebsrat muss heute mit der Firmenleitung über höhere Gehälter ___.;Производственный совет должен сегодня вести переговоры с руководством фирмы о более высокой заработной плате.;Schlafen;trinken;kochen
ablehnen;Das Angebot für die neue Wohnung ist viel zu teuer, ich muss das Angebot leider ___.;Предложение по новой квартире слишком дорогое, я должен, к сожалению, отклонить (отказаться от) предложение.;akzeptieren;annehmen;Schlafen
akzeptieren;Die Bedingungen im Mietvertrag sind sehr fair, wir können den Vorschlag gerne ___.;Условия в договоре аренды очень справедливые, мы можем охотно принять (согласиться на) это предложение.;ablehnen;Schlafen;kochen
zustimmen;Du hast vollkommen recht mit deinen Argumenten, ich kann deiner Meinung nur voll und ganz ___.;Ты совершенно прав со своими доводами, я могу лишь целиком и полностью согласиться с твоим мнением.;widersprechen;Schlafen;trinken
widersprechen;Das stimmt so überhaupt nicht, was du sagst, da muss ich dir leider ganz deutlich ___.;То, что ты говоришь, совсем не так, здесь я должен, к сожалению, совершенно четко возразить тебе.;zustimmen;Glauben;Schlafen
überzeugen;Er hat sehr gute Beweise vorgelegt, um seine Kollegen von der Richtigkeit des Plans zu ___.;Он представил очень хорошие доказательства, чтобы убедить своих коллег в правильности этого плана.;Schlafen;kochen;trinken
beeinflussen;Das schlechte Wetter und der ständige Regen können die Laune der Menschen negativ ___.;Плохая погода и постоянный дождь могут негативно повлиять на (повлиять на) настроение людей.;Schlafen;kochen;trinken
fordern;Die Gewerkschaft geht auf die Straße, um fünf Prozent mehr Lohn für die Pflegekräfte zu ___.;Профсоюз выходит на улицу, чтобы потребовать на пять процентов больше зарплаты для медперсонала.;Schlafen;kochen;trinken
verlangen;Für diese einfache Dienstleistung kann der Handwerker doch nicht so viel Geld ___!;За эту простую услугу мастер ведь не может требовать (запрашивать) так много денег!;Schlafen;trinken;kochen
erläutern;Die Regel ist etwas kompliziert, der Lehrer muss den Schülern das Problem noch einmal genau ___.;Правило несколько сложное, учитель должен еще раз подробно разъяснить (пояснить) ученикам эту проблему.;Schlafen;trinken;kochen
zusammenfassen;Am Ende des Vortrags möchte die Rednerin die wichtigsten Ergebnisse noch kurz ___.;В конце доклада выступающая хочет еще кратко обобщить (подвести итог) важнейшие результаты.;Schlafen;trinken;kochen
übertreiben;Es war doch nur ein kleiner Kratzer am Auto, du musst nicht gleich so maßlos ___!;Это была всего лишь маленькая царапина на машине, тебе не нужно сразу так безмерно преувеличивать!;untertreiben;Schlafen;kochen
vermeiden;Um Fehler bei der Abrechnung zu verhindern, sollte man jegliche Hektik bei der Arbeit ___.;Чтобы предотвратить ошибки при расчетах, следует избегать любой суеты в работе.;suchen;Schlafen;trinken
verhindern;Die Polizei konnte den geplanten Einbruch durch schnelles Eingreifen rechtzeitig ___.;Полиция смогла вовремя предотвратить (помешать) запланированный взлом благодаря быстрому вмешательству.;fördern;Schlafen;kochen
lösen;Das ist eine sehr knifflige mathematische Aufgabe, aber gemeinsam können wir sie sicher ___.;Это очень замысловатая математическая задача, но вместе мы наверняка сможем решить ее.;kochen;Schlafen;trinken
scheitern;Ohne ausreichende Vorbereitung und ohne Geld musste das ganze ehrgeizige Projekt leider ___.;Без достаточной подготовки и без денег весь амбициозный проект, к сожалению, должен был потерпеть неудачу (провалиться).;gelingen;Siegen;Schlafen
gelingen;Mit viel Fleiß und ein bisschen Glück wird dir diese schwere Prüfung im zweiten Versuch sicher ___.;С большим старанием и капелькой удачи этот трудный экзамен со второй попытки тебе непременно удастся.;scheitern;misslingen;Schlafen
unterbrechen;Entschuldigen Sie bitte die Störung, ich möchte Ihre wichtige Besprechung nur ganz kurz ___.;Извините, пожалуйста, за беспокойство, я хочу лишь совсем ненадолго прервать ваше важное совещание.;fortsetzen;Schlafen;kochen
fortsetzen;Die Kaffeepause ist vorbei, wir müssen unsere Arbeit am Computer jetzt konzentriert ___.;Перерыв на кофе окончен, мы должны сейчас сосредоточенно продолжить нашу работу за компьютером.;unterbrechen;beenden;Schlafen
aufschieben;Was du heute kannst besorgen, das sollst du nicht auf morgen ___!;То, что ты можешь сделать сегодня, не откладывай на завтра!;erledigen;Schlafen;kochen
beitragen;Jeder einzelne Bürger kann durch Mülltrennung aktiv zum Umweltschutz ___.;Каждый отдельный гражданин может активным образом внести вклад в защиту окружающей среды через сортировку мусора.;Schlafen;kochen;trinken
wirken;Dieses starke Schmerzmittel fängt schon nach zehn Minuten an, im Körper spürbar zu ___.;Это сильное обезболивающее средство уже через десять минут начинает ощутимо действовать (оказывать эффект) в организме.;Schlafen;kochen;trinken
Arbeitsplatz;Mein moderner Schreibtisch mit zwei Bildschirmen im Büro ist ein wirklich ergonomischer ___.;Мой современный письменный стол с двумя мониторами в офисе — действительно эргономичное рабочее место.;Wohnort;Urlaubsort;Schlafplatz
Kündigung;Er hat eine neue Stelle gefunden und reichte gestern bei seinem Chef die schriftliche ___ ein.;Он нашел новую работу и вчера подал своему начальнику письменное заявление об увольнении (расторжение договора).;Bewerbung;Einstellung;Zusage
Gehaltserhöhung;Nach dem erfolgreichen Geschäftsjahr bat der Mitarbeiter den Vorgesetzten um eine angemessene ___.;После успешного финансового года сотрудник попросил руководителя о соразмерном повышении заработной платы.;Kündigung;Abmahnung;Versetzung
Überstunde;Weil das Projekt bis Freitag fertig sein muss, machen alle Kollegen im Team heute eine zusätzliche ___.;Так как проект должен быть готов к пятнице, все коллеги в команде делают сегодня дополнительный сверхурочный час (переработку).;Mittagspause;Kaffeepause;Urlaubswoche
Teilzeit;Wegen der Betreuung ihrer kleinen Kinder arbeitet die Mutter nicht vierzig Stunden, sondern zwanzig Stunden in ___.;Из-за ухода за маленькими детьми мать работает не сорок часов, а двадцать часов на неполный рабочий день (неполную ставку).;Vollzeit;Nachtschicht;Rente
Vollzeit;Nach dem Ende der Ausbildung hat er eine reguläre feste Anstellung mit 40 Wochenstunden in ___.;После окончания профессионального обучения у него есть постоянная регулярная занятость на 40 часов в неделю на полную ставку (полный рабочий день).;Teilzeit;Kurzarbeit;Rente
Schichtarbeit;In der Autofabrik arbeiten die Mechaniker abwechselnd früh, spät und nachts in harter ___.;На автозаводе механики работают посменно рано утром, днем и ночью на тяжелой посменной работе.;Gleitzeit;Heimarbeit;Freizeit
Betriebsrat;Die gewählte Vertretung der Arbeitnehmer im Unternehmen heißt in Deutschland der offizielle ___.;Выборное представительство наемных работников на предприятии в Германии официально называется производственным советом.;Vorstand;Aufsichtsrat;Kundenrat
Gewerkschaft;Um für bessere Arbeitsbedingungen und höhere Löhne zu kämpfen, treten viele Beschäftigte in eine ___ ein.;Чтобы бороться за лучшие условия труда и более высокую зарплату, многие работники вступают в профсоюз.;Partei;Krankenkasse;Gemeinde
Arbeitsvertrag;Bevor man die neue Stelle antritt, muss man das Dokument mit Rechten und Pflichten unterschreiben, den ___.;Прежде чем приступить к новой должности, нужно подписать документ с правами и обязанностями — трудовой договор.;Mietvertrag;Kaufvertrag;Leasingvertrag
Arbeitserlaubnis;Ausländische Staatsbürger aus Drittstaaten benötigen vor der Arbeitsaufnahme in Deutschland eine amtliche ___.;Иностранным гражданам из третьих стран перед началом трудовой деятельности в Германии требуется официальное разрешение на работу.;Fahrerlaubnis;Baugenehmigung;Parkkarte
Vorstellungsgespräch;Morgen um zehn Uhr hat sie ihren wichtigen Termin beim Personalchef der Firma, ihr persönliches ___.;Завтра в десять часов у нее важная встреча с главой отдела кадров фирмы — ее личное собеседование (интервью при приеме на работу).;Abschiedsfeier;Sportfest;Konzert
Lebenslauf;Zu den Bewerbungsunterlagen gehört neben dem Zeugnis eine tabellarische Übersicht über den bisherigen Werdegang, der ___.;К документам соискателя помимо аттестата относится табличный обзор пройденного профессионального пути — резюме (автобиография).;Fahrplan;Stundenplan;Speiseplan
Berufserfahrung;Für diese leitende Führungsposition verlangt der Arbeitgeber mindestens fünf Jahre praktische ___.;Для этой руководящей должности работодатель требует как минимум пять лет практического профессионального опыта.;Schulpflicht;Freizeit;Arbeitslosigkeit
Fachkraft;In den Krankenhäusern und Schulen herrscht ein großer Mangel an gut ausgebildetem Fachpersonal, jede ___ wird gesucht.;В больницах и школах царит большая нехватка хорошо обученного квалифицированного персонала, требуется каждый квалифицированный специалист.;Aushilfe;Praktikant;Laie
Mietvertrag;Bevor die Schlüssel übergeben werden, unterschreiben Vermieter und Mieter den schriftlichen ___.;Прежде чем передаются ключи, арендодатель и арендатор подписывают письменный договор аренды квартиры.;Kaufvertrag;Arbeitsvertrag;Ehevertrag
