angekommen;Am Hauptbahnhof ___, rief der Geschäftsreisende sofort ein freies Taxi.;Прибыв на главный вокзал, деловой путешественник сразу вызвал свободное такси.;ankommend;ankam;ankommen
lächelnd;Freundlich ___, begrüßte die Empfangsdame die internationalen Gäste im Foyer.;Приветливо улыбаясь, администратор поприветствовала иностранных гостей в фойе.;gelächelt;lächeln;lächelte
überrascht;Von der plötzlichen Nachricht sichtlich ___, wusste der Abteilungsleiter zunächst keine Antwort.;Заметно удивленный внезапной новостью, начальник отдела сначала не нашелся с ответом.;überraschend;überraschen;überraschte
winkend;Auf dem Bahnsteig stehend und fröhlich ___, verabschiedete sie ihren Bruder.;Стоя на перроне и радостно маша рукой, она провожала своего брата.;gewunken;winken;winkte
abgeschlossen;Nach zähen Verhandlungen endlich ___, trat der Kooperationsvertrag in Kraft.;Будучи наконец заключенным после упорных переговоров, договор о сотрудничестве вступил в силу.;abschließend;abschließen;abschloss
zögernd;Einen kurzen Moment unschlüssig ___, betrat der Zeuge den großen Gerichtssaal.;В нерешительности поколебавшись короткий миг, свидетель вошел в большой зал суда.;gezögert;zögern;zögerte
repariert;Von Fachleuten sorgfältig ___, läuft die Produktionsanlage wieder vollkommen reibungslos.;Тщательно отремонтированная специалистами, производственная установка снова работает совершенно бесперебойно.;reparierend;reparieren;reparierte
suchend;Hektisch nach seinen Papieren ___, durchwühlte der Reisende seine Aktentasche.;Судорожно разыскивая свои документы, путешественник перерыл свой портфель.;gesucht;suchen;suchte
gewarnt;Durch die amtliche Unwetterwarnung rechtzeitig ___, blieben die Anwohner vorsichtshalber im Haus.;Своевременно предупрежденные официальным штормовым предупреждением, жильцы из предосторожности остались дома.;warnend;warnen;warnte
hoffend;Auf eine baldige positive Rückmeldung ___, reichte die Bewerberin ihre Unterlagen ein.;Надеясь на скорый положительный ответ, соискательница подала свои документы.;gehofft;hoffen;hoffte
überzeugt;Von der Richtigkeit seiner Berechnungen felsenfest ___, verteidigte der Prüfer das Gutachten.;Будучи твердо уверенным в правильности своих расчетов, эксперт отстаивал заключение.;überzeugend;überzeugen;überzeugte
schweigend;Nebeneinander auf der Holzbank ___, blickten die beiden Wanderer ins Tal.;Сидя молча рядом друг с другом на деревянной скамейке, оба туриста смотрели в долину.;geschwiegen;schweigen;schwiegen
