treffen;Die Geschäftsleitung muss heute eine endgültige Entscheidung über den Standort ___;Руководство должно принять сегодня окончательное решение о местоположении.;machen;tun;stellen
stellen;Wir möchten Ihnen alle aktuellen Berichte für die Prüfung zur Verfügung ___;Мы хотели бы предоставить в ваше распоряжение все текущие отчеты для проверки.;bringen;legen;nehmen
steht;Dieses Beratungsangebot ___ allen Bürgern der Stadt kostenfrei zur Verfügung.;Это консультационное предложение находится в бесплатном распоряжении всех граждан города.;liegt;bleibt;bringt
ziehen;Die Planer sollten diese kostengünstige Alternative ernsthaft in Erwägung ___;Проектировщикам следует серьезно принять во внимание эту выгодную альтернативу.;nehmen;bringen;setzen
nehmen;Bei einem solchen Großprojekt muss man gewisse finanzielle Risiken in Kauf ___;При таком крупном проекте приходится мириться с определенными финансовыми рисками.;ziehen;stellen;bringen
bringen;Der Abgeordnete wollte den Zustand der Schulen im Stadtrat zur Sprache ___;Депутат хотел вынести вопрос состояния школ на обсуждение в городском совете.;nehmen;setzen;stellen
kommt;Eine Verlängerung der Frist ___ unter diesen schwierigen Bedingungen keinesfalls in Frage.;Продление срока ни в коем случае не может рассматриваться при таких трудных условиях.;steht;geht;bringt
stellen;Die Opposition versuchte, die Glaubwürdigkeit des Ministers öffentlich in Frage zu ___;Оппозиция попыталась публично поставить под сомнение авторитет министра.;bringen;ziehen;setzen
gestellt;Der leitende Ingenieur hat seine fachliche Kompetenz bereits mehrfach unter Beweis ___;Ведущий инженер уже неоднократно доказал на деле свою профессиональную компетентность.;gebracht;genommen;gelegt
ergreifen;Die Behörden müssen nach dem Vorfall unverzüglich geeignete Maßnahmen ___;Органы власти должны незамедлительно принять подходящие меры после инцидента.;machen;tun;fassen
treten;Die überarbeitete Brandschutzverordnung soll bereits zum ersten Januar in Kraft ___;Пересмотренное предписание по противопожарной безопасности должно вступить в силу уже с первого января.;gehen;kommen;stehen
leisten;Jeder einzelne Mitarbeiter kann einen wertvollen Beitrag zum Projekterfolg ___;Каждый отдельный сотрудник может внести ценный вклад в успех проекта.;machen;tun;geben
nehmen;Bei den Umbauarbeiten müssen die Handwerker auf die älteren Hausbewohner Rücksicht ___;Во время перепланировки мастера должны принимать во внимание пожилых жильцов дома.;geben;machen;stellen
