als;Der Umbau des Bürokomplexes hat deutlich länger gedauert, ___ die Architekten anfangs prognostiziert hatten.;Перестройка офисного комплекса заняла значительно больше времени, чем архитектор прогнозировал изначально.;wie;wenn;damit
wie;Das neu entwickelte Triebwerk läuft im Praxistest genauso leise, ___ die Ingenieure es versprochen hatten.;Недавно разработанный двигатель работает в полевых испытаниях так же тихо, как инженеры и обещали.;als;wenn;dass
über;Die Kommission hat gestern viele Stunden intensiv debattiert ___ die Verteilung der zusätzlichen Fördergelder.;Комиссия вчера много часов интенсивно дискутировала о распределении дополнительных субсидий.;für;an;von
und zwar;Er kündigte seinen Rücktritt aus dem Vorstand völlig überraschend an, ___ mit sofortiger Wirkung.;Он объявил о своей отставке из правления совершенно неожиданно, а именно с немедленным вступлением в силу.;nämlich;sowie;denn
nachdem;Der Meister hat die beschädigte Maschine erst wieder in Betrieb genommen, ___ alle Lager geölt worden waren.;Мастер вновь запустил поврежденный станок только после того, как все подшипники были смазаны маслом.;bevor;während;sobald
als;Die tatsächlichen Reparaturkosten fielen im Endeffekt viel höher aus, ___ im Kostenvoranschlag veranschlagt worden war.;Фактические расходы на ремонт в итоге оказались намного выше, чем рассчитывалось в смете.;wie;wenn;damit
wie;Das Testergebnis fiel bei der zweiten Prüfung genauso überzeugend aus, ___ die Laborleiter gehofft hatten.;Результат тестирования при повторной проверке оказался столь же убедительным, как надеялись руководители лаборатории.;als;wenn;dass
mit;Der Geschäftsführer hat sich am Vormittag ausführlich verständigt ___ den Vertretern des zuständigen Betriebsrats.;Управляющий до обеда подробно объяснился с представителями профильного производственного совета.;an;über;für
vor allem;Die Stadtverwaltung will die Parkgebühren im Zentrum spürbar anheben, ___ zur Reduzierung des Verkehrs.;Городская администрация хочет ощутимо поднять цены на парковку в центре, прежде всего для сокращения трафика.;nämlich;und zwar;besonders
weil;Der Handwerker hat die Wand im Keller nicht sofort gestrichen, ___ der Putz noch nicht durchgetrocknet war.;Мастер не покрасил стену в подвале сразу, потому что штукатурка еще не просохла.;obwohl;damit;sodass
als;Die Montage der modernen Photovoltaikanlage ging schneller voran, ___ die Fachkräfte vermutet hatten.;Монтаж современной солнечной электростанции продвигался быстрее, чем предполагали специалисты.;wie;wenn;damit
wie;Die neue Software funktioniert im täglichen Einsatz genauso stabil, ___ der Hersteller im Handbuch garantiert.;Новое программное обеспечение работает в повседневном использовании так же стабильно, как гарантирует производитель.;als;wenn;dass
über;Der Anwalt hat den Mandanten heute noch einmal gewissenhaft belehrt ___ die Risiken einer Berufung.;Адвокат сегодня еще раз добросовестно проинструктировал клиента о рисках подачи апелляции.;an;für;zu
nämlich;Die Kanzlei hat einen hochqualifizierten Spezialisten neu eingestellt, ___ einen Experten für Patentrecht.;Адвокатское бюро наняло нового высококвалифицированного специалиста, а именно эксперта по патентному праву.;und zwar;besonders;vor allem
obwohl;Der Lokführer hat den Regionalzug am Signal gestoppt, ___ der Fahrdienstleiter die Strecke freigegeben hatte.;Машинист остановил региональный поезд у светофора, хотя поездной диспетчер открыл перегон.;weil;damit;sodass
als;Der Patient erholte sich von dem komplizierten Eingriff viel rascher, ___ die behandelnden Ärzte gedacht hatten.;Пациент оправился от сложной операции намного быстрее, чем думали лечащие врачи.;wie;wenn;damit
wie;Die thermische Dämmung des Neubaus hält die Wärme ebenso zuverlässig, ___ die statischen Berechnungen zeigten.;Теплоизоляция новостройки удерживает тепло столь же надежно, как показывали статические расчеты.;als;wenn;dass
an;Der Abgeordnete hat in seiner Rede scharfe Kritik geübt ___ den Kürzungen im kommunalen Bildungssektor.;Депутат в своей речи высказал резкую критику в адрес сокращений в муниципальном образовательном секторе.;über;auf;zu
besonders;Die Werkstatt hat die Bremsbeläge vorsorglich getauscht, ___ wegen des bevorstehenden Urlaubs.;Мастерская превентивно заменила тормозные колодки, в особенности из-за предстоящего отпуска.;nämlich;und zwar;vor allem
um;Die Geschäftsführung hat eine Sondersitzung einberufen, ___ den drängenden Liquiditätsengpass abzuwenden.;Руководство созвало экстренное заседание, чтобы предотвратить назревающий дефицит ликвидности.;damit;ohne;anstatt
als;Der Rohbau des neuen Feuerwehrhauses erforderte mehr Beton, ___ die Statiker ursprünglich berechnet hatten.;Черновая коробка нового пожарного депо потребовала больше бетона, чем инженеры изначально рассчитали.;wie;wenn;damit
wie;Das Material verhält sich bei extremen Minustemperaturen exakt so, ___ die Prüfingenieure es ermittelt hatten.;Материал ведет себя при экстремальных минусовых температурах ровно так, как определили инженеры-испытатели.;als;wenn;dass
zu;Die Sanierungsexperten haben der Gemeinde dringend geraten ___ einer vollständigen Erneuerung des Dachstuhls.;Эксперты по санации настоятельно порекомендовали общине полную замену стропильной системы крыши.;an;über;für
und zwar;Der Vermieter verlangt die Beseitigung aller Mängel im Hausflur, ___ bis zum kommenden Freitagmittag.;Арендодатель требует устранения всех недостатков в подъезде, причем до полудня следующей пятницы.;nämlich;besonders;vor allem
dass;Der Schlosser hat dem Kunden verbindlich versprochen, ___ das Ersatzteil bis morgen früh eingebaut wird.;Слесарь твердо пообещал клиенту, что запасная часть будет установлена до завтрашнего утра.;ob;wenn;damit
als;Die Teilnehmer haben im praktischen Programmierkurs weit mehr gelernt, ___ sie sich zuvor erhofft hatten.;Участники практического курса программирования выучили гораздо больше, чем надеялись ранее.;wie;wenn;damit
wie;Die Renovierung der Fassade veränderte das Straßenbild genau so positiv, ___ die Denkmalschützer planten.;Реставрация фасада изменила облик улицы ровно настолько позитивно, как и планировали реставраторы.;als;wenn;dass
auf;Die Ermittler stießen bei den Durchsuchungen auf neue Hinweise ___ die Identität des unbekannten Täters.;Следователи при обысках натолкнулись на новые улики относительно личности неизвестного преступника.;über;an;für
nämlich;Er kaufte sich ein extrem robustes Zweirad für den Arbeitsweg, ___ ein wartungsarmes Tourenrad.;Он купил себе крайне надежный двухколесный транспорт для поездок на работу, а именно туринг, требующий минимум ТО.;und zwar;besonders;vor allem
bevor;Der Lkw-Fahrer hat die schwere Ladung noch einmal eigenhändig geprüft, ___ er auf die Autobahn auffuhr.;Водитель грузовика еще раз собственноручно проверил тяжелый груз перед тем, как выехать на автобан.;nachdem;während;sobald
als;Das veraltete Heizsystem verbraucht in der kalten Jahreszeit viel mehr Energie, ___ zulässig sein sollte.;Устаревшая система отопления потребляет в холодное время года куда больше энергии, чем должно быть допустимо.;wie;wenn;damit
wie;Die neue Fahrradkette läuft nach dem sorgfältigen Fetten wieder so geschmeidig, ___ am ersten Tag.;Новая велосипедная цепь после тщательной смазки снова работает так же плавно, как и в первый день.;als;wenn;dass
gegen;Die Anwohner haben beim Verwaltungsgericht Klage eingereicht ___ die Erweiterung des Gewerbegebiets.;Жильцы подали иск в административный суд против расширения промышленной зоны.;über;an;für
vor allem;Der Meister lobte den jungen Gesellen vor der gesamten Belegschaft, ___ wegen seiner Präzision.;Мастер похвалил молодого подмастерья перед всем коллективом, главным образом за его точность.;nämlich;und zwar;besonders
damit;Der Installateur hat die Zuleitungen extra dick isoliert, ___ das Wasser im Winter nicht einfriert.;Монтажник особенно толсто утеплил подводящие трубы, чтобы вода зимой не замерзала.;weil;sodass;obwohl
als;Der Akku des elektrischen Lieferwagens entlud sich bei Frost viel schneller, ___ im Datenblatt angegeben war.;Аккумулятор электрического фургона доставки на морозе садился намного быстрее, чем указывалось в паспорте.;wie;wenn;damit
wie;Die Schutzbrille schirmt die Augen vor umherfliegenden Funken genauso zuverlässig ab, ___ vorgeschrieben.;Защитные очки экранируют глаза от разлетающихся искр столь же надежно, как и предписано.;als;wenn;dass
über;Der Buchhalter hat dem Geschäftsführer detailliert Bericht erstattet ___ die Quartalsabrechnung.;Бухгалтер подробно отчитался перед генеральным директором о квартальном расчете.;an;für;zu
und zwar;Die Straße wird am kommenden Wochenende voll gesperrt, ___ von Freitagabend bis Montagmorgen.;Улица будет полностью перекрыта на следующих выходных, а именно с вечера пятницы до утра понедельника.;nämlich;besonders;vor allem
ohne;Der Autofahrer hat das Bußgeld sofort per Online-Banking beglichen, ___ die Frist verstreichen zu lassen.;Водитель сразу оплатил штраф через онлайн-банк, не дав сроку истечь.;um;statt;anstatt
