bin;Ich ___ heute wirklich sehr müde von der langen Fahrt.;Я сегодня действительно очень устал от долгой поездки.;bist;ist;sind
hast;___ du heute Abend Zeit für ein kurzes Telefonat?;У тебя есть сегодня вечером время для короткого звонка?;hat;habe;habt
ist;Der neue Kollege in der Abteilung ___ sehr freundlich und hilfsbereit.;Новый коллега в отделе очень дружелюбный и отзывчивый.;sind;bin;seid
habe;Ich ___ leider keinen Regenschirm dabei, und es regnet.;У меня, к сожалению, нет с собой зонта, а идет дождь.;hast;hat;haben
sind;Wir ___ schon seit zwanzig Minuten am Bahnhof und warten.;Мы уже двадцать минут на вокзале и ждем.;seid;ist;bin
bist;Wo ___ du gerade? Ich stehe schon vor dem Supermarkt.;Где ты сейчас? Я уже стою перед супермаркетом.;ist;bin;sind
hat;Meine Schwester ___ nächste Woche ihren ersten Arbeitstag.;У моей сестры на следующей неделе первый рабочий день.;hast;habe;habt
haben;Wir ___ ein ernstes Problem mit der Heizung in der Wohnung.;У нас серьезная проблема с отоплением в квартире.;habt;hat;habe
seid;___ ihr mit den Vorbereitungen für das Abendessen schon fertig?;Вы уже закончили с приготовлениями к ужину?;sind;ist;bist
ist;Die Wohnung im dritten Stock ___ hell und sehr ruhig gelegen.;Квартира на третьем этаже светлая и очень тихо расположена.;sind;bin;seid
habe;Ich ___ großen Hunger, lass uns bald etwas kochen.;Я очень голоден, давай скоро что-нибудь приготовим.;hast;hat;haben
sind;Die Straßen am späten Sonntagabend ___ völlig leer.;Улицы поздним воскресным вечером совершенно пустые.;ist;seid;bin
hat;Der Arzt ___ heute leider keine freien Termine mehr.;У врача сегодня, к сожалению, больше нет свободных приемов.;habe;hast;habt
seid;Warum ___ ihr heute so spät zur Verabredung gekommen?;Почему вы сегодня пришли так поздно на встречу?;sind;ist;bist
bin;Ich ___ mir ganz sicher, dass der Bus um acht Uhr abfährt.;Я абсолютно уверен, что автобус отправляется в восемь часов.;bist;ist;sind
haben;Die Nachbarn ___ einen kleinen Garten direkt hinter dem Haus.;У соседей есть маленький сад прямо за домом.;hat;hast;habt
ist;Wer ___ die Dame dort drüben an der Kasse?;Кто та дама вон там на кассе?;sind;bin;seid
hast;Warum ___ du so schlechte Laune am frühen Morgen?;Почему у тебя такое плохое настроение ранним утром?;hat;habe;habt
sind;Wir ___ sehr zufrieden mit der neuen Kaffeemaschine.;Мы очень довольны новой кофемашиной.;seid;ist;bin
hat;Das Auto von meinem Vater ___ eine Panne auf der Autobahn.;Машина моего отца сломалась на автобане.;hast;habe;haben
habe;Ich ___ keine Ahnung, wie man diesen Herd einschaltet.;Я понятия не имею, как включить эту плиту.;hat;hast;haben
bist;___ du dir absolut sicher bei dieser Wegbeschreibung?;Ты абсолютно уверен насчет этого маршрута?;ist;bin;sind
ist;Es ___ wichtig, jeden Tag genug frisches Wasser zu trinken.;Важно пить каждый день достаточно свежей воды.;sind;bin;seid
haben;___ Sie vielleicht etwas Kleingeld für den Parkscheinautomaten?;У Вас случайно нет мелочи для парковочного автомата?;hat;hast;habt
seid;Ihr ___ heute wirklich sehr aufmerksam im Unterricht.;Вы сегодня действительно очень внимательны на занятии.;sind;ist;bist
bin;Ich ___ gleich fertig mit dem Abwasch, warte kurz.;Я сейчас закончу мыть посуду, подожди секунду.;bist;ist;sind
hat;Wer ___ meinen blauen Kugelschreiber vom Tisch genommen?;Кто взял мою синюю шариковую ручку со стола?;hast;habe;haben
sind;Die Dokumente für das Bürgeramt ___ alle vollständig.;Документы для ведомства все в полном комплекте.;ist;seid;bin
hast;___ du schon eine Rückmeldung vom Vermieter bekommen?;Ты уже получил ответ от арендодателя?;hat;habe;habt
ist;Der Zug nach Frankfurt ___ heute zehn Minuten zu spät.;Поезд во Франкфурт сегодня опаздывает на десять минут.;sind;bin;seid
haben;Herr und Frau Müller ___ zwei Kinder im Grundschulalter.;У господина и госпожи Мюллер двое детей младшего школьного возраста.;hat;habt;habe
bist;Warum ___ du heute eigentlich nicht bei der Besprechung?;Почему ты сегодня вообще не на совещании?;ist;bin;sind
habe;Ich ___ leider keine Zeit, um heute einkaufen zu gehen.;У меня, к сожалению, нет времени, чтобы пойти сегодня за покупками.;hast;hat;haben
ist;Das Essen im Restaurant ___ noch ziemlich heiß.;Еда в ресторане еще довольно горячая.;sind;bin;seid
seid;Wo ___ ihr das ganze Wochenende über gewesen?;Где вы были все выходные?;sind;ist;war
hat;Mein Bruder ___ großes Interesse an einer neuen Stelle.;Мой брат очень заинтересован в новой работе.;hast;habe;haben
