beschlossenen;Die von der Bundesregierung gestern in aller Eile ___ Maßnahmen treten sofort in Kraft.;Меры, принятые вчера правительством в спешке, вступают в силу немедленно.;beschlossene;beschließenden;beschlossener
steigenden;Wegen der seit Monaten im gesamten Bundesgebiet kontinuierlich ___ Mietpreise suchen viele Familien Ausweichquartiere.;Из-за непрерывно растущих в течение месяцев по всей стране цен на аренду многие семьи ищут альтернативное жилье.;gestiegenen;steigende;steigender
gelegene;Das direkt am Ufer des breiten Stroms ___ historische Gutshaus beherbergt heute ein Tagungszentrum.;Историческая усадьба, расположенная прямо на берегу широкой реки, сегодня вмещает конференц-центр.;gelegenes;gelegenen;liegende
unterzeichneten;Die von beiden Delegationen nach zähen Nachtverhandlungen feierlich ___ Verträge liegen nun zur Ratifizierung vor.;Договоры, торжественно подписанные обеими делегациями после упорных ночных переговоров, представлены к ратификации.;unterzeichnete;unterzeichnenden;unterzeichneter
eintreffenden;Die erst am späten Abend mit erheblicher Verspätung ___ Fluggäste wurden mit Bussen transportiert.;Пассажиры рейса, прибывшие лишь поздним вечером со значительным опозданием, были перевезены автобусами.;eingetroffenen;eintreffende;eintreffender
durchgeführten;Nach den von externen Sachverständigen gewissenhaft ___ Untersuchungen gilt das Bauwerk als erdbebensicher.;Согласно исследованиям, добросовестно проведенным внешними экспертами, сооружение считается сейсмостойким.;durchführenden;durchgeführte;durchgeführter
sinkenden;Bei den im Spätherbst in den Bergen rasch ___ Temperaturen müssen alle Wasserleitungen im Freien entleert werden.;При температурах, быстро падающих поздней осенью в горах, все наружные водопроводы должны быть осушены.;gesunkenen;sinkende;sinkender
vorgelegten;Der Aufsichtsrat lehnte den vom Vorstand kurzfristig ___ Sparplan nach kurzer Beratung einstimmig ab.;Наблюдательный совет после короткого совещания единогласно отклонил план экономии, представленный правлением.;vorlegenden;vorgelegte;vorgelegter
arbeitenden;Die seit vielen Jahren in diesem mittelständischen Unternehmen ___ Facharbeiter erhalten Sonderzahlungen.;Квалифицированные рабочие, трудящиеся на этом среднем предприятии уже много лет, получают спецвыплаты.;gearbeiteten;arbeitende;arbeitender
erlittenen;Trotz des bei dem heftigen Auffahrunfall ___ Totalschadens am Heck blieb der Fahrer unverletzt.;Несмотря на полный конструктивный ущерб задней части авто, полученный при сильном ударе сзади, водитель не пострадал.;erleidenden;erlittene;erlittenem
verfassten;Die von führenden Juristen der Universität gemeinsam ___ Stellungnahme wurde dem Verfassungsgericht übergeben.;Заключение, совместно составленное ведущими юристами университета, было передано в конституционный суд.;verfassenden;verfasste;verfasster
drohenden;Angesichts der durch die anhaltenden Regenfälle akut ___ Überflutungen errichteten Hilfskräfte Sandsackwälle.;Ввиду наводнений, остро угрожающих из-за непрекращающихся дождей, спасатели возвели валы из мешков с песком.;gedrohten;drohende;drohender
renovierten;In den erst vor wenigen Tagen aufwendig und denkmalgerecht ___ Büroräumen riecht es noch nach frischer Farbe.;В офисных помещениях, отреставрированных лишь несколько дней назад по нормам охраны памятников, еще пахнет свежей краской.;renovierenden;renovierte;renoviertem
fließende;Das ungehindert durch die gebrochene Ufermauer ___ Wasser richtete in den Kellern schwere Schäden an.;Вода, беспрепятственно текущая через пробитую набережную стену, нанесла тяжелый ущерб в подвалах.;geflossene;fließenden;fließendes
erbrachten;Für die von den vielen Freiwilligen während der Flutkatastrophe ___ Leistungen sprach der Minister seinen Dank aus.;За результаты работы, продемонстрированные многими волонтерами во время наводнения, министр выразил благодарность.;erbringenden;erbrachte;erbrachter
brennenden;Aus dem seit Stunden lichterloh ___ Dachstuhl des Fabrikgebäudes stiegen dichte, pechschwarze Rauchwolken auf.;Из стропил крыши фабричного здания, часами пылавших ярким пламенем, поднимались плотные черные клубы дыма.;gebrannten;brennende;brennendem
beschädigten;Der Prüfer dokumentierte die durch den schweren Hagelschlag stark ___ Photovoltaikanlagen auf den Hallendächern.;Эксперт задокументировал солнечные установки на крышах ангаров, сильно поврежденные крупным градом.;beschädigenden;beschädigte;beschädigter
schlafenden;Die leisen Tritte der Nachtwache weckten die nach der anstrengenden Schicht tief ___ Monteure im Wohnheim nicht.;Тихие шаги ночной охраны не разбудили монтажников в общежитии, глубоко спавших после тяжелой смены.;geschlafenen;schlafende;schlafender
eingereichten;Von allen fristgerecht vor dem Stichtag beim Bauamt ___ Bauanträgen wurden fast alle genehmigt.;Из всех строительных заявок, поданных в строительное ведомство в срок до контрольной даты, почти все были одобрены.;einreichenden;eingereichte;eingereichter
bestehende;Das seit über einem halben Jahrhundert ununterbrochen im Familienbesitz ___ Handwerksunternehmen expandiert nun.;Ремесленное предприятие, непрерывно находящееся в семейной собственности более полувека, теперь расширяется.;bestandene;bestehenden;bestehender
abgewiesenen;Die Urteilsbegründung der vom Landgericht letztinstanzlich ___ Schadensersatzklage umfasst mehr als hundert Seiten.;Мотивировочная часть иска о возмещении ущерба, отклоненного земельным судом в последней инстанции, занимает более 100 страниц.;abweisenden;abgewiesene;abgewiesener
wartenden;Den seit mehreren Stunden in eisiger Kälte ungeduldig ___ Pendlern wurden Heißgetränke gereicht.;Пассажирам, нетерпеливо ожидавшим на ледяном холоде в течение нескольких часов, раздали горячие напитки.;gewarteten;wartende;wartender
gefundenen;Die chemische Analyse der am Tatort von der Spurensicherung ___ Materialreste lieferte den entscheidenden Hinweis.;Химический анализ остатков материала, обнаруженных криминалистами на месте преступления, дал решающую зацепку.;findenden;gefundene;gefundener
herannahenden;Der Zugführer warnte die Arbeiter auf dem Nachbargleis vor dem mit hoher Geschwindigkeit ___ Güterzug.;Машинист поезда предупредил рабочих на соседнем пути о грузовом составе, приближающемся на высокой скорости.;herangenahten;herannahende;herannahendem
erlassenen;Gemäß den im Bundesanzeiger offiziell ___ Verwaltungsvorschriften gelten ab sofort schärfere Richtlinien.;В соответствии с административными предписаниями, официально опубликованными в бюллетене, с этого момента действуют более строгие правила.;erlassende;erlassene;erlassener
zunehmenden;Infolge der durch den demografischen Wandel rasch ___ Überalterung der Gesellschaft droht ein akuter Fachkräftemangel.;Вследствие старения общества, быстро усиливающегося из-за демографических изменений, грозит острый дефицит кадров.;zugenommenen;zunehmende;zunehmender
errichtete;Das unter Einsatz modernster ökologischer Dämmstoffe neu ___ Passivhaus benötigt fast keine externe Heizenergie.;Недавно возведенный с применением экологичных материалов пассивный дом почти не требует внешней энергии для отопления.;errichtenden;errichteten;errichtetes
handelnden;Das völlig unüberlegte Vorgehen der im Zustand höchster Erregung ___ Täter erschwerte die Deeskalation.;Совершенно необдуманные действия преступников, действовавших в состоянии аффекта, затруднили деэскалацию.;gehandelten;handelnde;handelnder
gelieferten;Der Lagerleiter beanstandete die direkt vom Hersteller per Schwertransport ___ Bauteile wegen Druckstellen.;Начальник склада забраковал детали, доставленные негабаритным транспортом напрямую от производителя, из-за вмятин.;liefernden;gelieferte;gelieferter
verlaufenden;Entlang der schnurgerade durch das gesamte Stadtgebiet ___ Bundesstraße wurde ein moderner Radschnellweg gebaut.;Вдоль федеральной трассы, проходящей прямо через весь город по прямой линии, была построена велосипедная магистраль.;gelaufenen;verlaufende;verlaufender
überwiesenen;Der pünktliche Eingang des vom Schuldner vollständig ___ Betrags wurde von der Kanzlei bestätigt.;Своевременное поступление суммы, полностью переведенной должником, было подтверждено адвокатской канцелярией.;überweisenden;überwiesene;überwiesener
fehlenden;Aufgrund der bei der Werksmontage versehentlich ___ Dichtungsringe trat Hydrauliköl aus dem Zylinder aus.;Из-за уплотнительных колец, случайно пропущенных при заводской сборке, гидравлическое масло вытекло из цилиндра.;gefehlten;fehlende;fehlender
