behandeln;Der erfahrene Facharzt muss den schwer kranken Patienten mit wirksamen Medikamenten ___.;Опытный врач-специалист должен лечить тяжелобольного пациента эффективными медикаментами.;schlafen;trinken;kochen
betreuen;Die freundliche Tagesmutter wird die kleinen Kinder im Kindergarten liebevoll ___.;Приветливая няня будет с любовью присматривать за (опекать) маленькими детьми в детском саду.;schlafen;kochen;trinken
pflegen;Die Krankenschwester muss die bettlägerige alte Dame im Seniorenheim rund um die Uhr aufmerksam ___.;Медсестра должна круглосуточно внимательно ухаживать за прикованной к постели пожилой дамой в доме престарелых.;schlafen;trinken;kochen
trösten;Als das kleine Kind weinte, nahm die Mutter es in die Arme, um das traurige Mädchen sanft zu ___.;Когда маленькая девочка заплакала, мама взяла ее на руки, чтобы ласково утешить грустного ребенка.;schlagen;schlafen;kochen
beraten;Der Finanzexperte bei der Bank möchte den jungen Kunden über verschiedene Sparmöglichkeiten ausführlich ___.;Финансовый эксперт в банке хочет подробно проконсультировать молодого клиента о различных возможностях накоплений.;schlafen;kochen;trinken
vertreten;Weil die Kollegin krank ist, muss Herr Müller sie während der wichtigen Teambesprechung ___.;Поскольку коллега больна, господин Мюллер должен заменить (представить) ее во время важного совещания команды.;schlafen;kochen;trinken
leiten;Nach vielen erfolgreichen Berufsjahren darf die erfahrene Managerin die neue Firmenfiliale ganz allein ___.;После многих успешных рабочих лет опытной управляющей доверено единолично руководить новым филиалом фирмы.;schlafen;kochen;trinken
steuern;Mit dem runden Lenkrad in beiden Händen kann der Fahrer den schweren Lastwagen sicher durch die Kurve ___.;Круглым рулем в обеих руках водитель может безопасно направлять (управлять) тяжелый грузовик через поворот.;schlafen;kochen;trinken
regeln;Ein Polizist steht mitten auf der Kreuzung, um bei Ausfall der Ampeln den gesamten Autoverkehr mit Handzeichen zu ___.;Полицейский стоит посреди перекрестка, чтобы регулировать всё автомобильное движение знаками рук при отключении светофоров.;schlafen;kochen;trinken
organisieren;Für das große Sommerfest der Schule müssen die Lehrer und Eltern rechtzeitig Musik, Essen und Getränke ___.;Для большого школьного летнего праздника учителя и родители должны своевременно организовать музыку, еду и напитки.;schlafen;kochen;trinken
durchführen;Die Forscher im Labor wollen das komplizierte wissenschaftliche Experiment nach festen Regeln ganz exakt ___.;Исследователи в лаборатории хотят провести (осуществить) сложный научный эксперимент строго по правилам.;schlafen;kochen;trinken
verwirklichen;Mit der Eröffnung ihrer eigenen kleinen Bäckerei konnte sich die Bäckerin ihren lang gehegten Lebenstraum ___.;С открытием собственной маленькой пекарни пекарь смогла осуществить (воплотить в жизнь) свою давнюю заветную мечту.;schlafen;kochen;trinken
erwarten;Weil der Himmel strahlend blau ist, können wir für das kommende Wochenende wirklich herrliches Sommerwetter ___.;Поскольку небо ослепительно синее, мы можем ожидать на предстоящих выходных действительно великолепную летнюю погоду.;schlafen;kochen;trinken
befürchten;Wegen der schweren Grippewelle in der Stadt müssen die Ärzte viele neue Krankheitsfälle im Krankenhaus ___.;Из-за сильной волны гриппа в городе врачи вынуждены опасаться множества новых случаев заболеваний в больнице.;schlafen;kochen;trinken
ahnen;Niemand wusste von dem geheimen Plan, aber wegen seines verdächtigen Lächelns konnte die Schwester schon etwas ___.;Никто не знал о тайном плане, но из-за его подозрительной улыбки сестра уже могла о чем-то догадываться (предчувствовать).;schlafen;kochen;trinken
unterscheiden;Die beiden Zwillingsbrüder sehen sich so ähnlich, dass selbst ihre besten Schulfreunde sie kaum voneinander ___ können.;Два брата-близнеца настолько похожи, что даже лучшие школьные друзья с трудом могут отличить (различить) их друг от друга.;schlafen;kochen;trinken
