staubsaugen;Auf dem Teppich im Wohnzimmer liegen viele Krümel, ich muss heute unbedingt gründlich ___.;На ковре в гостиной лежит много крошек, я должен сегодня непременно тщательно пропылесосить.;kochen;trinken;Schlafen
Pflanzen;Im Frühling wollen wir im Garten bunte Blumen und junge Tomaten in die Erde ___.;Весной мы хотим посадить в саду в землю пестрые цветы и молодые помидоры.;Schlafen;trinken;waschen
Ernten;Im Herbst sind die Äpfel reif und der Bauer kann viele Kisten frisches Obst ___.;Осенью яблоки спелые, и фермер может собрать урожай многих ящиков свежих фруктов.;kochen;Schlafen;trinken
tauchen;Mit einer Taucherbrille und Sauerstoffflasche kann man im warmen Meer nach bunten Fischen ___.;С маской для ныряния и кислородным баллоном можно нырять в теплом море за пестрыми рыбками.;Fliegen;fahren;rennen
reiten;Meine Tochter liebt Pferde und möchte am Wochenende auf dem Pony über die Wiese ___.;Моя дочь обожает лошадей и хочет на выходных покататься верхом на пони по лугу.;Fliegen;schwimmen;Segeln
Angeln;Mein Opa sitzt stundenlang mit der Rute am See, um einen frischen Fisch zu ___.;Мой дедушка часами сидит с удочкой у озера, чтобы поймать на удочку (выловить) свежую рыбу.;kochen;Schlafen;Schreiben
fotografieren;Mit seiner neuen Kamera möchte er im Urlaub alte Sehenswürdigkeiten und Landschaften ___.;Своим новым фотоаппаратом он хочет в отпуске фотографировать старые достопримечательности и пейзажи.;kochen;trinken;Schlafen
Filmen;Zur Hochzeit hat er eine Videokamera mitgebracht, um die gesamte Feier auf Video zu ___.;На свадьбу он принес видеокамеру, чтобы снять всё торжество на видео.;kochen;trinken;Schlafen
besichtigen;Wenn Touristen nach Rom reisen, wollen sie das berühmte Kolosseum von innen ___.;Когда туристы едут в Рим, они хотят осмотреть (посетить с экскурсией) знаменитый Колизей изнутри.;kochen;trinken;Schlafen
Zelten;Im Sommerurlaub schlafen wir nicht im teuren Hotel, sondern wollen direkt am See ___.;В летнем отпуске мы спим не в дорогом отеле, а хотим ночевать в палатках (кемпинговать) прямо у озера.;kochen;fahren;trinken
klingen;Die neuen Lautsprecher haben einen tollen Ton, die Geigen und Stimmen ___ wunderschön.;У новых колонок отличный звук, скрипки и голоса звучат прекрасно.;schmecken;riechen;sehen
fühlen;Wenn man krank im Bett liegt, kann man sich sehr schwach und elend ___.;Когда лежишь больным в постели, можно чувствовать себя очень слабым и несчастным.;schmecken;riechen;klingen
scheinen;Am wolkenlosen Himmel kann die helle Sommersonne den ganzen Tag warm ___.;На безоблачном небе яркое летнее солнце может весь день тепло светить.;kochen;Schlafen;trinken
glänzen;Nach dem Polieren mit einem weichen Tuch fängt der saubere Silberteller wieder an zu ___.;После полировки мягкой тряпкой чистая серебряная тарелка снова начинает блестеть (сверкать).;Schlafen;kochen;trinken
leuchten;Im dunklen Tunnel muss die kleine Lampe am Fahrrad den Weg hell vor uns ___.;В темном туннеле маленькая фара на велосипеде должна ярко освещать (светить) дорогу перед нами.;Schlafen;trinken;kochen
brennen;Das trockene Holz im Kamin fängt schnell Feuer und fängt im Ofen lichterloh an zu ___.;Сухие дрова в камине быстро загораются и начинают вовсю гореть в печи.;frieren;schwimmen;tauchen
zittern;Wenn man im nassen T-Shirt im Frost steht, fängt man vor eiskalter Kälte an zu ___.;Когда стоишь в мокрой футболке на морозе, от ледяного холода начинаешь дрожать.;schwitzen;kochen;lachen
