denn;Wo hast du ___ in aller Welt den alten Drehmomentschlüssel wieder hingelegt?;Куда же ты в самом деле снова положил старый динамометрический ключ?;ja;doch;halt
ja;Das ist ___ eine großartige Nachricht, mit der heute wirklich niemand gerechnet hat!;Это же великолепная новость, на которую сегодня действительно никто не рассчитывал!;denn;bloß;wohl
doch;Kommen Sie ___ bitte erst einmal herein und nehmen Sie im Besprechungsraum Platz!;Проходите же, пожалуйста, сначала внутрь и присаживайтесь в комнате переговоров!;denn;halt;eben
halt;Wenn der Zug ersatzlos ausfällt, müssen wir ___ auf den nächsten Regionalbus warten.;Если поезд отменен без замены, нам просто придется ждать следующего регионального автобуса.;denn;bloß;ja
wohl;Nach zehn Stunden harter Arbeit in der Werkstatt wird er jetzt ___ schon schlafen.;После десяти часов тяжелой работы в мастерской он сейчас, пожалуй, уже спит.;denn;bloß;halt
mal;Könntest du mir ___ kurz beim Festhalten der schweren Metallplatte assistieren?;Не мог бы ты мне на секунду помочь придержать тяжелую металлическую пластину?;denn;ja;halt
bloß;Fass das blanke Stromkabel an der Wand ___ nicht mit ungeschützten Händen an!;Только не прикасайся к оголенному электрическому кабелю на стене незащищенными руками!;denn;wohl;halt
denn;Wann beginnt ___ nun eigentlich die angekündigte Sanierung der Eisenbahnbrücke?;Когда же теперь собственно начнется объявленный ремонт железнодорожного моста?;ja;halt;bloß
ja;Du weißt ___, dass die Frist zur Einreichung der Steuererklärung morgen abläuft.;Ты ведь знаешь, что срок подачи налоговой декларации истекает завтра.;denn;bloß;wohl
doch;Das hättest du dem Meister aber ___ wirklich schon viel früher mitteilen müssen!;Но ты же действительно должен был сообщить об этом мастеру гораздо раньше!;denn;halt;eben
eben;Man kann alte Bausubstanz nicht von heute auf morgen sanieren, das dauert ___ seine Zeit.;Нельзя санировать старый фонд со дня на день, это просто требует своего времени.;denn;bloß;ja
wohl;Er wird den versiegelten Brief mit der Kündigung inzwischen ___ erhalten haben.;Он, скорее всего, к настоящему времени уже получил запечатанное письмо с расторжением.;denn;bloß;halt
mal;Lass uns ___ einen kurzen Blick auf den frisch gedruckten Schaltplan werfen!;Давай-ка бросим короткий взгляд на свежераспечатанную принципиальную схему!;denn;ja;halt
nur;Wo habe ich ___ meinen Dienstausweis vor Beginn der Frühschicht hingelegt?;Куда же только я дел свое служебное удостоверение перед началом утренней смены?;ja;halt;doch
denn;Warum hast du dich ___ gestern während der gesamten Teamsitzung so zurückgehalten?;Почему же ты вчера на протяжении всего совещания команды так сдерживался?;ja;halt;bloß
ja;Wir haben das Problem ___ bereits vor zwei Wochen im Gremium ausführlich erörtert.;Мы ведь уже подробно обсуждали эту проблему в комиссии две недели назад.;denn;bloß;wohl
doch;Sei ___ nicht so ungeduldig, der Lack auf dem Rahmen muss erst vollständig aushärten!;Да не будь же таким нетерпеливым, лак на раме должен сначала полностью затвердеть!;denn;halt;eben
halt;Es ist jetzt ___ so passiert, wir müssen uns nun auf die Schadensbegrenzung fokussieren.;Ну вот так уж вышло, нам нужно теперь сфокусироваться на минимизации ущерба.;denn;bloß;ja
wohl;Dieser komplizierte Fehler im Motormanagement lässt sich ___ nur per Diagnosegerät finden.;Эту сложную ошибку в управлении двигателем, видимо, удастся найти лишь сканером.;denn;bloß;halt
mal;Reiche mir ___ bitte die Wasserpumpenzange aus dem Werkzeugkasten herüber!;Передай-ка мне, пожалуйста, сантехнические клещи из ящика с инструментами!;denn;ja;halt
bloß;Vergiss ___ nicht, die Hauptsicherung vor dem Öffnen des Gehäuses herauszudrehen!;Смотри только не забудь выкрутить главный предохранитель перед вскрытием корпуса!;denn;wohl;halt
denn;Was soll ___ dieser ganze bürokratische Aufwand für einen so einfachen Vorgang?;К чему вообще весь этот бюрократический цирк ради такой простой процедуры?;ja;halt;bloß
