ist;Der Fernzug aus Berlin ___ heute mit zwanzig Minuten Verspätung angekommen.;Поезд дальнего следования из Берлина прибыл сегодня с опозданием в двадцать минут.;hat;wurde;hatte
hat;Frau Meier ___ gestern den ganzen Nachmittag im Garten gearbeitet.;Госпожа Майер вчера всю вторую половину дня работала в саду.;ist;wurde;war
sind;Wir ___ am vergangenen Wochenende mit dem Bus nach Wien gefahren.;Мы на прошлых выходных поехали на автобусе в Вену.;haben;hatten;wurden
haben;Die Nachbarn ___ gestern Abend lange über die Renovierung gesprochen.;Соседи вчера вечером долго говорили о ремонте.;sind;waren;seien
bist;Wann genau ___ du heute Morgen eigentlich aufgestanden?;Когда именно ты сегодня утром вообще встал?;hast;hast du;warst
habe;Ich ___ meinen Personalausweis im Büro auf dem Schreibtisch vergessen.;Я забыл свое удостоверение личности в офисе на письменном столе.;bin;habe mich;war
ist;Was ___ gestern Nachmittag an der großen Kreuzung passiert?;Что произошло вчера днем на большом перекрестке?;hat;wurde;hatte
geblieben;Herr Fischer ist heute wegen einer schweren Erkältung im Bett ___.;Господин Фишер сегодня из-за сильной простуды остался в постели.;gebleibt;bleiben;bleibt
geworden;Gegen Abend ist es draußen plötzlich spürbar kühler ___.;К вечеру на улице внезапно стало ощутимо прохладнее.;gewerden;gewurden;werden
eingeschlafen;Nach der langen Zugfahrt ist das müde Kind sofort ___.;После долгой поездки на поезде уставший ребенок сразу уснул.;eingeschlaft;einschlafen;geschlafen
umgezogen;Die Familie ist vor zwei Monaten in eine größere Wohnung ___.;Семья два месяца назад переехала в более просторную квартиру.;umgezieht;umziehen;geumzieht
gemacht;Hast du deine Einkäufe für das Wochenende schon alle ___?;Ты уже сделал все свои покупки на выходные?;gemachen;machen;gemachtest
geschrieben;Die Mieterin hat einen freundlichen Brief an den Vermieter ___.;Арендатор написала дружелюбное письмо арендодателю.;geschreibt;schreiben;schrieb
getrunken;Ich habe heute den ganzen Tag über viel frisches Wasser ___.;Я пил сегодня весь день много свежей воды.;getrinkt;trinken;trank
gegessen;Was habt ihr heute Mittag in der Stadt ___?;Что вы ели сегодня в обед в городе?;geesst;essen;isst
gelesen;Hast du die neue Hausordnung im Treppenhaus schon ___?;Ты уже прочитал новые правила дома на лестничной клетке?;gelest;lesen;liest
gesehen;Hast du meine Brille irgendwo im Wohnzimmer ___?;Ты видел где-нибудь в гостиной мои очки?;geseht;sehen;sieht
geholfen;Der Nachbar hat der alten Dame beim Tragen der Taschen ___.;Сосед помог пожилой даме донести сумки.;gehelft;helfen;hilft
gefunden;Wir haben endlich einen passenden Schrank für den Flur ___.;Мы наконец-то нашли подходящий шкаф для прихожей.;gefindet;finden;fand
genommen;Wer hat den Schlüsselbund von der Kommode ___?;Кто взял связку ключей с комода?;genehmt;nehmen;nimmt
gebracht;Der Postbote hat das schwere Paket pünktlich an die Haustür ___.;Почтальон принес тяжелую посылку вовремя к входной двери.;gebringt;bringen;bringt
gedacht;Über diesen nützlichen Vorschlag habe ich gestern lange ___.;Об этом полезном предложении я вчера долго думал.;gedenkt;denken;dachte
verstanden;Haben die Kursteilnehmer die Erklärung der Lehrerin gut ___?;Участники курса хорошо поняли объяснение учительницы?;geverstanden;verstehen;versteht
vergessen;Ich habe den Einkaufszettel leider in der Küche ___.;Я, к сожалению, забыл список покупок на кухне.;gevergessen;vergisst;vergessenes
bekommen;Haben Sie die Rechnung für die Reparatur gestern per Post ___?;Вы получили вчера счет за ремонт по почте?;gebekommen;bekommt;bekam
verloren;Er hat seinen Hausschlüssel beim Spaziergang im Stadtpark ___.;Он потерял свой ключ от дома во время прогулки в городском парке.;geveloren;verlieren;verliert
erklärt;Der Arzt hat dem Patienten die Untersuchung sehr ruhig ___.;Врач очень спокойно объяснил пациенту обследование.;geerklärt;erklären;erklärte
repariert;Der Mechaniker hat die defekte Bremse am Auto schnell ___.;Механик быстро отремонтировал неисправный тормоз на машине.;gerepariert;reparieren;reparierte
funktioniert;Die alte Kaffeemaschine in der Küche hat jahrelang einwandfrei ___.;Старая кофемашина на кухне годами работала безупречно.;gefunktioniert;funktionieren;funktionierte
telefoniert;Ich habe heute Vormittag ausführlich mit der Hausverwaltung ___.;Я сегодня до обеда подробно поговорил по телефону с домоуправлением.;getelefoniert;telefonieren;telefoniertest
renoviert;Die neuen Eigentümer haben das Badezimmer komplett ___.;Новые собственники полностью отремонтировали ванную комнату.;gerenoviert;renovieren;renovierte
angerufen;Ich habe vorhin in der Arztpraxis wegen eines Termins ___.;Я звонил чуть ранее в приемную врача по поводу приема.;geanruft;angeruft;anrufen
eingekauft;Wir haben im Supermarkt frisches Obst und Brot ___.;Мы закупили в супермаркете свежих фруктов и хлеба.;geeinkauft;einkaufen;eingekaufen
mitgebracht;Der Gast hat zur Feier einen wunderschönen Blumenstrauß ___.;Гость принес на праздник чудесный букет цветов.;gemitbringt;mitbringen;mitgebringt
aufgeräumt;Die Kinder haben ihr Zimmer vor dem Besuch gründlich ___.;Дети основательно убрали свою комнату перед приходом гостей.;geaufräumt;aufräumen;aufgeräumen
abgegeben;Hast du das ausgefüllte Antragsformular gestern im Bürgeramt ___?;Ты сдал вчера заполненный бланк заявления в ведомстве по делам граждан?;geabgeben;abgeben;abgegebst
ist;Der Ausflug an den See ___ wegen des schlechten Wetters leider ausgefallen.;Поездка на озеро, к сожалению, сорвалась (отменилась) из-за плохой погоды.;hat;hatte;wurde
hat;Der Bäcker ___ heute früh wie immer frische Brötchen gebacken.;Пекарь сегодня рано утром, как всегда, испек свежие булочки.;ist;wurde;war
