regt;Es ___ mich auf, wenn der Zug schon wieder Verspätung hat.;Меня раздражает (выводит из себя), когда поезд снова опаздывает.;macht;stört;bringt
aufpassen;Du musst beim Überqueren der Straße gut ___.;Тебе нужно быть очень внимательным (следить) при переходе улицы.;sehen;schauen;mitkommen
besorgen;Ich muss morgen noch ein Geschenk für ihn ___.;Мне нужно завтра еще раздобыть (купить/достать) подарок для него.;holen;machen;geben
beeindruckt;Ich bin wirklich ___ von deiner schnellen Entwicklung.;Я действительно впечатлен твоим быстрым развитием.;überrascht;zufrieden;stolz
mitbringen;Soll ich heute Abend etwas zum Essen ___?;Мне принести (с собой) сегодня вечером что-нибудь из еды?;geben;nehmen;tragen
übrig;Wir haben noch etwas Pizza von gestern ___.;У нас еще осталась (лишняя/в остатке) пицца со вчерашнего дня.;mehr;viel;leer
auswendig;Du musst nicht alle Regeln ___ lernen, versteh sie einfach.;Тебе не нужно учить все правила наизусть, просто пойми их.;genau;richtig;perfekt
verspreche;Ich ___ dir, dass ich das nächste Mal pünktlich bin.;Я обещаю тебе, что в следующий раз буду вовремя.;sage;gebe;schwöre
statt;Das Konzert findet wegen des Regens nicht ___.;Концерт не состоится из-за дождя.;hier;dort;aus
teilnehmen;Möchtest du auch an dem Marathon ___?;Ты тоже хочешь принять участие в марафоне?;mitmachen;laufen;gehen
absagen;Ich bin krank und muss den Termin leider ___.;Я заболел и, к сожалению, должен отменить встречу.;beenden;schließen;stoppen
verschieben;Können wir unser Treffen auf nächste Woche ___?;Мы можем перенести нашу встречу на следующую неделю?;wechseln;tauschen;stellen
überlegen;Ich muss mir noch ___, ob ich das Angebot annehme.;Мне нужно еще обдумать, приму ли я это предложение.;denken;wissen;entscheiden
zu;Bitte hör mir ___, wenn ich dir etwas Wichtiges erkläre.;Пожалуйста, послушай меня, когда я объясняю тебе что-то важное.;an;auf;hin
anbieten;Kann ich dir etwas zu trinken ___?;Могу я предложить тебе что-нибудь выпить?;geben;bringen;machen
verlangt;Dieser Job ___ sehr viel Konzentration und Geduld.;Эта работа требует очень много концентрации и терпения.;braucht;nimmt;fragt
abgenommen;Du siehst gut aus, hast du in letzter Zeit ___?;Ты хорошо выглядишь, ты похудел (сбросил вес) в последнее время?;verloren;gesunken;kleiner
ausgeben;Ich möchte nicht so viel Geld für Klamotten ___.;Я не хочу тратить так много денег на одежду.;zahlen;geben;kaufen
sparen;Wir ___ gerade für einen gemeinsamen Urlaub im Sommer.;Мы сейчас копим на совместный отпуск летом.;sammeln;halten;warten
vorbereitet;Bist du gut auf die B1-Prüfung ___?;Ты хорошо подготовлен к экзамену B1?;gelernt;gemacht;fertig
erwarten;Was ___ sie eigentlich von mir in dieser Situation?;Чего они вообще ожидают от меня в этой ситуации?;wollen;hoffen;denken
klingt;Das ___ nach einem sehr guten Plan für das Wochenende.;Это звучит как очень хороший план на выходные.;hört;scheint;passt
scheint;Es ___, als ob die Sonne heute nicht mehr rauskommt.;Кажется (создается впечатление), как будто солнце сегодня больше не выйдет.;sieht;denkt;glaubt
verhalten;Du musst dich in der Bibliothek ruhig ___.;Ты должен вести себя тихо в библиотеке.;machen;bleiben;tun
leisten;Als Student kann ich mir kein teures Auto ___.;Будучи студентом, я не могу позволить себе дорогую машину.;kaufen;zahlen;nehmen
