mich;Ich muss ___ nach der langen Fahrt erst einmal etwas ausruhen.;Мне нужно сначала немного отдохнуть после долгой поездки.;mir;dich;sich
mir;Ich wasche ___ vor dem Essen gründlich die Hände im Badezimmer.;Я тщательно мою руки в ванной перед едой.;mich;dir;sich
dich;Beeil ___ bitte, sonst verpassen wir noch den Bus zum Markt!;Поторопись, пожалуйста, иначе мы еще опоздаем на автобус до рынка!;dir;mich;sich
dir;Putz ___ bitte gründlich die Zähne, bevor du schlafen gehst!;Почисти, пожалуйста, тщательно зубы перед тем, как идти спать!;dich;mir;sich
sich;Der Zug nach München verspätet ___ heute leider um zwanzig Minuten.;Поезд в Мюнхен сегодня, к сожалению, опаздывает на двадцать минут.;uns;euch;ihm
sich;Die Gäste freuen ___ sehr über den warmen Tee nach dem Spaziergang.;Гости очень рады теплому чаю после прогулки.;uns;euch;ihnen
uns;Wir treffen ___ morgen um zehn Uhr direkt vor der Apotheke.;Мы встретимся завтра в десять часов прямо перед аптекой.;euch;sich;wir
euch;Habt ihr ___ schon für den neuen Sprachkurs angemeldet?;Вы уже записались на новый языковой курс?;uns;sich;ihr
sich;Herr Schneider erkältet ___ im feuchten Herbstwetter leider sehr leicht.;Господин Шнайдер, к сожалению, очень легко простужается в сырую осеннюю погоду.;uns;euch;ihm
mir;Ich ziehe ___ schnell eine warme Jacke an, weil es draußen windig ist.;Я быстро надеваю теплую куртку, так как на улице ветрено.;mich;dir;sich
mich;Ich ärgere ___ jedes Mal über den dichten Verkehr auf der Hauptstraße.;Я каждый раз злюсь из-за плотного движения на главной улице.;mir;sich;dich
dir;Merk ___ bitte diese wichtige Telefonnummer für den Notfall!;Запомни, пожалуйста, этот важный номер телефона на экстренный случай!;dich;mir;sich
sich;Die Nachbarin macht ___ große Sorgen wegen des defekten Heizkörpers.;Соседка очень беспокоится из-за неисправной батареи.;uns;euch;ihr
euch;Setzt ___ doch bitte an den Tisch, das Abendessen ist gleich fertig.;Садитесь, пожалуйста, за стол, ужин сейчас будет готов.;uns;sich;ihr
uns;Wir ruhen ___ sonntags am liebsten gemütlich im Wohnzimmer aus.;Мы по воскресеньям охотнее всего уютно отдыхаем в гостиной.;euch;sich;wir
mich;Ich ziehe ___ schnell um, bevor die Handwerker an der Tür klingeln.;Я быстро переоденусь до того, как мастера позвонят в дверь.;mir;dich;sich
mir;Ich kaufe ___ auf dem Wochenmarkt etwas frisches Obst für die Woche.;Я куплю себе на еженедельном рынке немного свежих фруктов на неделю.;mich;dir;sich
dich;Setz ___ doch bitte auf diesen bequemen Sessel im Wartezimmer!;Присядь, пожалуйста, в это удобное кресло в приемной!;dir;mich;sich
dir;Kämm ___ bitte kurz die Haare, bevor wir zur Behörde gehen!;Причеши, пожалуйста, быстро волосы перед тем, как мы пойдем в ведомство!;dich;mir;sich
sich;Das kleine Kind fürchtet ___ im dunklen Hausflur ohne Licht.;Маленький ребенок боится в темном подъезде без света.;uns;euch;ihm
sich;Die Familie bedankt ___ ganz herzlich für die freundliche Nachbarschaftshilfe.;Семья сердечно благодарит за дружелюбную соседскую помощь.;uns;euch;ihr
uns;Wir ziehen ___ vor dem Spaziergang im Wald feste Schuhe an.;Мы надеваем перед прогулкой в лесу прочную обувь.;euch;sich;ihnen
euch;Habt ihr ___ bei dem plötzlichen Gewitter gestern Abend erschreckt?;Вы испугались во время внезапной грозы вчера вечером?;uns;sich;ihr
mich;Ich fühle ___ heute nach dem langen Schlaf wirklich sehr gut.;Я чувствую себя сегодня после долгого сна действительно очень хорошо.;mir;dich;sich
mir;Ich überlege ___ ganz in Ruhe, welche Fahrkarte am günstigsten ist.;Я совершенно спокойно обдумаю, какой проездной выгоднее всего.;mich;dir;sich
dich;Fühlst du ___ wegen der Erkältung immer noch schlapp und müde?;Ты из-за простуды все еще чувствуешь себя вялым и уставшим?;dir;mich;sich
dir;Nimm ___ bitte genug Zeit für ein gesundes und ausgewogenes Frühstück!;Возьми себе, пожалуйста, достаточно времени на здоровый и сбалансированный завтрак!;dich;mir;sich
sich;Der Himmel färbt ___ am späten Abend dunkelgrau und es fängt an zu regnen.;Небо к позднему вечеру окрашивается в темно-серый цвет, и начинается дождь.;uns;euch;ihm
sich;Die Kinder ziehen ___ nach dem Spielen im Garten die nassen Stiefel aus.;Дети снимают после игры в саду мокрые сапоги.;uns;euch;ihnen
uns;Wir interessieren ___ sehr für die Geschichte der alten Stadtmauer.;Мы очень интересуемся историей старой городской стены.;euch;sich;wir
euch;Ihr müsst ___ unbedingt warm anziehen, draußen weht ein eisiger Wind.;Вам нужно обязательно тепло одеться, на улице дует ледяной ветер.;uns;sich;ihr
mich;Ich erinnere ___ leider überhaupt nicht mehr an den Namen der Straße.;Я, к сожалению, вообще больше не помню название той улицы.;mir;dich;sich
mir;Ich breche ___ hoffentlich nicht das Bein auf der glatten Treppe im Hof.;Я, надеюсь, не сломаю себе ногу на скользкой лестнице во дворе.;mich;dir;sich
dich;Erinnerst du ___ noch an das kleine Hotel an der Ostsee?;Ты еще помнишь ту маленькую гостиницу на Балтийском море?;dir;mich;sich
