gedenken;Die Anwesenden erhoben sich von ihren Plätzen, um der Opfer des Unglücks feierlich zu ___.;Присутствующие поднялись со своих мест, чтобы торжественно почтить память жертв трагедии.;erinnern;feiern;denken
bedürfen;Diese außergewöhnlich komplexe Rechtslage dürfte einer eingehenden juristischen Prüfung ___.;Это исключительно сложное правовое положение требует подробной юридической проверки.;verlangen;brauchen;fordern
enthielt;Der Abgeordnete ___ sich bei der entscheidenden Abstimmung im Plenum demonstrativ der Stimme.;Депутат при решающем голосовании на пленарном заседании демонстративно воздержался.;verzichtete;verweigerte;schonte
rühmen;Ein wahrhaft weiser Gelehrter pflegt sich seiner herausragenden Erfolge niemals selbst zu ___.;Истинно мудрый ученый не имеет обыкновения самолично хвастать своими выдающимися успехами.;loben;preisen;feiern
vermag;Niemand im Raum ___ das Ausmaß dieser dramatischen Fehlentscheidung gänzlich zu ermessen.;Никто в зале не способен в полной мере оценить масштаб этого драматического ошибочного решения.;kann;darf;muss
obliegt;Die lückenlose Überwachung der Einhaltung aller Sicherheitsrichtlinien ___ allein dem Werksleiter.;Безупречный контроль за соблюдением всех правил безопасности лежит на одном лишь начальнике завода.;gehört;steht;bleibt
pflegte;Der alte Professor ___ vor Beginn jeder Vorlesung pünktlich an das Rednerpult zu treten.;Старый профессор имел обыкновение перед началом каждой лекции пунктуально выходить к кафедре.;wollte;mochte;sollte
schuldig;Der Zeuge machte sich vor Gericht durch seine bewusste Falschaussage des Meineids ___.;Свидетель сделал себя виновным в лжесвидетельстве в суде своими осознанно ложными показаниями.;haftbar;verantwortlich;strafbar
eingedenk;Die Delegierten handelten während der Verhandlungen stets ___ ihrer historischen Verantwortung.;Делегаты во время переговоров действовали неизменно памятуя о своей исторической ответственности.;angesichts;mangels;kraft
zeit;Er blieb dieser kleinen Handwerkstradition ___ seines gesamten beruflichen Lebens treu.;Он оставался верен этой ремесленной традиции на протяжении всей своей профессиональной жизни.;während;trotz;kraft
vermöge;Er löste das vertrackte mechanische Problem allein ___ seines überragenden Scharfsinns.;Он решил эту заковыристую механическую проблему исключительно в силу своей поразительной проницательности.;kraft;mangels;infolge
gewahr;Der Nachtwächter wurde der schleichenden Gefahr im Treppenhaus erst im letzten Moment ___.;Ночной сторож осознал крадущуюся опасность на лестничной клетке лишь в самый последний момент.;sicher;bewusst;kundig
habhaft;Die Fahnder konnten des flüchtigen Verdächtigen nach tagelanger Verfolgung endlich ___ werden.;Следователи после многодневного преследования смогли наконец настигнуть беглого подозреваемого.;greifbar;gefangen;sicher
überdrüssig;Nach jahrelangem juristischem Streit war der Kläger der endlosen Auseinandersetzungen ___.;После многолетней юридической тяжбы истец пресытился бесконечными разбирательствами.;müde;satt;voll
