festnehmen;Die Polizei konnte den flüchtigen Bankräuber nach einer kurzen Verfolgungsjagd auf der Straße ___.;Полиция смогла задержать (арестовать) беглого грабителя банка после короткой погони на улице.;Schlafen;kochen;trinken
verhaften;Nach Vorlage des richterlichen Haftbefehls legten die Beamten dem Verdächtigen Handschellen an, um ihn zu ___.;После предъявления судебного ордера на арест полицейские надели на подозреваемого наручники, чтобы арестовать (взять под стражу) его.;entlassen;freisprechen;Schlafen
beschuldigen;Ohne eindeutige Beweise darf man einen unschuldigen Nachbarn nicht einfach des Diebstahls ___.;Без однозначных доказательств нельзя просто так обвинять невиновного соседа в краже.;Schützen;Schlafen;trinken
Anklagen;Die Staatsanwaltschaft entschied sich nach Abschluss der Ermittlungen, den Haupttäter vor dem Landgericht zu ___.;Прокуратура решила после завершения расследования предъявить обвинение (привлечь к суду) главному виновнику в земельном суде.;Schlafen;kochen;trinken
verurteilen;Wegen schwerer Körperverletzung entschied der Richter, den Angeklagten zu zwei Jahren Gefängnis zu ___.;Из-за нанесения тяжких телесных повреждений судья решил приговорить (осудить) подсудимого к двум годам тюрьмы.;freisprechen;belohnen;Schlafen
freisprechen;Weil seine Unschuld durch ein Alibi eindeutig bewiesen wurde, musste das Gericht den Mann von allen Vorwürfen ___.;Поскольку его невиновность была однозначно доказана алиби, суд должен был оправдать мужчину по всем обвинениям.;verurteilen;bestrafen;Schlafen
verteidigen;Ein guter Strafverteidiger muss die Rechte seines Mandanten vor Gericht engagiert und juristisch präzise ___.;Хороший адвокат по уголовным делам должен увлеченно и юридически точно защищать права своего подзащитного в суде.;Anklagen;angreifen;Schlafen
Aussagen;Als Augenzeuge des schweren Autounfalls musste der Fußgänger vor der Polizei wahrheitsgemäß ___.;Как очевидец тяжелой автоаварии пешеход должен был правдиво дать показания (свидетельствовать) перед полицией.;schweigen;Lügen;Schlafen
protokollieren;Die Schriftführerin im Gerichtssaal tippt jedes einzelne Wort der Zeugen mit, um den Verlauf genau zu ___.;Секретарь в зале суда записывает каждое отдельное слово свидетелей, чтобы точно запротоколировать ход процесса.;Löschen;Schlafen;kochen
ermitteln;Die Kriminalbeamten suchen am Tatort nach Fingerabdrücken, um den unbekannten Täter zügig zu ___.;Сотрудники уголовного розыска ищут на месте преступления отпечатки пальцев, чтобы быстро установить (разыскать в ходе следствия) неизвестного преступника.;Schlafen;kochen;trinken
aufklären;Durch die Auswertung der Videoüberwachung konnte die Polizei den mysteriösen Kriminalfall vollständig ___.;Благодаря анализу записей видеонаблюдения полиция смогла полностью раскрыть (выяснить) таинственное уголовное дело.;verheimlichen;vertuschen;Schlafen
einbrechen;Weil die Bewohner im Urlaub waren, versuchten Diebe mitten in der Nacht durch das Küchenfenster in das Haus zu ___.;Поскольку жильцы были в отпуске, воры попытались среди ночи проникнуть со взломом (залезть) в дом через окно кухни.;spazieren;Schlafen;trinken
stehlen;Im dichten Gedränge des Weihnachtsmarkts versuchte ein Taschendieb, der alten Dame die Geldbörse unbemerkt zu ___.;В плотной давке рождественского рынка карманник попытался незаметно украсть (стащить) кошелек у пожилой дамы.;schenken;kaufen;Schlafen
entführen;In dem spannenden Kriminalroman planten die Erpresser, das reiche Kind für ein hohes Lösegeld zu ___.;В захватывающем детективе шантажисты планировали похитить богатого ребенка ради крупного выкупа.;retten;Schützen;Schlafen
erpressen;Der Täter drohte, intime Fotos zu veröffentlichen, um von dem Unternehmer zehntausend Euro zu ___.;Преступник угрожал опубликовать интимные фотографии, чтобы вымогать (шантажом получить) у предпринимателя десять тысяч евро.;schenken;Spenden;Schlafen
betrügen;Wer beim Kartenspiel heimlich Karten unter dem Tisch versteckt, will seine Mitspieler absichtlich ___.;Кто при игре в карты тайком прячет карты под столом, хочет намеренно обмануть (надуть) своих партнеров по игре.;helfen;unterstützen;Schlafen
täuschen;Seine freundliche Fassade war nur gespielt, er wollte alle Kollegen über seine wahren Absichten geschickt ___.;Его дружелюбная маска была лишь наигранной, он хотел ловко ввести в заблуждение (обмануть) всех коллег относительно своих истинных намерений.;aufklären;informieren;Schlafen
Belügen;Ein wahrer Freund sagt immer die Wahrheit ins Gesicht und würde dich niemals schamlos ___.;Настоящий друг всегда говорит правду в лицо и никогда не стал бы бесстыдно лгать (врать) тебе.;Loben;Schützen;Schlafen
Verraten;Sie gab mir ihr Ehrenwort, niemandem etwas zu erzählen, doch am nächsten Tag tat sie mein Geheimnis sofort ___.;Она дала мне честное слово никому ничего не рассказывать, но на следующий день она сразу выдала (предала) мою тайну.;bewahren;Schützen;Schlafen
überreden;Ich wollte am Samstag eigentlich zu Hause bleiben, aber meine Freunde konnten mich zu einer Party ___.;Я в субботу вообще-то хотел остаться дома, но друзья смогли уговорить (склонить) меня пойти на вечеринку.;zwingen;Schlafen;kochen
erschrecken;Wenn jemand im dunklen Flur plötzlich hinter der Tür hervorspringt, kann er mich zu Tode ___.;Когда кто-то в темном коридоре внезапно выскакивает из-за двери, он может до смерти напугать (испугать) меня.;beruhigen;trösten;Schlafen
fürchten;Kleine Kinder schlafen nachts ungern ohne Licht, weil sie sich vor finsteren Monstern im Schrank ___.;Маленькие дети ночью неохотно спят без света, потому что они боятся (страшатся) темных чудовищ в шкафу.;freuen;Schlafen;kochen
ängstigen;Die ständigen Drohungen und der aggressive Hund des Nachbarn taten die junge Frau im Alltag sehr ___.;Постоянные угрозы и агрессивная собака соседа сильно пугали (тревожили) молодую женщину в повседневной жизни.;beruhigen;erfreuen;Schlafen
schämen;Weil er vor allen Gästen laut gerülpst hatte, wurde der Junge rot im Gesicht und fing an, sich furchtbar zu ___.;Поскольку он громко рыгнул перед всеми гостями, мальчик покраснел лицом и начал ужасно стыдиться.;rühmen;freuen;Schlafen
blamieren;Wer unvorbereitet eine Rede vor hundert Experten hält und den Faden verliert, wird sich vor allen Leuten gewaltig ___.;Кто неподготовленным держит речь перед сотней экспертов и теряет нить мысли, сильно опозорится (скомпрометирует себя) перед всеми людьми.;auszeichnen;Loben;Schlafen
Rechtsstreit;Weil die Nachbarn sich über den Gartenzaun nicht einigen konnten, landete der jahrelange Konflikt vor Gericht als teurer ___.;Поскольку соседи не смогли договориться о садовом заборе, многолетний конфликт закончился в суде как дорогостоящая судебная тяжба (правовой спор).;Friedensvertrag;Freundschaftsdienst;Familienurlaub
Verhandlung;Im großen Gerichtssaal eröffnet die Richterin pünktlich um neun Uhr die mündliche juristische ___.;В большом зале суда судья ровно в девять часов открывает устное юридическое судебное заседание (разбирательство).;Kaffeepause;Theaterprobe;Filmvorführung
Verhandlungstag;Wegen der vielen Zeugenvernehmungen benötigte das Gericht für den komplizierten Wirtschaftsprozess einen fünften ___.;Из-за многочисленных допросов свидетелей суду для сложного экономического процесса потребовался пятый день судебного заседания.;Urlaubstag;Feiertag;Schultag
Richter;Die neutrale Person im schwarzen Talar, die den Vorsitz im Gerichtssaal führt und das Urteil fällt, ist der unparteiische ___.;Нейтральное лицо в черной мантии, которое председательствует в зале суда и выносит приговор — беспристрастный судья.;angeklagte;Verbrecher;Zeuge
Staatsanwalt;Der staatliche Jurist, der im Namen des Volkes die Anklage gegen den Verdächtigen vertritt, ist der offizielle ___.;Государственный юрист, который от имени народа представляет обвинение против подозреваемого — официальный прокурор.;Verteidiger;Zeuge;Schriftführer
angeklagter;Die Person, der vor Gericht eine Straftat vorgeworfen wird und die auf der Anklagebank sitzt, ist der juristische ___.;Лицо, которому в суде вменяется преступление и которое сидит на скамье подсудимых — юридический обвиняемый (подсудимый).;Richter;Staatsanwalt;Polizist
Verteidiger;Der Rechtsanwalt, der die Interessen des Beschuldigten im Prozess wahrnimmt und für Freispruch kämpft, ist sein persönlicher ___.;Адвокат, который отстаивает интересы обвиняемого в процессе и борется за оправдание — его личный защитник.;Kläger;Staatsanwalt;Richter
Zeuge;Wer den Diebstahl auf der Straße mit eigenen Augen beobachtet hat und vor Gericht aussagt, ist ein entscheidender Augen-___.;Кто наблюдал кражу на улице своими собственными глазами и дает показания в суде — решающий свидетель-очевидец.;Täter;Richter;angeklagte
Kläger;Die Person, die jemanden wegen nicht gezahlter Rechnungen vor Gericht verklagt und Schadenersatz fordert, ist der zivilrechtliche ___.;Лицо, которое подает в суд на кого-то из-за неоплаченных счетов и требует возмещения ущерба — гражданский истец.;angeklagte;verurteilte;Täter
Urteil;Am Ende des Prozesses erheben sich alle Anwesenden von ihren Plätzen zur feierlichen Verkündung: Im Namen des Volkes ergeht folgendes ___.;В конце процесса все присутствующие встают со своих мест для торжественного оглашения: «Именем народа выносится следующий приговор (судебное решение)».;Gesetz;Rezept;Gutachten
Freispruch;Weil dem Angeklagten keine Schuld nachgewiesen werden konnte, endete der Strafprozess mit einem eindeutigen juristischen ___.;Поскольку вина обвиняемого не могла быть доказана, уголовный процесс завершился однозначным юридическим оправдательным приговором (оправданием).;Haftbefehl;Todesurteil;Strafbefehl
Gefängnis;Schwerverbrecher, die zu einer mehrjährigen Freiheitsstrafe verurteilt wurden, verbüßen ihre Zeit hinter dicken Mauern im ___.;Тяжкие преступники, приговоренные к многолетнему лишению свободы, отбывают свой срок за толстыми стенами в тюрьме.;Krankenhaus;Hotel;Rathaus
Haftstrafe;Für den bewaffneten Raubüberfall verhängte der Richter gegen den Täter eine fünfjährige Freiheits- und unbedingte ___.;За вооруженное ограбление судья назначил преступнику пятилетний срок лишения свободы и безусловное тюремное заключение (срок заключения).;Geldprämie;Belohnung;Abfindung
Geldstrafe;Weil er bei Rot über die Ampel ging, musste der Fußgänger nicht ins Gefängnis, sondern zahlte lediglich eine kleine finanzielle ___.;Поскольку он перешел на красный свет, пешеходу не пришлось идти в тюрьму, а он заплатил лишь небольшой денежный штраф.;Geldprämie;Gehaltserhöhung;Zinszahlung
Kriminalpolizei;Bei schweren Verbrechen wie Mord oder Bankraub ermittelt nicht die Streifenpolizei, sondern die spezialisierte Ermittlungsbehörde der ___.;При тяжких преступлениях, таких как убийство или ограбление банка, расследует не патрульная полиция, а специализированный следственный орган криминальной полиции (уголовного розыска).;Feuerwehr;Stadtverwaltung;Gewerkschaft
Persönlichkeit;Ein starker Charakter, Ehrlichkeit und Humor machen das besondere Wesen dieses charismatischen Menschen aus, seine unverwechselbare ___.;Сильный характер, честность и юмор составляют особую сущность этого харизматичного человека — его неповторимую личность (индивидуальность).;Kleidung;Frisur;Wohnung
Charakter;Ob jemand hilfsbereit oder egoistisch handelt, zeigt sich in Krisen und prägt den inneren moralischen Kern, seinen wahren ___.;Поступает ли кто-то отзывчиво или эгоистично, проявляется в кризисах и формирует внутренний моральный стержень — его истинный характер.;Geldbeutel;Körperbau;Haarschnitt
Eigenschaft;Pünktlichkeit, Hilfsbereitschaft und Zuverlässigkeit sind bei Bewerbern im Berufsleben eine außerordentlich geschätzte positive ___.;Пунктуальность, отзывчивость и надежность у соискателей в профессиональной жизни — чрезвычайно ценимое положительное свойство (черта/качество).;Krankheit;Behinderung;Verletzung
Stärke;Schnell logisch zu denken und in stressigen Situationen ruhig zu bleiben, ist im Beruf seine größte persönliche und mentale ___.;Быстро логически мыслить и оставаться спокойным в стрессовых ситуациях — в работе его величайшая личная и ментальная сильная сторона (сила).;Schwäche;Fehlleistung;Müdigkeit
Gewohnheit;Jeden Morgen nach dem Aufstehen als Erstes eine Tasse schwarzen Kaffee zu trinken, ist für viele Menschen eine feste tägliche ___.;Каждое утро после подъема первым делом выпивать чашку черного кофе — для многих людей укоренившаяся ежедневная привычка.;Ausnahme;Prüfung;Krankheit
Lebensweise;Viel Sport treiben, biologische Produkte essen und auf Alkohol verzichten, gehört zu einer modernen, gesunden und bewussten ___.;Много заниматься спортом, есть органические продукты и отказываться от алкоголя относится к современному, здоровому и осознанному образу жизни.;Todesursache;Arbeitslosigkeit;Schlafstörung
Lebenseinstellung;Stets das Positive in jeder schwierigen Lage zu sehen und niemals aufzugeben, zeugt von einer bewundernswert optimistischen ___.;Всегда видеть позитивное в любой трудной ситуации и никогда не сдаваться свидетельствует о восхитительно оптимистичной жизненной позиции (настрое).;Kündigung;Erkrankung;Enttäuschung
Denkweise;Wissenschaftler nähern sich Problemen stets mit Fakten und Logik, sie besitzen eine sehr analytische und rationale ___.;Ученые подходят к проблемам всегда с фактами и логикой — они обладают весьма аналитическим и рациональным складом ума (образом мыслей).;Sprachlosigkeit;Körperhaltung;Kleiderordnung
Gedankengang;Der Mathematikprofessor erklärte den schwierigen Beweis Schritt für Schritt, doch die Schüler konnten diesem komplizierten ___ kaum folgen.;Профессор математики объяснял трудное доказательство шаг за шагом, однако ученики едва могли уследить за этим сложным ходом мысли.;Spaziergang;Schulweg;Flugweg
Selbstbewusstsein;Wer sich seiner Fähigkeiten voll bewusst ist und ohne Angst vor vielen Menschen frei spricht, zeigt ein gesundes und starkes ___.;Кто полностью осознает свои способности и без страха свободно выступает перед множеством людей, демонстрирует здоровую и крепкую уверенность в себе (самосознание).;Minderwertigkeitsgefühl;Zweifeln;Feigheit
Ehrgeiz;Die junge Sportlerin trainiert jeden Tag sechs Stunden für die Goldmedaille, sie besitzt einen unbändigen Willen zum Erfolg und enormen ___.;Молодая спортсменка тренируется каждый день по шесть часов ради золотой медали — она обладает неукротимой волей к успеху и огромным честолюбием (амбициозностью).;Faulheit;Gleichgültigkeit;Trägheit
Neid;Weil sein Arbeitskollege befördert wurde und mehr Gehalt bekam, empfand der missgünstige Angestellte tiefen und bitteren ___.;Поскольку его коллегу по работе повысили и он получил большую зарплату, завистливый служащий испытал глубокую и горькую зависть.;Freude;Dankbarkeit;Stolz
Eifersucht;Er kontrolliert ständig heimlich die WhatsApp-Nachrichten auf dem Smartphone seiner Partnerin aus unbegründeter und krankhafter ___.;Он постоянно тайком проверяет сообщения в WhatsApp на смартфоне своей партнерши из-за необоснованной и болезненной ревности.;Großzügigkeit;Gelassenheit;Freiheit
Scham;Nachdem seine dreiste Lüge vor versammelter Mannschaft aufgedeckt worden war, senkte der Betrüger den Kopf voller quälender ___.;После того как его наглая ложь была раскрыта перед всем коллективом, обманщик опустил голову, полный мучительного стыда.;Stolz;Triumph;Freude
Gerechtigkeitssinn;Weil er es nicht ertragen kann, wenn Schwächere ungerecht behandelt werden, zeichnet diesen engagierten Anwalt ein ausgeprägter ___ aus.;Поскольку он не может выносить, когда с более слабыми обращаются несправедливо, этого неравнодушного адвоката отличает обостренное чувство справедливости.;Egoismus;geiz;Neid
Schriftsteller;Er verfasst seit zwanzig Jahren Romane, Kurzgeschichten und Theaterstücke, dieser erfolgreiche literarische ___ lebt vom Schreiben.;Он уже двадцать лет пишет романы, рассказы и пьесы — этот успешный литературный писатель живет за счет писательства.;Handwerker;Kaufmann;Maler
Dichter;Heinrich Heine schrieb weltberühmte gefühlvolle Verse und Reime in wunderschöner deutscher Sprache, ein historischer genialer ___.;Генрих Гейне писал всемирно известные прочувствованные стихи и рифмы на прекрасном немецком языке — исторический гениальный поэт.;Musiker;Bildhauer;Regisseur
Roman;Am Strand las ich ein fünfhundert Seiten langes Buch über das spannende Leben einer Familie im 19. Jahrhundert, einen packenden ___.;На пляже я читал книгу длиной в пятьсот страниц об увлекательной жизни одной семьи в XIX веке — захватывающий роман.;Kassenbon;Fahrplan;Beipackzettel
Biografie;Das Buch schildert den wahren Lebenslauf und die historischen Stationen von Albert Einstein von der Geburt bis zum Tod, eine detaillierte ___.;Книга описывает истинный жизненный путь и исторические этапы Альберта Эйнштейна от рождения до смерти — подробную биографию.;Märchenerzählung;Comicgeschichte;Krimiserie
Krimi;Am Sonntagabend schaut die ganze Familie gerne einen spannenden Mordfall mit Detektiven und Kommissaren im Fernsehen, einen packenden ___.;В воскресенье вечером вся семья любит смотреть по телевизору увлекательное расследование убийства с детективами и комиссарами — захватывающий детектив.;Liebesfilm;Dokumentarfilm;Naturfilm
Comic;Die Kinder lieben die bunten Bildgeschichten mit lustigen Sprechblasen über Mickey Maus und Asterix, ein illustriertes humorvolles ___.;Дети обожают пестрые иллюстрированные истории со смешными пузырями реплик про Микки Мауса и Астерикса — иллюстрированный юмористический комикс.;Lexikon;Wörterbuch;Gesetzesbuch
Märchen;Die Gebrüder Grimm sammelten alte volkstümliche Erzählungen über Hänsel und Gretel oder Aschenputtel, jedes einzelne ein traditionelles deutsches ___.;Братья Гримм собирали старинные народные сказы о Гензеле и Гретель или Золушке — каждое из них традиционная немецкая сказка.;Sachbuch;Fachmagazin;Wirtschaftsbericht
Sachbuch;Um Fakten über Astronomie und das Planetensystem nachzulesen, kaufte er sich kein fiktives Märchen, sondern ein fundiertes wissenschaftliches ___.;Чтобы прочитать факты об астрономии и планетной системе, он купил себе не вымышленную сказку, а основательную научно-популярную книгу (нон-фикшн).;Gedichtband;Liebesroman;Bilderbuch
Bestseller;Dieses neue Buch verkaufte sich innerhalb einer Woche über eine Million Mal und stand auf Platz eins aller Ranglisten, ein weltweiter ___.;Эта новая книга разошлась за неделю тиражом более миллиона экземпляров и стояла на первом месте всех рейтингов — всемирный бестселлер.;Ladenhüter;Fehldruck;Altpapier
Bibliothekar;Der freundliche Angestellte in der Stadtbücherei sortiert Bücher in die Regale und hilft Lesern bei der Suche, der kundige ___.;Приветливый служащий в городской библиотеке расставляет книги по полкам и помогает читателям с поиском — знающий библиотекарь.;Kellner;Polizist;Schreiner
Lesezeichen;Um nach der Pause genau zu wissen, auf welcher Seite des Buches man weiterlesen muss, legt man zwischen die Seiten ein dünnes buntes ___.;Чтобы после перерыва точно знать, на какой странице книги нужно продолжить чтение, между страниц кладут тонкую пеструю книжную закладку.;Radiergummi;Messer;Taschentuch
Hauptfigur;Der mutige Zauberlehrer Harry Potter steht im absoluten Zentrum der gesamten Buchreihe als die wichtigste literarische ___.;Смелый ученик волшебника Гарри Поттер стоит в абсолютном центре всей серии книг как главнейший литературный персонаж (главный герой).;Nebenrolle;Kulisse;Statist
Handlung;Der Spannungsbogen und die chronologische Abfolge der dramatischen Ereignisse in dem Thriller bilden eine mitreißende filmische ___.;Линия напряжения и хронологическая последовательность драматических событий в триллере образуют захватывающий кинематографический сюжет (действие).;Verpackung;Werbung;Pausenzeit
Kapitel;Der lange Roman ist in zwanzig durchnummerierte Abschnitte unterteilt, heute Abend lese ich im Bett das dritte ___.;Длинный роман разделен на двадцать пронумерованных разделов, сегодня вечером я прочитаю в кровати третью главу.;Titelbild;Inhaltsverzeichnis;Deckblatt
Inhaltsangabe;In der Deutscharbeit mussten die Schüler den Roman auf einer Seite sachlich und knapp zusammenfassen, eine kurze schriftliche ___.;В контрольной по немецкому ученики должны были кратко и по делу обобщить роман на одной странице — краткое письменное изложение содержания (аннотацию).;Kaufquittung;Mietabrechnung;Fahrkarte
Umweltkatastrophe;Ein riesiger Öltanker lief vor der Küste auf ein Riff und Millionen Liter Rohöl vergifteten das Meer, eine verheerende ___.;Огромный нефтяной танкер сел на риф у побережья и миллионы литров сырой нефти отравили море — опустошительная экологическая катастрофа.;Urlaubsreise;Kulturfeier;Sportveranstaltung
Erdrutsch;Nach tagelangem Starkregen weichte der Hang auf und gewaltige Erdmassen stürzten ins Tal, ein zerstörerischer ___.;После многодневного сильного ливня склон размок и огромные массы земли рухнули в долину — разрушительный оползень.;Sonnenschein;Schneefall;Sommerwind
Waldbrand;Wegen monatelanger Trockenheit und eines weggeworfenen Zigarettenstumpfs vernichtete ein riesiges Flammenmeer den Nadelwald, ein furchtbarer ___.;Из-за многомесячной засухи и брошенного окурка огромное море пламени уничтожило хвойный лес — ужасный лесной пожар.;Wasserüberlauf;Hagelschauer;Schneesturm
Dürre;Monatelang fiel kein einziger Tropfen Regen vom Himmel, die Böden rissen auf und die Ernte vertrocknete in der extremen ___.;Месяцами с неба не падало ни единой капли дождя, почвы потрескались и урожай засох в условиях экстремальной засухи.;Überschwemmung;Hochwasserlage;Kältewelle
Wüste;In der Sahara gibt es fast nur heißen Sand, Sanddünen und extreme Hitze ohne Wasser und Pflanzen, eine lebensfeindliche riesige ___.;В Сахаре есть почти только горячий песок, песчаные дюны и экстремальная жара без воды и растений — непригодная для жизни гигантская пустыня.;Waldlandschaft;Bergwiese;Flussmündung
Gebirge;Die Alpen mit ihren schneebedeckten Viertausendern und tiefen Tälern bilden in Mitteleuropa das mächtigste und höchste ___.;Альпы с их заснеженными четырехтысячниками и глубокими долинами образуют в Центральной Европе самую мощную и высокую горную цепь (горы/горный массив).;Tiefland;Flachland;Küstengebiet
Gipfel;Nach fünf Stunden anstrengendem Aufstieg erreichten die Bergsteiger den höchsten Punkt des Berges und standen oben auf dem schneebedeckten ___.;После пяти часов утомительного подъема альпинисты достигли наивысшей точки горы и стояли наверху на заснеженной вершине (пике).;Talboden;Berggrund;Höhleneingang
Höhle;Tief im Inneren des Felsmassivs führt ein dunkler unterirdischer Gang in eine Tropfsteinkammer, in eine geheimnisvolle finstere ___.;Глубоко внутри скального массива темный подземный ход ведет в сталактитовую камеру — в таинственную темную пещеру.;Baumkrone;Bergspitze;Wolkenhöhe
Küste;Dort, wo das feste Festland direkt an das salzige Meer grenzt und die Wellen an den Strand schlagen, verläuft die kilometerlange ___.;Там, где твердая суша напрямую граничит с соленым морем и волны бьются о пляж, тянется многокилометровое побережье (морской берег).;Gebirgswand;Wüstenzone;Stadtmitte
Ozean;Der Atlantik und der Pazifik bedecken den größten Teil unseres blauen Planeten, jeder einzelne ein gigantischer weltumspannender ___.;Атлантика и Тихий океан покрывают большую часть нашей синей планеты — каждый из них гигантский всемирный океан.;Flusslauf;Baggersee;Dorfteich
