muss;Das Licht im Büro brennt noch, der Hausmeister ___ also noch im Gebäude sein.;Свет в офисе еще горит, комендант, следовательно, точно еще в здании.;soll;will;darf
dürfte;Nach den Berechnungen des Statikers ___ die Sanierung der Brücke etwa drei Wochen dauern.;Согласно расчетам инженера-строителя, ремонт моста, вероятно, продлится около трех недель.;will;soll;muss nicht
könnte;Die plötzliche Verzögerung bei der Zustellung ___ an den widrigen Wetterbedingungen liegen.;Внезапная задержка доставки, возможно, связана с неблагоприятными погодными условиями.;will;soll;muss nicht
soll;Der neue Geschäftsführer ___ laut Medienberichten zuvor viele Jahre im Ausland gearbeitet haben.;Новый генеральный директор, согласно сообщениям СМИ, ранее много лет работал за границей.;will;kann;muss
will;Der Verdächtige ___ zum fraglichen Tatzeitpunkt zu Hause im Bett geschlafen haben.;Подозреваемый утверждает, что во время преступления спал дома в постели.;soll;dürfte;muss
muss;Der Motor springt gar nicht erst an, die Autobatterie ___ völlig entladen sein.;Мотор вообще не заводится, автомобильный аккумулятор, должно быть, полностью разряжен.;will;soll;darf
dürfte;Wenn der Verkehr auf der Autobahn flüssig bleibt, ___ der Fernbus pünktlich eintreffen.;Если движение на автобане останется свободным, междугородний автобус, вероятно, прибудет вовремя.;will;soll;muss nicht
könnte;Dieser dunkle Fleck an der Zimmerdecke ___ von einer undichten Wasserleitung stammen.;Это темное пятно на потолке комнаты, возможно, вызвано протекающей водопроводной трубой.;will;soll;muss
soll;Das historische Rathaus ___ im nächsten Frühjahr aufwendig und denkmalgerecht modernisiert werden.;Историческую ратушу, как говорят, следующей весной ждет масштабная модернизация с сохранением памятника.;will;kann;darf
will;Der Mieter ___ das Kündigungsschreiben bereits vor zwei Wochen per Einschreiben verschickt haben.;Арендатор утверждает, что отправил письмо о расторжении еще две недели назад заказным отправлением.;soll;dürfte;muss
müssen;Bei diesem anhaltenden Frost ___ die monatlichen Heizkosten in der Altbauwohnung steigen.;При таком непрекращающемся морозе ежемесячные расходы на отопление в старом доме неизбежно вырастут.;wollen;sollen;dürfen
dürfte;Der Prüfer ___ mit den eingereichten Nachweisen und Unterlagen weitgehend zufrieden sein.;Аудитор, пожалуй, в значительной степени удовлетворен предоставленными подтверждениями и документами.;will;soll;muss nicht
könnte;Ohne eine passende elastische Dichtung ___ im Winter Regenwasser in das Mauerwerk eindringen.;Без подходящего эластичного уплотнителя дождевая вода зимой вполне может проникнуть в каменную кладку.;will;soll;muss
soll;Die neue Buslinie ins Gewerbegebiet ___ laut Stadtverwaltung bereits im Dezember starten.;Новая автобусная линия в промзону, как заявляет городская администрация, должна заработать уже в декабре.;will;kann;darf
will;Der Zeuge ___ den flüchtigen Autofahrer trotz der Dunkelheit ganz genau erkannt haben.;Свидетель утверждает, что совершенно точно разглядел скрывшегося водителя, несмотря на темноту.;soll;dürfte;muss
muss;Er meldet sich seit Stunden nicht, er ___ in einer sehr wichtigen geschäftlichen Sitzung sitzen.;Он не выходит на связь часами, он точно сидит на очень важном деловом совещании.;will;soll;darf
dürfte;Das Beseitigen der kleinen Blockade im Abflussrohr ___ für den Klempner kein Problem sein.;Устранение небольшого засора в сливной трубе, пожалуй, не составит для сантехника труда.;will;soll;muss nicht
könnte;Eine falsche Mischung des Schmieröls ___ dem Motorradmotor auf Dauer schweren Schaden zufügen.;Неправильная смесь смазочного масла со временем может нанести мотору мотоцикла серьезный ущерб.;will;soll;muss
soll;Der renommierte Orthopäde ___ seine Praxis im Herbst an einen jüngeren Nachfolger übergeben.;Известный ортопед, как поговаривают, передаст свою практику осенью более молодому преемнику.;will;kann;darf
will;Die Spedition ___ die schwere Fracht bereits am Dienstagmorgen vorschriftsmäßig entladen haben.;Транспортная компания утверждает, что разгрузила тяжелый груз по всем правилам еще во вторник утром.;soll;dürfte;muss
muss;Das Paket liegt schon im Hausflur, der Zusteller ___ vor wenigen Minuten dagewesen sein.;Посылка уже лежит в подъезде, доставщик, должно быть, заходил несколько минут назад.;will;soll;darf
dürfte;Nach dem Austausch des defekten Schalters ___ die gesamte Lichtanlage wieder stabil laufen.;После замены сломанного выключателя вся система освещения, весьма вероятно, снова будет работать стабильно.;will;soll;muss nicht
könnte;Eine zu lockere Kette am Rad ___ bei hoher Geschwindigkeit plötzlich vom Kettenblatt springen.;Слишком ослабленная цепь на велосипеде при высокой скорости вполне может внезапно слететь со звезды.;will;soll;muss
soll;Das alte Speichergebäude am Fluss ___ in ein modernes Gründerzentrum umgebaut werden.;Старое складское здание у реки, как передают, перестроят в современный бизнес-инкубатор.;will;kann;darf
will;Der Geschäftsführer ___ von den fingierten Abrechnungen im Unternehmen nichts bemerkt haben.;Управляющий утверждает, что вообще ничего не заметил в фиктивных расчетах в компании.;soll;dürfte;muss
muss;Das Tor ist von innen fest verriegelt, jemand ___ sich noch auf dem Betriebsgelände aufhalten.;Ворота плотно заперты изнутри, кто-то точно находится еще на территории предприятия.;will;soll;darf
dürfte;Bei der aktuellen Wetterlage ___ der Asphalt auf der Straße innerhalb weniger Stunden trocknen.;При текущей погоде асфальт на улице, по всей видимости, высохнет за несколько часов.;will;soll;muss nicht
