bauen;Die Familie hat ein Stück Land gekauft und will dort ein neues Einfamilienhaus ___.;Семья купила участок земли и хочет построить там новый частный дом.;kochen;trinken;schlafen
streichen;Die Wand im Wohnzimmer ist schmutzig, ich muss sie am Wochenende mit weißer Farbe neu ___.;Стена в гостиной грязная, я должен на выходных заново покрасить ее белой краской.;schlafen;trinken;schwimmen
renovieren;Die alte Wohnung sieht furchtbar aus, wir müssen die Zimmer komplett ___.;Старая квартира выглядит ужасно, мы должны полностью отремонтировать комнаты.;schlafen;kochen;trinken
gießen;Die Blumen auf dem Balkon brauchen dringend Wasser, kannst du sie bitte mit der Kanne ___?;Цветы на балконе срочно требуют воды, можешь, пожалуйста, полить их из лейки?;schlafen;kochen;wohnen
füttern;Die Katze maunzt vor Hunger, ich muss ihr etwas Katzenfutter in die Schale geben und sie ___.;Кошка мяукает от голода, я должен положить ей немного кошачьего корма в миску и покормить ее.;schlafen;trinken;waschen
reinigen;Nach dem Fest muss man den fettigen Grill mit einer Drahtbürste gründlich ___.;После праздника нужно тщательно очистить (почистить) жирный гриль металлической щеткой.;schlafen;kochen;trinken
bügeln;Mein weißes Hemd für das Vorstellungsgespräch ist zerknittert, ich muss es mit dem heißen Eisen glatt ___.;Моя белая рубашка для собеседования измята, я должен погладить ее горячим утюгом.;schlafen;kochen;trinken
verabreden;Wir haben uns lange nicht gesehen, wollen wir uns am Samstag um acht Uhr im Café ___?;Мы давно не виделись, не хотим ли мы договориться о встрече в субботу в восемь часов в кафе?;schlafen;kochen;trinken
verzeihen;Es tut mir wirklich leid, dass ich deinen Geburtstag vergessen habe, kannst du mir bitte ___?;Мне действительно жаль, что я забыл про твой день рождения, ты можешь меня, пожалуйста, простить?;schlafen;kochen;trinken
erlauben;Die Eltern sind sehr streng und wollen ihrem kleinen Sohn das Computerspielen am Abend nicht ___.;Родители очень строгие и не хотят разрешать своему маленькому сыну играть в компьютерные игры вечером.;schlafen;kochen;trinken
verbieten;Wegen der Brandgefahr im trockenen Wald muss die Stadt offenes Feuer strengstens ___.;Из-за опасности пожара в сухом лесу город должен строжайше запретить открытый огонь.;schlafen;kochen;trinken
achten;Beim Überqueren der Straße muss man gut auf vorbeifahrende Autos ___.;При переходе улицы нужно внимательно обращать внимание на проезжающие мимо машины.;schlafen;kochen;trinken
warnen;Die Polizei muss die Autofahrer vor der großen Gefahr durch das Glatteis auf den Straßen ___.;Полиция должна предупредить автомобилистов о большой опасности из-за гололеда на дорогах.;schlafen;kochen;trinken
schützen;Im Sommer muss man die Augen mit einer guten Sonnenbrille vor den UV-Strahlen ___.;Летом нужно защищать глаза хорошими солнцезащитными очками от УФ-лучей.;schlafen;kochen;trinken
retten;Der Junge fiel ins tiefe Wasser und der mutige Bademeister sprang sofort hinein, um das Kind zu ___.;Мальчик упал в глубокую воду, и смелый спасатель сразу прыгнул туда, чтобы спасти ребенка.;schlafen;kochen;trinken
unterstützen;Mein Bruder hat finanzielle Probleme, deshalb möchte ich ihm etwas Geld leihen und ihn tatkräftig ___.;У моего брата финансовые проблемы, поэтому я хочу одолжить ему немного денег и деятельно поддержать его.;schlafen;kochen;trinken
teilen;Wir haben nur eine einzige Pizza für uns zwei gekauft, wir sollten sie gerecht in zwei Hälften ___.;Мы купили только одну-единственную пиццу на нас двоих, нам следует по справедливости разделить ее на две половины.;schlafen;kochen;trinken
trennen;In Deutschland muss man den Hausmüll in Plastik, Papier und Biomüll sorgfältig ___.;В Германии домашний мусор нужно тщательно разделять (сортировать) на пластик, бумагу и органику.;schlafen;kochen;trinken
sammeln;Im Herbst gehen wir gerne in den Wald, um frische Pilze und bunte Blätter vom Boden zu ___.;Осенью мы охотно идем в лес, чтобы собирать с земли свежие грибы и пестрые листья.;schlafen;kochen;trinken
sortieren;Ich habe viele alte Briefe gefunden und muss sie jetzt nach Datum in verschiedene Ordner ___.;Я нашел много старых писем и должен теперь рассортировать их по дате в разные папки.;schlafen;kochen;trinken
messen;Bevor wir den neuen Schrank kaufen, müssen wir mit dem Maßband die genaue Breite der Wand ___.;Прежде чем мы купим новый шкаф, мы должны рулеткой измерить точную ширину стены.;schlafen;kochen;trinken
vergleichen;Vor dem Kauf eines neuen Handys sollte man im Internet die unterschiedlichen Angebote und Preise gründlich ___.;Перед покупкой нового мобильного телефона следует в интернете тщательно сравнить разные предложения и цены.;schlafen;kochen;trinken
erleben;Auf unserer langen Rucksackreise durch die Welt durften wir viele spannende Abenteuer ___.;В нашем долгом путешествии с рюкзаками по миру нам довелось пережить (испытать) много захватывающих приключений.;schlafen;kochen;trinken
empfehlen;Das Essen in diesem Lokal ist fantastisch, ich kann Ihnen den frischen Fischteller wärmstens ___.;Еда в этом заведении фантастическая, я могу вам горячо порекомендовать свежую рыбную тарелку.;schlafen;kochen;trinken
verzichten;Weil er abnehmen möchte, will er in den nächsten Monaten komplett auf Süßigkeiten und Zucker ___.;Так как он хочет похудеть, он хочет в следующие месяцы полностью отказаться от сладостей и сахара.;schlafen;kochen;trinken
Tankstelle;Der Tank ist fast leer, wir müssen an der nächsten Autobahnausfahrt rechts ran an die ___ fahren.;Бак почти пуст, мы должны на следующем съезде с автобана съехать вправо на заправку.;Apotheke;Bäckerei;Bibliothek
Parkplatz;In der vollen Innenstadt gibt es keine freie Fläche für das Auto, ich suche schon zwanzig Minuten nach einem ___.;В переполненном центре города нет свободного места для машины, я ищу парковочное место уже двадцать минут.;Fahrrad;Schrank;Balkon
Werkstatt;Der Motor klappert verdächtig laut, ich muss mein defektes Auto dringend in die KFZ-___ bringen.;Мотор подозрительно громко стучит, мне нужно срочно отвезти неисправную машину в автомастерскую.;Schule;Küche;Kirche
Fahrzeug;Ein Auto, ein Motorrad und ein Lastwagen sind unterschiedliche Arten von einem motorisierten ___.;Автомобиль, мотоцикл и грузовик — это разные виды моторизованного транспортного средства.;Brot;Möbel;Kleid
Autobahn;Auf der Bundesstraße darf man nur 100 fahren, aber für schnelles Reisen über Land nimmt man die vierspurige ___.;По федеральной трассе разрешено ехать только 100, но для быстрой поездки между городами выбирают четырехполосный автобан.;Wohnung;Küche;Garten
U-Bahn;In Großstädten wie Berlin oder München fährt dieser schnelle Zug unter der Erde im Tunnel als ___.;В мегаполисах вроде Берлина или Мюнхена этот быстрый поезд ходит под землей в туннеле как метро (U-Bahn).;Fahrrad;Flugzeug;Schiff
Straßenbahn;Die Schienen liegen mitten auf der Hauptstraße und die gelbe elektrische ___ hält direkt vor dem Kaufhaus.;Рельсы проложены прямо посреди главной улицы, и желтый электрический трамвай останавливается прямо перед универмагом.;Flugzeug;Schiff;Fahrrad
Motorrad;Er setzt den festen Sturzhelm auf und fährt im Sommer gerne auf seinem schnellen zweirädrigen ___.;Он надевает прочный защитный шлем и летом охотно катается на своем быстром двухколесном мотоцикле.;Flugzeug;Schiff;Koffer
Reifen;Vor dem Wintereinbruch muss man in der Werkstatt die glatten Sommerräder gegen vier neue Winter-___ wechseln.;Перед наступлением зимы нужно в мастерской поменять гладкие летние колеса на четыре новые зимние шины (покрышки).;Tische;Schränke;Hosen
Motor;Wenn man den Zündschlüssel umdreht, springt unter der vorderen Haube des Wagens sofort der kräftige ___ an.;Когда поворачивают ключ зажигания, под передним капотом машины сразу заводится мощный мотор (двигатель).;Koffer;Stuhl;Tisch
Bremse;Vor der roten Ampel drückt der Fahrer mit dem rechten Fuß fest auf das Pedal der funktionierenden ___.;Перед красным светофором водитель правой ногой крепко нажимает на педаль исправного тормоза.;Lampe;Tasche;Kiste
Benzin;Mein Auto fährt nicht mit Strom oder Gas, sondern braucht teuren Kraftstoff aus Erdöl, nämlich normales ___.;Моя машина ездит не на электричестве или газе, а требует дорогого топлива из нефти, а именно обычного бензина.;Wasser;Milch;Saft
Diesel;Große LKWs und schwere Traktoren tanken an der Zapfsäule meistens keinen Ottokraftstoff, sondern den günstigeren ___.;Большие грузовики и тяжелые тракторы заправляют на колонке в основном не бензин, а более дешевый дизель.;Kaffee;Tee;Saft
Stau;Wegen eines Unfalls auf der Autobahn stehen Hunderte von Autos still und wir warten seit einer Stunde im langen ___.;Из-за аварии на автобане сотни машин стоят на месте, и мы уже час ждем в длинной пробке (заторе).;Urlaub;Garten;Kino
Unfall;Auf der nassen Kreuzung sind zwei Autos zusammengestoßen, zum Glück gab es bei diesem schweren ___ keine Verletzten.;На мокром перекрестке столкнулись две машины, к счастью, в этой серьезной аварии (ДТП) не было пострадавших.;Urlaub;Termin;Ausflug
Zitrone;Dieser gelbe Saft schmeckt extrem sauer, denn die Frucht ist eine frische ___.;Этот желтый сок на вкус экстремально кислый, ведь этот фрукт — свежий лимон.;Banane;Kartoffel;Wurst
Zwiebel;Beim Kleinschneiden dieser scharfen Knolle brennen mir immer die Augen und ich muss weinen, denn es ist eine ___.;При мелкой нарезке этой острой луковицы у меня всегда щиплет глаза и я плачу, ведь это луковица (репчатый лук).;Kartoffel;Banane;Butter
Knoblauch;In einer echten italienischen Tomatensoße darf neben Zwiebeln auch eine fein gehackte Zehe würziger ___ nicht fehlen.;В настоящем итальянском томатном соусе помимо лука обязательно должен присутствовать мелко нарезанный зубчик пряного чеснока.;Zucker;Honig;Milch
Möhre;Dieses lange, orangefarbene Gemüse knabbern Hasen besonders gerne, es ist eine süße, knackige Karotte oder ___.;Этот длинный оранжевый овощ зайцы грызут особенно охотно, это сладкая хрустящая морковь.;Zitrone;Zwiebel;Kartoffel
Senf;Zur heißen Bratwurst esse ich am liebsten ein Brötchen und einen Klecks gelben, scharfen ___.;К горячей жареной колбаске я охотнее всего ем булочку и капельку желтой острой горчицы.;Zucker;Honig;Kaffee
Marmelade;Morgens auf das frische Butterbrot streiche ich mir gerne süßen Fruchtaufstrich aus Erdbeeren, also rote ___.;Утром на свежий бутерброд с маслом я с удовольствием мажу сладкую фруктовую пасту из клубники, то есть красное варенье (джем).;Senf;Suppe;Salz
